category,datetime,headline,id,image,related,source,summary,url
company,1629180000,"A Peek Into The Markets: US Stock Futures Fall Ahead Of Earnings, Economic Data",69696473,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/peek_into_the_marketnew_240.png,A,Benzinga,"Pre-open movers
U.S. stock futures traded lower in early pre-market trade after the Dow Jones closed higher by over 100 points in the previous session. Investors are awaiting...",https://finnhub.io/api/news?id=ccc466861026a44247f70adcf8fe844ee554fa404afdd5f619fde156a5b96bbb
company,1629176220,"5 Stocks To Watch For August 17, 2021",69696474,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/stocks_to_watch_2003.png,A,Benzinga,"Some of the stocks that may grab investor focus today are:

Wall Street expects  Walmart Inc (NYSE: WMT) to report quarterly earnings at $1.56 per share on revenue of $136.74...",https://finnhub.io/api/news?id=dfbac4b227bb2df5e334be1390a013955dbcd38d789b44298ce5a077d0d14be9
company,1629172800,"Earnings Scheduled For August 17, 2021",69696475,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/earnings_scheduled_1924.png,A,Benzinga," 
Companies Reporting Before The Bell
• AiHuiShou Intl (NYSE:RERE) is expected to report earnings for its second quarter.
• Ozon Holdings (NASDAQ:OZON) is expected...",https://finnhub.io/api/news?id=0c7ff2455821f297c0196937dcfcc09042f2026b21bc2d50b8d5d283e2de4fc2
company,1629125522,Factors to Note Ahead of Keysight's (KEYS) Q3 Earnings Release,69685139,https://s.yimg.com/uu/api/res/1.2/xO8TFJMeqtG5lE09xfpLAw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cd9ed8cf63fa5a7bc41c5e977c67cccb,A,Yahoo,"Keysight's (KEYS) Q3 performance is likely to gain from higher demand for its solutions in semiconductor, automotive and aerospace & defense verticals.",https://finnhub.io/api/news?id=8450871434856313ae4858d473fb286b3a6d3dd760c9cc271fe1cd9e114e2719
company,1629124982,What to Expect Ahead of Cisco's (CSCO) Q4 Earnings Release?,69684987,https://s.yimg.com/uu/api/res/1.2/OmSphra56i6mOiJis4KikQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/75701a0cb7cb5c2a9a21e2ae671472f5,A,Yahoo,"Cisco's (CSCO) Q4 performance is likely to reflect gains from growing clout of security solutions, Webex and solid Catalyst 9000K adoption.",https://finnhub.io/api/news?id=eb490b61f12bcd03b66cbb8ee2db0a20ccc9e923492b735e408d2e546b761106
company,1629121501,Agilent (A) to Report Q3 Earnings: What's in the Cards?,69681159,https://s.yimg.com/uu/api/res/1.2/DkIPNy3gkySj0BtwbYQioA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a0fe1407140d79327fc1281b42566542,A,Yahoo,Agilent's (A) fiscal third-quarter results are likely to reflect strength across its segments and product portfolio.,https://finnhub.io/api/news?id=97dcd2a6ab84944b8bbe951c1f838ae051f9e7872356dce4eab087e4c19080ea
company,1629120601,Why Agilent Technologies (A) is a Top Stock for the Long-Term,69681160,https://s.yimg.com/uu/api/res/1.2/wXNaNKXxuWlbebD.cUCv9g--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f541c90e0d995722d10914cb76a7c653,A,Yahoo,The Zacks Focus List offers investors a way to easily find top-rated stocks and build a winning investment portfolio. Here's why you should take advantage.,https://finnhub.io/api/news?id=b32ee193711abb10cdd84ad36e7958ce733944ed4d6642d93a312fdacf2054bd
company,1629117540,"Northwestern Mutual Investment Management Company, Buys Organogenesis Holdings Inc, Macerich Co, Construction Partners Inc, Sells iShares iBoxx USD Investment Grade Corporate Bond , S&P 500 ETF TRUST ETF, Whiting Petroleum Corp",69694923,,A,GuruFocus,,https://finnhub.io/api/news?id=590bfc962d6b5999d7352a02b257bc04ed4f68d2fa613e35c4d46ed1e030dc00
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,A,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1629085380,"Pershing Square boosts Domino's, cuts Lowe's in Q2",69695470,,A,Thefly.com,"Bill Ackman's Pershi... DPZ, LOW, QSR, HLT, A, CMG",https://finnhub.io/api/news?id=bc4118b25d04dd3b2945f0e16d0049cf94f9e313190ba44ddaf1dfc194a177c9
