category,datetime,headline,id,image,related,source,summary,url
company,1629185700,Autodesk price target raised to $370 from $342 at Stifel,69698353,,ADSK,Thefly.com,Stifel analyst Adam Borg ... ADSK,https://finnhub.io/api/news?id=866a6e03332c6e9c76073bc1897e0601114f9142532ca18b98893fefc975c32a
company,1629117540,"BRILLIANCE ASSET MANAGEMENT Ltd Buys New Oriental Education & Technology Group Inc, TAL Education Group, RLX Technology Inc, Sells Pinduoduo Inc, Autodesk Inc, NVIDIA Corp",69696897,,ADSK,GuruFocus,,https://finnhub.io/api/news?id=597eda6d150c3b44bb74bed17a11714f1cbbd219a6d9a0f5b48604bb07407c2d
company,1629088740,"Fernbridge Capital Management Lp Buys Autodesk Inc, Workday Inc, Amazon.com Inc, Sells T-Mobile US Inc, New York Times Co, Adobe Inc",69694998,,ADSK,GuruFocus,,https://finnhub.io/api/news?id=4854b4d7bf6c5fc0e9a593cbfbc8e049508fe2fd4159f84dc8470f39992de403
company,1629085140,"Martin Currie Ltd Buys Farfetch, Sea, Autodesk Inc, Sells Starbucks Corp, EPAM Systems Inc, CyberArk Software",69695803,,ADSK,GuruFocus,,https://finnhub.io/api/news?id=4cc123c3d96b19dfdeeea87e612e5a275b14c4cd1acf28df1245bbfb96f3de1d
company,1629077940,"Lombard Odier Asset Management (Europe) Ltd Buys PayPal Holdings Inc, Autodesk Inc, AGCO Corp, Sells Fastenal Co, Analog Devices Inc, Fidelity National Information Services Inc",69694990,,ADSK,GuruFocus,,https://finnhub.io/api/news?id=c43d62a121943e2d90db1f901895726a939b9a06bd41338164ff62b2d94e0f5a
company,1629077940,"Independent Franchise Partners LLP Buys Intercontinental Exchange Inc, Bristol-Myers Squibb Company, Alphabet Inc, Sells Altria Group Inc, Oracle Corp, Autodesk Inc",69694314,,ADSK,GuruFocus,,https://finnhub.io/api/news?id=8341826a5c59335c9fda2ca9119698b85dc869261e65788ad47544208ccc02c5
company,1628872440,"Autodesk Inc. stock rises Friday, outperforms market",69670318,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. inched 0.22% higher to $332.78 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=b104ac2efca710680c085d4ae88ccae4710512e339a069ffab90cee3c9b4b7d8
company,1628815337,Autodesk: Massive Infrastructure Projects In U.S. And Europe Point To 21% Upside,69647294,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1295965856/medium_image_1295965856.jpg,ADSK,SeekingAlpha,Market participants are underpricing the future effects of the large infrastructure bills in the U.S. and EU on future fundamental growth factors. My DCF model shows 21% upside.,https://finnhub.io/api/news?id=3ff7dd6909e0f0b229ef783f8091fb3e8dd683b9469dd0415daa227c59eff75d
company,1628786040,"Autodesk Inc. stock rises Thursday, outperforms market",69670319,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. rose 1.04% to $332.05 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=868c517b1a9364701ab98effb28b97247e3a5bdd787a3c3c966765c0866b7d22
company,1628699640,"Autodesk Inc. stock falls Wednesday, underperforms market",69623987,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. sank 0.80% to $328.64 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=752c3785a69e0fd7db7c6cde517f9e7b561bda909fac499dd013ca8cd5717f46
company,1628649000,3 Stocks to Buy to Get Ahead of the Coming Metaverse Trend ,69632848,https://investorplace.com/wp-content/uploads/2021/05/esports-gaming.jpg,ADSK,InvestorPlace,"As the physical and digital worlds are merging, the metaverse is expected to transform many industries -- and make these firms stocks to buy.",https://finnhub.io/api/news?id=3481535d4498545d12591c6afece7d502038ac1cfdc234d8e449ec768525201a
company,1628613240,"Autodesk Inc. stock falls Tuesday, underperforms market",69623988,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. dropped 0.45% to $331.28 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=50cea548dbaaa6924d42462311860463774d02ee8f94e51250486f02526209e5
company,1628589960,Stocks That Hit 52-Week Highs On Tuesday,69596373,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,ADSK,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 100 stocks hit new 52-week highs.
Things to Consider:

The largest company by market cap to break to a new 52-week high was Pfizer (...",https://finnhub.io/api/news?id=f7d9299ff22f849202169d5ac145abe73dce56edcff8aecaac1df3d7fdcbdf70
company,1628526840,"Autodesk Inc. stock remains steady Monday, still outperforms market",69623989,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. were unchanged Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index falling...",https://finnhub.io/api/news?id=354c7d51e504b5d4703fe9284c412b41c9c7d394a480ba6791a6d4de48ae86cc
company,1628520025,"Were Hedge Funds Right About Autodesk, Inc. (ADSK)?",69579671,https://s.yimg.com/uu/api/res/1.2/8bic0IrK7TXPlRFGOhnriQ--~B/aD02MDA7dz01OTQ7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/8c6d80ff8a0b3edee7be3c636143c877,ADSK,Yahoo,"Hedge funds and large money managers usually invest with a focus on the long-term horizon and, therefore, short-lived dips or bumps on the charts usually don’t make them change their opinion towards a company. This time it may be different. The coronavirus pandemic destroyed the high correlations among major industries and asset classes. We are […]",https://finnhub.io/api/news?id=e2d7a50f53cbcbbf13f7801fc9a76ae6b03bc53280fcef803ba7ebce60d204f8
company,1628496240,Autodesk Reaches Analyst Target Price,69581686,,ADSK,ETF Channel,"Staff article entitled Autodesk Reaches Analyst Target Price, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=b85be8a799ae8f1962fec12ed84f29ef5f169fec5f83b5e619456f06995edf04
company,1628267640,Autodesk Inc. stock outperforms competitors on strong trading day,69554812,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. advanced 1.20% to $332.77 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=eda4e07d20b0bb43dc000cb1b079cbed4ec6f5b5e3f54d8f48cf44b9aeefc648
company,1628181240,Autodesk Inc. stock underperforms Thursday when compared to competitors,69530811,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. slipped 0.08% to $328.82 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7b6338a4abc413dd4de4fa6d02ee8236fa462afcf5a529c6456b0a1bfaed34d1
company,1628127660,Interesting ADSK Put And Call Options For September 24th,69548026,,ADSK,Stock Options Channel,"Staff article entitled Interesting ADSK Put And Call Options For September 24th, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=f544b17dafff0c223584b8d6c08559155a576862816d23a65e19b5d27db039bd
company,1628094840,Autodesk Inc. stock outperforms competitors on strong trading day,69530812,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. inched 0.45% higher to $329.09 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=bc01c449e4ef3faa2a76c8e7858f906d68756c95cc4952bb322d35ea7944abe5
company,1628074320,7 of the Best Blockchain Stocks to Buy in Lieu of Crypto,69495567,https://investorplace.com/wp-content/uploads/2019/12/blockchain.jpg,ADSK,InvestorPlace,These blockchain stocks will benefit from the increased use of use blockchain-related products and services in areas other than crypto.,https://finnhub.io/api/news?id=0ad118e22a38c639e17ed2340b607310b4ed21596dc351acc891f5e6cb18703e
company,1628008440,Autodesk Inc. stock outperforms competitors on strong trading day,69530813,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. advanced 1.72% to $327.61 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=882d357a3f516b684355caba7ac1d142234c4e66f68e44ae55d6ceccf1bf1416
company,1627965540,"Boston Financial Mangement Inc  Buys WisdomTree Emerging Markets ex-State-Owned Enterpr, IDEX Corp, Ferguson PLC, Sells Republic Services Inc, Tyler Technologies Inc, Waters Corp",69489512,,ADSK,GuruFocus,,https://finnhub.io/api/news?id=67157013d575719eaafe8a59dd38e439be4e05c3929e5860fb0283ddc8db7de4
company,1627922040,"Autodesk Inc. stock rises Monday, outperforms market",69530814,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. inched 0.29% higher to $322.07 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=7efbe013131c7bbe204e3d79ca0bea948cb6441f29c5ba96dc32c22222a551d1
