category,datetime,headline,id,image,related,source,summary,url
company,1629131700,Assurant Inc. stock underperforms Monday when compared to competitors despite daily gains,69688178,https://images.mktw.net/im-220105/social,AIZ,MarketWatch,"Shares of Assurant Inc. inched 0.99% higher to $166.64 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=f8601a50b7abc9d516bfd219617e02cfdee7a1968e42bd998e85092825698bd1
company,1628872500,"Assurant Inc. stock falls Friday, underperforms market",69670312,https://images.mktw.net/im-220105/social,AIZ,MarketWatch,"Shares of Assurant Inc. slumped 0.57% to $165.00 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ed96c7f32b297a33e3d0df222e7d6aebcde62197f58bf1ecbd9f2a24686a6f17
company,1628786100,Assurant Inc. stock outperforms market on strong trading day,69651078,https://images.mktw.net/im-220105/social,AIZ,MarketWatch,"Shares of Assurant Inc. rose 1.18% to $165.94 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=c4636568fbc50b38143be212a3345477436cb57fdf633032bbc21a3106c47efa
company,1628699700,Assurant Inc. stock outperforms competitors on strong trading day,69651079,https://images.mktw.net/im-220105/social,AIZ,MarketWatch,"Shares of Assurant Inc. advanced 1.07% to $164.01 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=c06304133a2791e651bb55cadcd60916ddbb0644b49f590d57b9b5be78fd920d
company,1628691542,Alleghany (Y) Completes Pricing of $500 Million Senior Notes,69618779,https://s.yimg.com/uu/api/res/1.2/EEUv5JQFTAI4U5iqIocwgw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/9d8e6ae4a2f2f78756262fb38b308001,AIZ,Yahoo,Alleghany (Y) displays prudence by issuing senior notes amid a low interest rate environment to procure funds.,https://finnhub.io/api/news?id=9b9353a39a14f3432010e38b93f7bea5308bc05c969d3433de524a48381cac1a
company,1628613300,"Assurant Inc. stock rises Tuesday, outperforms market",69610463,https://images.mktw.net/im-220105/social,AIZ,MarketWatch,"Shares of Assurant Inc. rallied 1.62% to $162.28 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=790af2833f2d9a51e698d766ba2fd50285193527bec085f58f0b8a325999312e
company,1628526900,"Assurant Inc. stock falls Monday, underperforms market",69610464,https://images.mktw.net/im-220105/social,AIZ,MarketWatch,"Shares of Assurant Inc. slipped 0.21% to $159.69 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=681dd7e49259826c00154280cda73f80e1750f6a0cd742a961441f49d2c94b51
company,1628267700,"Assurant Inc. stock rises Friday, outperforms market",69552266,https://images.mktw.net/im-220105/social,AIZ,MarketWatch,"Shares of Assurant Inc. inched 0.78% higher to $160.03 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=ee823a8d5bbfbe5533cfbd9c0e791e0342bc2ccaee790db454f5587951958575
company,1628181300,Assurant Inc. stock outperforms competitors on strong trading day,69552267,https://images.mktw.net/im-220105/social,AIZ,MarketWatch,"Shares of Assurant Inc. rallied 2.04% to $158.79 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=a03d525a32a0b7b5d8aacc77a969bca39206193367033dcee565276bef81c226
company,1628101862,"Assurant, inc (AIZ) Q2 2021 Earnings Call Transcript",69504974,,AIZ,Yahoo,"AIZ earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=63cfa3e192372fba4ffd7f721a035ad4397652e0e26c2f142444bebca77aaaf1
