category,datetime,headline,id,image,related,source,summary,url
company,1629125042,Brown & Brown (BRO) to Boost Employee Benefits With Buyout,69683459,https://s.yimg.com/uu/api/res/1.2/lY3wr_2PWydraW.rjQZlyA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6e0eea77024f8a02b541f11695d7c6a6,AJG,Yahoo,"Brown & Brown (BRO) announced that Brown & Brown of Florida, Inc. has bought Sudler Insurance Services to boost its employee benefits business.",https://finnhub.io/api/news?id=63d78c1714c325f9ece41ab25584e0d96edaaaf5219eebdc429822c149466fb7
company,1629124202,Arthur J. Gallagher (AJG) to Buy Willis Re for $3.25B in Cash,69683689,https://s.yimg.com/uu/api/res/1.2/3hLFtzFdSMTZy1vsxqmdeA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/39e8cb7827f15e34f36d30f31180c5db,AJG,Yahoo,Arthur J. Gallagher's (AJG) pending buyout of Willis Re will position Gallagher Re as one of the top three reinsurance brokers.,https://finnhub.io/api/news?id=6d7730dc410f28e6710f18e8ce3f547746b06293862f9101feabed4d64c9d715
company,1629095580,Arthur J. Gallagher price target raised to $170 from $165 at Wells Fargo,69679075,,AJG,Thefly.com,Wells Fargo analyst Elyse... AJG,https://finnhub.io/api/news?id=f9839e103127f5f01e9aeb701f919a0bffc96c1f2eadb95c7167cccf783634d6
company,1629085260,Arthur J. Gallagher initiated with a Peer Perform at Wolfe Research,69694541,,AJG,Thefly.com,Wolfe Research analyst Mi... AJG,https://finnhub.io/api/news?id=f843d01dcbfdc5d27479ae01af8f27d854e767120ab3b1c5f92ae4f1f2d72456
company,1628865842,Arthur J. Gallagher (AJG) Buys Brokers' House Stake in Turkey,69656655,https://s.yimg.com/uu/api/res/1.2/7Ss_ahxI1JL8QmgBDBvOrg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b722e658bf812e4a58e158c041871ac6,AJG,Yahoo,Arthur J. Gallagher's (AJG) acquisition of majority stake in Brokers' House will help it foray into Turkish specialty broking market.,https://finnhub.io/api/news?id=3e301ed7c967809d6b54e729e0b7c55f727424d2405b42572c104868c22c7c48
company,1628856737,UPDATE 1-Insurance broker Gallagher to buy Willis Towers unit,69651177,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,AJG,Yahoo,"Insurance broker Arthur J Gallagher & Co said on Friday it had agreed to buy the treaty reinsurance brokerage business of Willis Towers Watson for an initial consideration of $3.25 billion.  The deal comes weeks after Willis and rival Aon Plc called off their $30 billion merger that would have created the world's largest insurance broker following opposition from the U.S. Department of Justice.  As part of approving the merger, European regulators had demanded the sale of Willis Re, the broker's reinsurance arm, to preserve competition, and Gallagher had agreed to buy it and other assets for about $3.6 billion.",https://finnhub.io/api/news?id=91c1aeaa1af542521b2e9b079cb42fe984ad0b6f08cb6f8562ce6d7149f4b5f6
company,1628855115,Willis Towers to sell reinsurance unit to Arthur J. Gallagher for initial cash consideration of $3.25 billion,69651179,https://s.yimg.com/uu/api/res/1.2/S8SCotpO9m2XQyQUIGU5dw--~B/aD02MzA7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/marketwatch.com/96d076434b2a015a3010bd2787b8c856,AJG,Yahoo,"Insurance broker Willis Towers Watson PLC said Friday it has reached an agreement to sell its reinsurance unit Willis Re to Arthur J. Gallagher & Co. for an initial consideration of $3.25 billion in cash. The deal includes another up to $750 million in cash to be paid in 2025 subject to certain adjustments. The deal comes after Willis Towers and Aon ended a plan to merge in late July following a Justice Department lawsuit. ""Following the termination of the proposed combination with Aon, we have",https://finnhub.io/api/news?id=91aea20a843fcebee57d780bbffc951fafac067567efb991d9007de30cddd9ae
company,1628854200,Arthur J. Gallagher & Co. Announces Agreement To Acquire Willis Towers Watson plc Treaty Reinsurance Brokerage Operations,69658023,https://s.yimg.com/uu/api/res/1.2/Qk4dmyIA0XoeTDkoDOxpUg--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/e31204ee7251070dc41f9b3a1078631a,AJG,Yahoo,Arthur J. Gallagher & Co. (NYSE: AJG) today announced an agreement to acquire the treaty reinsurance brokerage operations of Willis Towers Watson plc. The transaction is expected to close during the fourth quarter of 2021.,https://finnhub.io/api/news?id=aafc4ecd1513524f442b2740e95e23fd938487a135d7609aa6dd2c0781dfe5f4
company,1628841420,"ContextLogic, Airbnb, Disney, DoorDash: What to Watch When the Stock Market Opens Today",69652119,https://images.wsj.net/im-350737/social,AJG,DowJones,Airbnb and Doordash slipped after earnings reports; vaccine makers gained.,https://finnhub.io/api/news?id=c2619c50fd99ad50aa137e8f1bc04942d584f1c7e01df3c027cac4575e721d89
company,1628839800,Arthur J. Gallagher & Co. Announces Agreement To Acquire Willis Towers Watson plc Treaty Reinsurance Brokerage Operations,69653338,,AJG,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=12ab475ab5e23d318be69035d14bb0886cb182ffa19a1314c052d38421aee06a
company,1628837160,Arthur J. Gallagher to acquire Willis Re for $3.25B cash upfront,69653339,,AJG,Thefly.com,"Arthur J. Gallagher &... AJG, WLTW",https://finnhub.io/api/news?id=10cfb207a6a70e0288648ef92cf4b4a8e2c6f12d7ff3dd83551331502c7fa478
