category,datetime,headline,id,image,related,source,summary,url
company,1629199080,Alaska Air Orders More Boeing 737 MAX 9s,69694029,,ALK,Yahoo,"Late last year, Alaska Air (NYSE: ALK) made a big bet on the Boeing (NYSE: BA) 737 MAX as it plotted its post-pandemic recovery.  The company expanded its order book, including both purchases and leases, to a total of 68 737 MAX 9s, with deliveries between 2021 and 2024.  As a result, Alaska just exercised options for additional jet orders for the second time this year.",https://finnhub.io/api/news?id=82984c5dd4d953f3aaef37b99fdc42a4f80d870f6b89504f5aee988cb12a7eba
company,1629127860,"Alaska Airlines Continues Fleet Optimization, Adds 12 Boeing 737-9 Aircraft",69696500,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/alaska_airlines_2000_boeing_737-790_c_n_30344_28850996478_0.jpg,ALK,Benzinga,"Alaska Air Group, Inc. (NYSE: ALK) has accelerated its fleet growth by exercising options early on 12 Boeing (NYSE: BA) 737-9 aircraft. 
The option...",https://finnhub.io/api/news?id=2790085ac19e73816eb3b12010f68b1d9d45135e41a02f66066f9ff381355413
company,1629115913,Alaska Air exercises options on 12 Boeing 737-9 aircraft,69679938,https://s.yimg.com/uu/api/res/1.2/S8SCotpO9m2XQyQUIGU5dw--~B/aD02MzA7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/marketwatch.com/96d076434b2a015a3010bd2787b8c856,ALK,Yahoo,"Alaska Air Group Inc. said Monday it is exercising options early on 12 Boeing Co. 737-9 aircraft, bringing total firm commitments to 93 737-9 aircraft. Of that total, five aircraft are currently in service. ""We are excited to accelerate Alaska's growth, building on our solid financial foundation that enabled us to weather the pandemic,"" said Nat Pieper, senior vice president of fleet, finance and alliances. ""These aircraft are a prudent, long-term investment in our business that we can make whil",https://finnhub.io/api/news?id=5d25f1e11c79ff9ce66ffe248de4159bc79243248fa9b06f4639c39e0b9e4514
company,1629115200,Alaska Airlines continues fleet optimization with 12 additional Boeing 737-9 aircraft,69679939,https://s.yimg.com/uu/api/res/1.2/qrFU6sYf9JHK5NEaDrNvWw--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/d6671cd33534d9ea16c3e8296fd9a4a3,ALK,Yahoo,"Alaska Airlines announced today it is accelerating its fleet growth by exercising options early on 12 Boeing 737-9 aircraft. The option aircraft are now firm commitments for 2023 and 2024. This additional commitment brings Alaska's total firm 737-9 order to 93 aircraft, five of which are currently in service.",https://finnhub.io/api/news?id=4069c1ed2f95d06482e70fba109043187c044e41bf246e2bc5ce3ef4f1d5ea90
company,1629101513,Alaska Air exercises options on 12 Boeing 737-9 aircraft,69679277,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,ALK,MarketWatch,"Alaska Air Group Inc. undefined said Monday it is exercising options early on 12 Boeing Co. 737-9 aircraft, bringing total firm commitments to 93 737-9...",https://finnhub.io/api/news?id=98fd3bb7a8fdf9c1e216313493fe1572d04c1a99fa205030361f4629f95982e7
company,1629100800,Alaska Airlines continues fleet optimization with 12 additional Boeing 737-9 aircraft,69679050,,ALK,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=829b402235aee329f195e907a2b4ffe5b9abbd3266c8014399448bbd4e40ea53
company,1629097500,Alaska Air exercises options early on 12 Boeing 737-9 aircraft,69679051,,ALK,Thefly.com,"Alaska Airlines (ALK) ann... ALK, BA",https://finnhub.io/api/news?id=6339ee797d21981713c4c6282052fbc39a7a84b618262e483bbd84a89c9a63e5
company,1628938800,Airline Stocks Have Been Turbulent. Here Are 3 That Can Soar,69666345,https://s.yimg.com/uu/api/res/1.2/RUqrHOyVJd6P.kqJXxEayg--~B/aD03ODc7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/82d31e9f9e97ce01390e547ab4cc5da7,ALK,Yahoo,"The airline industry can't seem to navigate away from trouble right now.  Stocks plunged last year as the pandemic hit, with investors rightfully concluding that COVID-19 would crimp travel demand and send airlines into the red.  Spirit Airlines is the latest to be making headlines for mass flight cancellations, but issues have plagued carriers including Delta Air Lines, American Airlines Group, and Southwest Airlines (NYSE: LUV) at various points this summer.",https://finnhub.io/api/news?id=e9e9fa77162eb0a7595f3a987ea890a93f0fafab23ec21bb04d97bca4a876e73
company,1628928000,Delta vs. Alaska Air: Which Airline Stock is a Better Buy?,69668211,,ALK,TalkMarkets,,https://finnhub.io/api/news?id=c69abcc85995e953e613160e9542938cb9ae4f99ea5b80244e2f88dfb2a58897
company,1628872500,"Alaska Air Group Inc. stock falls Friday, underperforms market",69662789,https://images.mktw.net/im-220105/social,ALK,MarketWatch,"Shares of Alaska Air Group Inc. shed 1.62% to $57.62 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0c8b092db014607f17ea8dca040b81d77e2920798444d4ea63a87ef6a0320327
