category,datetime,headline,id,image,related,source,summary,url
company,1629128403,BRC vs. ALLE: Which Stock Should Value Investors Buy Now?,69682563,https://s.yimg.com/uu/api/res/1.2/XxozWWpdDFgGg6m0CzltLg--~B/aD02MDI7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/45c083e4721b0d0d1f6e431ec0bb5cc1,ALLE,Yahoo,BRC vs. ALLE: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=005445ec44feec95c3fb8f6170ff2fc1929b7f1b4dcec759c5f6df782160aea8
company,1628872560,"Allegion PLC stock rises Friday, outperforms market",69667365,https://images.mktw.net/im-220105/social,ALLE,MarketWatch,"Shares of Allegion PLC inched 0.66% higher to $138.01 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=7099bde04148594f63abc3de94a8decbf3b15cdf0a218bba5c0957ad3fe2a4c0
company,1628786160,"Allegion PLC stock falls Thursday, underperforms market",69667366,https://images.mktw.net/im-220105/social,ALLE,MarketWatch,"Shares of Allegion PLC slumped 0.05% to $137.10 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=09d1270758a41e97d2f5f0225f3028a41d11bed110d97eedd956eaa3d12c528e
company,1628699760,Allegion PLC stock underperforms Wednesday when compared to competitors despite daily gains,69636547,https://images.mktw.net/im-220105/social,ALLE,MarketWatch,"Shares of Allegion PLC inched 0.51% higher to $137.17 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=2ae6424885aeef25486c4109e6cdb0a5e08a83bb7fa0696c284dc62cdbc63f5c
company,1628613360,"Allegion PLC stock rises Tuesday, still underperforms market",69622449,https://images.mktw.net/im-220105/social,ALLE,MarketWatch,"Shares of Allegion PLC inched 0.09% higher to $136.48 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=e114259e8eb559440a74818b07abcb4d61944132a173935dd2b86b4270da1799
company,1628526960,Allegion PLC stock underperforms Monday when compared to competitors,69586358,https://images.mktw.net/im-220105/social,ALLE,MarketWatch,"Shares of Allegion PLC slipped 0.86% to $136.36 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=6b7923fad19d6313a4de9e8a1dfcaee5de269c17fd173a9094ee5f51f0a95e6a
company,1628510400,"International Paper Announces Spinoff Name, Board of Directors",69577838,https://s.yimg.com/uu/api/res/1.2/5wXADc9yUA0Tw2cayf8gWw--~B/aD02MTt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/6708336408457b316f4bf651a47909b0,ALLE,Yahoo,"International Paper (NYSE: IP) is proud to announce Sylvamo Corporation as the name of its global papers spinoff, with headquarters planned for Memphis, Tennessee.",https://finnhub.io/api/news?id=c96e8353ad9c93bafac3eda7d929374bf22aefbbc77480b6fbcbbc9b46e68065
company,1628496000,"International Paper Announces Spinoff Name, Board of Directors",69578670,,ALLE,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cdcb243bc409e973412cc0a8c41768ee7063477748e5618705f9ad205f8e1258
company,1628486794,Does Allegion's (NYSE:ALLE) Share Price Gain of 90% Match Its Business Performance?,69582900,https://s.yimg.com/uu/api/res/1.2/5r5oXpDak0g1f46DKo6pQA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/20440850d85a0a24534edc176f6e5c4b,ALLE,Yahoo,"The main point of investing for the long term is to make money. Better yet, you'd like to see the share price move up...",https://finnhub.io/api/news?id=67b639b7466111101135ac01b6106c3ae4784e5145cc6b3ea856c230d4b4c579
company,1628267760,Allegion PLC stock outperforms market on strong trading day,69586359,https://images.mktw.net/im-220105/social,ALLE,MarketWatch,"Shares of Allegion PLC inched 0.17% higher to $137.54 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=f7fc2852726981059633011f4b9c40be88f0ef3ff46873c441031041dc880776
company,1628181360,Allegion PLC stock outperforms competitors on strong trading day,69586360,https://images.mktw.net/im-220105/social,ALLE,MarketWatch,"Shares of Allegion PLC rose 1.35% to $137.30 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0b90611007d4fa83989a0263b5c5103d7c5a80bc9bfb2d5e123bdc8ad635d6e7
company,1628094960,Allegion PLC stock outperforms competitors despite losses on the day,69586361,https://images.mktw.net/im-220105/social,ALLE,MarketWatch,"Shares of Allegion PLC slid 1.70% to $135.47 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=7cca412366ff1b526a02e86b8942565c055aaca91667358ba046e5a4ed9f92ef
company,1628008560,"Allegion PLC stock rises Tuesday, outperforms market",69586362,https://images.mktw.net/im-220105/social,ALLE,MarketWatch,"Shares of Allegion PLC rose 1.43% to $137.81 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=251e25da850d96236fa226fb07397788d82ca06fe8ebe2f761658db29ba20d3b
