category,datetime,headline,id,image,related,source,summary,url
company,1629205092,Applied Materials (AMAT) to Post Q3 Earnings: What's in Store?,69697870,https://s.yimg.com/uu/api/res/1.2/DkIPNy3gkySj0BtwbYQioA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a0fe1407140d79327fc1281b42566542,AMAT,Yahoo,Applied Materials' (AMAT) fiscal third-quarter results are expected to reflect strength across its Semiconductor Systems Group and Applied Global Services segments.,https://finnhub.io/api/news?id=bb879ae1f24513f6cc2a3b2d19b4214cb18785e1bdb9d74d3923f032d924540d
company,1629199800,Applied Materials to Participate in Upcoming Investor Conferences,69703307,https://s.yimg.com/uu/api/res/1.2/hV3s3tedVCjPmHR8a8wcKA--~B/aD00Nzt3PTE4MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/f77e9acb0e7352442f72b28b748f39d7,AMAT,Yahoo,"SANTA CLARA, Calif., Aug. 17, 2021 (GLOBE NEWSWIRE) -- Applied Materials, Inc. today announced that Dan Durn, Senior Vice President and CFO, will participate in virtual fireside chats at the following investor conferences: Needham SemiCap and EDA Conference on Tuesday, Aug. 24 beginning at 9:45 a.m. PT / 12:45 p.m. ET.Deutsche Bank Technology Conference on Friday, Sept. 10 beginning at 9:45 a.m. PT / 12:45 p.m. ET.Citi Global Technology Conference on Wednesday, Sept. 15 beginning at 10:00 a.m. P",https://finnhub.io/api/news?id=24ca81ce7bc1cc3fd76f5d245bbb3462852b86d0d7491d2dea22b0f937614b7b
company,1629185400,Applied Materials to Participate in Upcoming Investor Conferences,69701978,,AMAT,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3db510aad3b24b5f17d4ade6a520c04b7090b84ebbbd4c2b0afa1ac8dafead68
company,1629117540,"Stenahm Asset Managment Ltd Buys Teck Resources, Applied Materials Inc, Analog Devices Inc, Sells Aclaris Therapeutics Inc, Equinix Inc, Score Media and Gaming Inc",69694814,,AMAT,GuruFocus,,https://finnhub.io/api/news?id=7ff616d4e20744589ff02134516d550bd892ceb60ede932955b92867c726ff43
company,1629117540,"Bailard, Inc. Buys Invesco Optimum Yield Diversified Commodity, Janus Henderson Mortgage-Backed Securities ETF, JPMorgan Ultra-Short Municipal Income ETF, Sells iShares MSCI Emerging Markets ETF, SPDR Nuveen Bloomberg Barclays Short Term Municipa, ISHARES",69695705,,AMAT,GuruFocus,,https://finnhub.io/api/news?id=88fac298b878798c04e59e6ca708bafdc921a9801b73fc442b7134cee5b0e72e
company,1629113940,"Systematic Alpha Investments, LLC Buys Invesco S&P SmallCap 600 Pure Value ETF, Vanguard Growth ETF, NVIDIA Corp, Sells Jacobs Engineering Group Inc, Alibaba Group Holding, D.R. Horton Inc",69694473,,AMAT,GuruFocus,,https://finnhub.io/api/news?id=7a47513966dcd80d2d5e8b31991c950aea0a0574c02a6ecd7abb1f2325de17a2
company,1629110340,"Marietta Wealth Management, LLC Buys Invesco BulletShares 2023 Corporate Bond ETF, Invesco BulletShares 2024 Corporate Bond ETF, Invesco BulletShares 2025 Corporate Bond ETF, Sells Invesco BulletShares 2021 Corporate Bond ETF, VF Corp, Bristol-Myers Squib",69694691,,AMAT,GuruFocus,,https://finnhub.io/api/news?id=ff2c28bcd26db99574150232a540adefba42de226e473d832316c0b119a4f71b
company,1629104100,Early notable gainers among liquid option names on August 16th,69680210,,AMAT,Thefly.com,"Notable gainers among liq... EBAY, STX, LRCX, AMAT, CPB",https://finnhub.io/api/news?id=82b9435729e1b1d4bddab7a9d7441b58792534b575c9bfaa806105ef9814ccaf
company,1629101963,Applied Materials: Great Business But Pricey,69678535,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1210738055/medium_image_1210738055.jpg,AMAT,SeekingAlpha,"Applied Materials is in a strong sector with a lot of tailwinds and has been consistently growing. A high valuation is shrinking future returns, if you were to buy at current prices.",https://finnhub.io/api/news?id=1ca789c221ed5083fd6b1875e48f1c1378015f3159cd582288daa0120323d96f
company,1629088740,"Soros Capital Management Llc Buys Ranpak Holdings Corp, Fiserv Inc, Amazon.com Inc, Sells Micron Technology Inc, Freeport-McMoRan Inc, Marriott International Inc",69695802,,AMAT,GuruFocus,,https://finnhub.io/api/news?id=08b4da7c480d20cc5fc29ba0b2c3abc48594f1ce4612f6e1717edfb7764463bc
