category,datetime,headline,id,image,related,source,summary,url
company,1629205200,SkyBitz Appoints Ken Moore to Lead Sales of Fast-Growth Tank Monitoring Division,69693834,https://s.yimg.com/ny/api/res/1.2/z5.W0TjnfS0zZrPYCdU6vQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0yMTE4/https://s.yimg.com/uu/api/res/1.2/CYc_dkKw_cGquahqiWSKOg--~B/aD0yNDAxO3c9MjI2NzthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/c24c8f94683d799d68f37420f360feba,AME,Yahoo,"Ken Moore New VP of Sales at SkyBitz Tank Monitoring Ken Moore New VP of Sales at SkyBitz Tank Monitoring HERNDON, Va., Aug. 17, 2021 (GLOBE NEWSWIRE) -- SkyBitz, a leader in industrial IoT telematics solutions, announces the appointment of Ken Moore to a new executive role as Vice President of Sales — Tank Monitoring. In this new role, Moore will have full responsibility of the sales team and revenue of SkyBitz’s fast-growth Tank Monitoring division, which provides distributors of petroleum and",https://finnhub.io/api/news?id=b14718d2d0886523fc34460863729fa330001ee698b026489fbd3063a63eafcd
company,1629190800,SkyBitz Appoints Ken Moore to Lead Sales of Fast-Growth Tank Monitoring Division,69701360,,AME,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d701de28f91a1edda42e5479127a1fa2b2db2f929cadb15ebf3e1bee85c15b49
company,1629131760,Ametek Inc. stock underperforms Monday when compared to competitors despite daily gains,69685742,https://images.mktw.net/im-220105/social,AME,MarketWatch,"Shares of Ametek Inc. inched 0.27% higher to $137.61 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=3c606d5f9fc4d714700ed1f35f73ef1417ae676add46f335e72b2e53ba56dbcc
company,1628872560,Ametek Inc. stock underperforms Friday when compared to competitors,69677465,https://images.mktw.net/im-220105/social,AME,MarketWatch,"Shares of Ametek Inc. sank 0.01% to $137.24 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=6f07fea846539a2494634f7467599fe8ffb7efce4c88a27821930c48e8c97c5e
company,1628786160,Ametek Inc. stock underperforms Thursday when compared to competitors,69677466,https://images.mktw.net/im-220105/social,AME,MarketWatch,"Shares of Ametek Inc. slipped 0.15% to $137.25 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ee9f5f73c67798d4c0d678628a97e2f4a87930f9c403301846ee7ef4cd893b96
company,1628771367,Fortive Setting Out To Show It Has Crafted A Durable And Superior Compounder Business Model,69637119,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1299489265/medium_image_1299489265.jpg,AME,SeekingAlpha,"Fortive surpassed sell-side expectations in the second quarter, with strong short-cycle momentum, but also double-digit growth in the software businesses.",https://finnhub.io/api/news?id=f0aed63baa9f3435e0c78d8564496b161901c6c5199a621ac676c51ec4ffd624
company,1628699760,"Ametek Inc. stock rises Wednesday, outperforms market",69677467,https://images.mktw.net/im-220105/social,AME,MarketWatch,"Shares of Ametek Inc. inched 0.48% higher to $137.45 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=1fc345c1ec919430dbb1dc36c7c6a306bc2eccffa134c81763aacfcd0e9879c6
company,1628613360,"Ametek Inc. stock rises Tuesday, outperforms market",69677468,https://images.mktw.net/im-220105/social,AME,MarketWatch,"Shares of Ametek Inc. inched 0.55% higher to $136.80 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=08b391e25f7e8e77f4f93c97213b065b44a32e39286a2889b25cd0ce469bb163
company,1628598360,SkyBitz Launches SmartTank Dispatch Solution for Distributors,69618902,,AME,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f703bfa2fb9f10e4d1ae058d936566b9b527c3c5bef54f0e2788205398374f70
company,1628568300,Mario Gabelli Comments on Ametek,69618903,,AME,GuruFocus,Guru stock highlight,https://finnhub.io/api/news?id=614f8fac843c078475ef49152b55dfa14f5f36e907179c903bc0985a3cba3c5f
company,1628567880,Mario Gabelli's Gabelli Asset Fund 2nd-Quarter Commentary,69614157,https://static.gurufocus.com/photos/companies/Mario_Gabelli_Conference_2019_2.JPG,AME,GuruFocus,Discussion of markets and holdings,https://finnhub.io/api/news?id=dade3c484e156005127616466e0e75b8b4d6c905706d252055053300b9499b59
company,1628526960,Ametek Inc. stock underperforms Monday when compared to competitors,69677469,https://images.mktw.net/im-220105/social,AME,MarketWatch,"Shares of Ametek Inc. dropped 0.56% to $136.05 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=9bd3bc7737a5bd0613cd51ed28465e0f7fa0eba47dacc97804ccb90d0c21a5cc
company,1628476860,"US Stocks: AME, AVAV, NIO, NTLA, PDD & SNAP Technical Analysis",69578774,,AME,TalkMarkets,,https://finnhub.io/api/news?id=52238a5831a48f132148ff98b29b39eed7151556ce94a2e33bc3cfe2eb3a2591
company,1628267760,Ametek Inc. stock underperforms Friday when compared to competitors,69568158,https://images.mktw.net/im-220105/social,AME,MarketWatch,"Shares of Ametek Inc. slumped 0.06% to $136.82 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=0c7bd64a61ce84fdd58822f015acc39ddad9c9483bba9c2755a1bedba9a01b1a
company,1628251260,Sheldon Thorpe Elected Vice President of Human Resources,69539949,https://s.yimg.com/uu/api/res/1.2/pUzvIcL33QvpaHhmFUUc0A--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/28f3ea9c2c37ab133cae454a7661e73e,AME,Yahoo,"AMETEK, Inc. (NYSE: AME) today announced that its Board of Directors has elected Sheldon Thorpe as Vice President of Human Resources. In this role, Mr. Thorpe will be responsible for AMETEK's talent acquisition and leadership development processes, diversity and inclusion initiatives, global human resources information systems and U.S. payroll operations systems.",https://finnhub.io/api/news?id=96ba9129f9d4b072175cec39b38a0e79160a486a5f9eab2a60c26bf66c6afba1
company,1628247430,4 Stocks to Watch as Industrial Automation Adoption Continues,69540022,https://s.yimg.com/uu/api/res/1.2/4VK2S3elOf4iZZGA7z_Omw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/269973e829c87e765d5bb55e61483c29,AME,Yahoo,"Watch out for the likes of ABB (ABB), National Instruments (NATI), AMETEK (AME) and Rockwell Automation (ROK) as the trend of industrial automation continues to gather steam.",https://finnhub.io/api/news?id=f844af7fa9792e23bd85dfb711d33fcb50df37cc7a310460bd34bd6df26215f9
company,1628236860,Sheldon Thorpe Elected Vice President of Human Resources,69547640,,AME,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=dd71b0de8536fab87ca1e9b5841a943006f4471037e3aad2c32d54a4d6d0df5d
company,1628236800,AMETEK Declares Quarterly Dividend,69547641,,AME,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3140a242f02996fc227ca32a06c5fcd54c3e400a388f0ac6b476270d96c97174
company,1628184965,"GoDaddy (GDDY) Q2 Earnings Miss, Revenues Outpace Estimates",69526837,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,AME,Yahoo,GoDaddy (GDDY) reports solid second-quarter revenues driven by strong product demand across all segments.,https://finnhub.io/api/news?id=08895615bd90b8a0dcf50111cfb974550bdc387e0ae96fc168058a76283637bc
company,1628181360,"Ametek Inc. stock rises Thursday, still underperforms market",69568159,https://images.mktw.net/im-220105/social,AME,MarketWatch,"Shares of Ametek Inc. inched 0.13% higher to $136.90 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=88df5bb41b41ef26c35501642ee3bf933d9655aaa3ba0a99ed08568af71fa193
company,1628166252,UBER Down More Than 4% Despite Q2 Earnings & Revenue Beat,69515966,https://s.yimg.com/uu/api/res/1.2/W_RYARm_gnFxDwAXlIfClQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/008e1f10e447293e42cb8bb345910f31,AME,Yahoo,"UBER's Q2 results benefit from recovery in mobility operations, partly offset by increased spending on drivers to meet ride demand.",https://finnhub.io/api/news?id=553922a426a19c11bc00edbb8385b9b380b9f5d3c93edd35394d3ff7495d655e
