category,datetime,headline,id,image,related,source,summary,url
company,1629207619,Amgen Is Undervalued By At Least 20%,69703158,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1328507495/medium_image_1328507495.jpg,AMGN,SeekingAlpha,Amgen reported solid second quarter results. I consider AMGN is at least 20% undervalued now. See why I think Amgen stock deserves a closer look at this point.,https://finnhub.io/api/news?id=dfa49a9f701ec9ed9fb655e6ae30323fc162c38515097ed19f4a1cccef1ee2e1
company,1629113940,"Ascension Capital Advisors, Inc. Buys First Trust NASDAQ Rising Dividend Achievers ETF, First Trust US Equity Opportunities ETF, Amgen Inc, Sells Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF, Schwab U.S. Large-Cap Growth ETF, Schwab U.S. Mid-Cap ETF",69695921,,AMGN,GuruFocus,,https://finnhub.io/api/news?id=eb2d1d18d7846dd572dcaa95ca17c5644cf526699fcf8a8fbad0a72e6a4614a0
company,1629113940,"Keystone Financial Planning, Inc. Buys Merck Inc, American Electric Power Co Inc, Accenture PLC, Sells U.S. Bancorp, United Parcel Service Inc, Paychex Inc",69694151,,AMGN,GuruFocus,,https://finnhub.io/api/news?id=d5c84d325f6f1166fc3f5e020cdae59dba009cdd0fcd4d59f362b748c53dd328
company,1629108180,Large Cap Biopharma Stocks provide Growth and Value,69681531,,AMGN,TalkMarkets,,https://finnhub.io/api/news?id=3b7f5e8c01a281dc2bb9d1b59a8a0c160feccdd7d5e8e9aacee1d01c840c2f53
company,1629086220,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.31% By Investing.com,69694228,https://i-invdn-com.investing.com/news/WallStreet_800x533_L_1598280460.jpg,AMGN,Investing.com,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.31%,https://finnhub.io/api/news?id=adeafec75c4549e309bcda5bdd8b4187f29d4a9c2e60bb6e3c2aba08de762308
company,1629015570,Amgen Is A Decent Addition To Your Dividend Growth Portfolio,69675464,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1210929434/medium_image_1210929434.jpg,AMGN,SeekingAlpha,Amgen has decent growth prospects and is attractively valued. Read more to see why I think AMGN stock is a decent addition to a dividend growth portfolio.,https://finnhub.io/api/news?id=d299f14d76a20a1376f32e2cff5cf1fc5055a68d2b8c110b262dd431f493aa2a
company,1628872560,Amgen Inc. stock outperforms market on strong trading day,69673259,https://images.mktw.net/im-220105/social,AMGN,MarketWatch,"Shares of Amgen Inc. inched 0.67% higher to $229.68 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=fbac2fc62d3ac497300a922be8c6c218edaec5880690ec0193e6268b71c108c7
company,1628865600,"Walt Disney, Salesforce.com Inc. share gains lead the way, but Dow flat",69663590,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,AMGN,MarketWatch,The Dow Jones Industrial Average is flat Friday afternoon with shares of Walt Disney and Salesforce.com Inc. leading the way for the index. The Dow was most...,https://finnhub.io/api/news?id=4a67c9a51f12fdf9c1530bcf92da4557a4562feb50586770a021082eecf2acaf
company,1628847960,"Dow's nearly 100-point climb highlighted by gains in Walt Disney, Salesforce.com Inc. stocks",69663591,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,AMGN,MarketWatch,"Shares of Walt Disney and Salesforce.com Inc. are trading higher Friday morning, sending the Dow Jones Industrial Average into positive territory. The Dow...",https://finnhub.io/api/news?id=c7b5f9cdda2e5f0cc9eecf4031f307c926eec546e41f280365b3c27da928ca74
company,1628845320,"82 Firms Going Ex-Dividend Next Week, Including Target, Walgreens Boots Alliance and GlaxoSmithKline",69654653,,AMGN,TalkMarkets,,https://finnhub.io/api/news?id=764fc56d31ba21ed6873fd91ac0cab376db1e55c60d95c332c59da41fab912f4
company,1628794807,How Are Biotech ETFs Reacting to These Q2 Earnings Releases?,69644452,https://s.yimg.com/uu/api/res/1.2/.UMP6LIbiG0Pb3tKR9RYYw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1566882a22938942efee3e7508e93e96,AMGN,Yahoo,Let's take a look at some big biotechnological earnings releases to see if these will impact ETFs exposed to the space.,https://finnhub.io/api/news?id=077dd84d6e09c1bc64a5c6be7adc98339522974dc21afd5abce55d7598e75d04
company,1628786160,"Amgen Inc. stock rises Thursday, still underperforms market",69649774,https://images.mktw.net/im-220105/social,AMGN,MarketWatch,"Shares of Amgen Inc. inched 0.01% higher to $228.15 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=d973ddc024793565527193e38b61a4132a3b2a25c255d507ffa1f7d1a06e4527
company,1628760840,"Ex-Dividend Reminder: Amgen, PacWest Bancorp and Manulife Financial",69651961,,AMGN,Dividend Channel,"dividend channel,AMGN,PACW,MFC,",https://finnhub.io/api/news?id=dbe5ae45cde1e3d6d65301329bbdb5a7fca76245ab5e6d11cc5f230603e3679e
company,1628752020,Revolution Medicines downgraded to Neutral from Buy at Goldman Sachs,69633380,,AMGN,Thefly.com,"Goldman Sachs analyst Chr... RVMD, AMGN",https://finnhub.io/api/news?id=7c6e53d82409b21abe0589ffbdf8d2f6f80bd63a39f4d2a2d507fcdeb9450ee9
company,1628744700,3 Best Biotech Stocks To Buy for Upcoming Catalysts,69632944,https://investorplace.com/wp-content/uploads/2020/03/ibio1600.jpg,AMGN,InvestorPlace,The next few months are critical for these biotech stocks which could witness a massive increase in their stock prices this year.,https://finnhub.io/api/news?id=2e420f6caf86fc0cd822ae1bc9f3438b9004615950d0adbd9509b455721315ef
company,1628699760,"Amgen Inc. stock rises Wednesday, still underperforms market",69628084,https://images.mktw.net/im-220105/social,AMGN,MarketWatch,"Shares of Amgen Inc. inched 0.07% higher to $228.13 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=65e05b0d9925531fd539c90937cf7949376fa5207718ca3579d172a70638ef1c
company,1628683551,"Moderna shares slide 16% after bearish BofA note, putting them on track for biggest percentage decline since May 2020",69625570,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,AMGN,MarketWatch,"Moderna Inc. shares undefined tumbled 16% Wednesday to put them on track for their biggest percentage decline since May of 2020, according to Dow Jones data....",https://finnhub.io/api/news?id=fb1495e326249265dc87bf8a3e36e3b14ea95452ce6434a846943e58c034b694
company,1628682958,Four Days Left To Buy Amgen Inc. (NASDAQ:AMGN) Before The Ex-Dividend Date,69621863,https://s.yimg.com/uu/api/res/1.2/CFs_WULfFYYyM1iyv.feAw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/7137ef364be97d9882cfa4ec57169a99,AMGN,Yahoo,Amgen Inc. ( NASDAQ:AMGN ) stock is about to trade ex-dividend in four days. The ex-dividend date occurs one day before...,https://finnhub.io/api/news?id=aa4a982af953f10f88315c5470b6c7045e6cb8332e25c53f8da54bcbec26f535
company,1628657297,3 Great Dividends You May Kick Yourself For Not Buying Now,69611885,,AMGN,SeekingAlpha,,https://finnhub.io/api/news?id=c8dfbfecabf0236c71b5e9c7ee11027a79ef05b4f8d6fe9ae3d494788c112a6c
company,1628634427,Nicholas Ward's Dividend Growth Portfolio: July 2021 Update,69608093,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1272890161/medium_image_1272890161.jpg,AMGN,SeekingAlpha,My passive income was up 3.76% y/y in July. My portfolio's total returns were 3.74% in July.,https://finnhub.io/api/news?id=9292b486622e65aef54e6a42c2b3cb2115792462875bba67450d0553822ae847
company,1628613360,"Amgen Inc. stock rises Tuesday, still underperforms market",69628087,https://images.mktw.net/im-220105/social,AMGN,MarketWatch,"Shares of Amgen Inc. inched 0.03% higher to $227.96 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=03537e293ba86b79bf48cc045b7a277a79e06062e7b335c3305bd6e104e7abb8
company,1628602440,"Moderna’s stock price is ‘ridiculous,’ says BofA analyst",69624773,https://images.mktw.net/im-383307/social,AMGN,MarketWatch,"Shares of Moderna Inc. have climbed so much that the biotechnology company's valuation is 'unjustifiable on a fundamental basis,' said analyst Geoff Meacham,...",https://finnhub.io/api/news?id=7d4aa9668ebd9e8b6a52fd99e75551ffe9afd15e4588ff78c851124fb290253c
company,1628589420,"Video: Dow Movers: AMGN, WMT",69598711,,AMGN,Market News Video,"In early trading on Tuesday, shares of Walmart topped the list of the day's best performing Dow Jones Industrial Average components, trading up 1.2% - Year to date, Walmart registers a 2.2% gain - AMGN,WMT,V,AAPL.",https://finnhub.io/api/news?id=f9fe356461086b947638ee9284632f762712187fc409fbc64a15092a286b7ee6
company,1628536976,Dow Jones Lags While Tech Stocks Turn Positive; Oil Prices Continue Lower,69584491,https://s.yimg.com/uu/api/res/1.2/WAuaz6qrZ4OYu_AuKxC0vQ--~B/aD02MDA7dz0xMDY1O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/f84dddde254e978a0083114ec56c1e2b,AMGN,Yahoo,The Dow Jones fell in today's stock market amid a sharp drop crude oil prices. Tech stocks turned positive in afternoon trading.,https://finnhub.io/api/news?id=5960df9bed173fd1db25b8a9ae7a321682cc43e0f6021db896628e37cf22a8d5
company,1628526960,Amgen Inc. stock underperforms Monday when compared to competitors,69588783,https://images.mktw.net/im-220105/social,AMGN,MarketWatch,"Shares of Amgen Inc. slipped 0.98% to $227.89 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=16765f8442e2b18481f883a4ccaf78d857e92f4ad44fca3e52633c6afd3787cc
company,1628500500,"Upcoming Ex-Dividend Dates: July 6-July 19, 2021",69577883,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318526353/medium_image_1318526353.jpg,AMGN,SeekingAlpha,We provide a summary of upcoming ex-dividend dates in a quick reference table. The table includes relevant data and key statistics as well as the next payout and pay date.,https://finnhub.io/api/news?id=b90b732eef4c63556e8bf5d1659a68241261a4592aaf6cbacbbc4011a06857e9
company,1628481360,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.30% By Investing.com,69594364,https://i-invdn-com.investing.com/news/LYNXMPEA6D0QO_L.jpg,AMGN,Investing.com,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.30%,https://finnhub.io/api/news?id=18847a50a85a54cec5a8444a3fca2d4c9414e9e488009370828f3d6a19bcfba9
company,1628388424,Dividend Champion And Contender Highlights: Week Of August 8,69568615,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,AMGN,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=f26cffbb3af02ff855098aafb565db5f260e504cd2b34119cf37f99869e96bb4
company,1628323500,My Top 5 Stocks To Buy For August 2021,69562297,,AMGN,TalkMarkets,,https://finnhub.io/api/news?id=9ab8ef8c84bd9f40e312cfd37af5c10b692a6e822d2ff661356bc4fe7748f2a8
company,1628320465,Week 32 MDA Breakout Stocks - August 2021: Short-Term Picks To Give You An Edge,69560713,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1214438750/medium_image_1214438750.jpg,AMGN,SeekingAlpha,Two new Breakout Stocks for Week 32 with better than 10% short-term upside potential. Read more to see our list of the MDA Breakout Stocks for week 32.,https://finnhub.io/api/news?id=745c513389bb3811dd424be38174cec4dbb9223cb669492587e649cf57db2a92
