category,datetime,headline,id,image,related,source,summary,url
company,1629117000,Sequoia Fund Q2 2021 Investor Letter,69681944,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ANET,SeekingAlpha,The fund's investment objective is long-term growth of capital.,https://finnhub.io/api/news?id=97216dc8a96bfdaa7bfb15f2e584b65c9e1eb9825491fcc26aeac8d345bb49fd
company,1629082320,Ruane Cunniff's Top 5 Trades of the 2nd Quarter,69695713,https://static.gurufocus.com/photos/others/portfolio_brief_case.jpg,ANET,GuruFocus,Firm ramps up portfolio newcomers,https://finnhub.io/api/news?id=473e31cb4303f9a3c87775121384d7b30ff05037c3e6ae5b316aff248742c24a
company,1628872620,"Arista Networks Inc. stock falls Friday, underperforms market",69663607,https://images.mktw.net/im-220105/social,ANET,MarketWatch,"Shares of Arista Networks Inc. sank 0.80% to $364.07 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=e6af74e328b882ebe148f292a358b3c2e8dbdd081edbdc9f5048d425c9bfd731
company,1628786220,"Arista Networks Inc. stock falls Thursday, underperforms market",69663608,https://images.mktw.net/im-220105/social,ANET,MarketWatch,"Shares of Arista Networks Inc. slumped 0.57% to $366.99 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=b42a6d3f88a7fae6239ff86716a65f714dc9a572d57981b9006e556fd76257bb
company,1628759040,5 Stocks Insiders Are Selling,69635351,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/insider-selling_6.jpg,ANET,Benzinga,"When insiders sell shares, it indicates their concern in the company’s prospects or that they view the stock as being overpriced. Either way, this signals an opportunity to...",https://finnhub.io/api/news?id=99f2ef7492e5cfddc9cce0aed03e338215009e50fc76305750cbe38e931c4f92
company,1628758800,Ita Brennan Joins Planet’s Board of Directors,69634849,,ANET,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a8da6d6115af70d62f26b108c3146493e39ded7a05fd2d190ad73ff882b14a77
company,1628740500,KeyBanc Capital Markets to hold a virtual forum,69632727,,ANET,Thefly.com,"Technology Leadership Vir... AEIS, AKAM, ALKT, ANET, ASML, AVPT, BARK, BSY, BTRS, CCOI, CDNS, SLAB, RVLV, PINC, PEGA, ON, MU, DV, YELP, ZNGA, WOW, CHKP",https://finnhub.io/api/news?id=d4509e431990a855a99663f7d2aa52b9dfbeee14eedfd22f9a410220dda80cf5
company,1628734560,Arista Networks Inc (ANET) President and CEO Jayshree Ullal Sold $10.1 million of Shares,69651972,,ANET,GuruFocus,,https://finnhub.io/api/news?id=9bbed6aa8b0a6094c2c87d66bc1d4e9528397dc9505a11709db77793bb07129c
company,1628699820,"Arista Networks Inc. stock falls Wednesday, underperforms market",69663609,https://images.mktw.net/im-220105/social,ANET,MarketWatch,"Shares of Arista Networks Inc. slid 0.70% to $369.10 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=56b631a682b9911d2984612a9b647e15d7a75556874076b31e3688575593cf96
company,1628654100,KeyBanc Capital Markets to hold a virtual forum,69614028,,ANET,Thefly.com,"Technology Leadership Vir... AEIS, AKAM, ALKT, ANET, ASML, AVPT, BARK, BSY, BTRS, CCOI, CDNS, SLAB, RVLV, PINC, PEGA, ON, MU, DV, YELP, ZNGA, WOW, CHKP",https://finnhub.io/api/news?id=ceed04666e60780a463034b738427526ba89eb547c9bede23019e67446e831ac
