category,datetime,headline,id,image,related,source,summary,url
company,1629131820,A.O. Smith Corp. stock outperforms market on strong trading day,69685816,https://images.mktw.net/im-220105/social,AOS,MarketWatch,"Shares of A.O. Smith Corp. inched 0.94% higher to $72.64 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=c0557af4e6fa79622d695c5e7dbbe302b522c11db691ecacbdc6e13c917b5d6d
company,1628872620,"A.O. Smith Corp. stock rises Friday, outperforms market",69685817,https://images.mktw.net/im-220105/social,AOS,MarketWatch,"Shares of A.O. Smith Corp. inched 0.76% higher to $71.96 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=fbd2c9b17addee567b59cc3b8653203634a2f16e69922be681e379f839c07ee8
company,1628786220,A.O. Smith Corp. stock underperforms Thursday when compared to competitors,69685818,https://images.mktw.net/im-220105/social,AOS,MarketWatch,"Shares of A.O. Smith Corp. shed 1.15% to $71.42 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=830786f29fcc7e8a18e21dd8cfe9ee566765b89f524af8527d1b11b175277188
company,1628699820,"A.O. Smith Corp. stock rises Wednesday, outperforms market",69685819,https://images.mktw.net/im-220105/social,AOS,MarketWatch,"Shares of A.O. Smith Corp. inched 0.50% higher to $72.25 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=83af3ce7233e224503173e6d506fa5df554369a75f064527ff7670159503c957
company,1628685540,"Cim, Llc Buys The Toro Co, FlexShares Ready Access Variable Income Fund, ProShares UltraPro Short 20+ Year Treasury, Sells Cerner Corp, Paycom Software Inc, Paylocity Holding Corp",69614090,,AOS,GuruFocus,,https://finnhub.io/api/news?id=1122b3f50d98b4ca8eddaac8d6e7025ed983745295ab4a2ec2a6dfb8f36c447d
company,1628613420,A.O. Smith Corp. stock outperforms market on strong trading day,69685820,https://images.mktw.net/im-220105/social,AOS,MarketWatch,"Shares of A.O. Smith Corp. inched 0.67% higher to $71.89 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=feb669aad706418595faf601784c2a682a9f7b38d2897ec1df892fe3e2bdee6b
company,1628527020,"A.O. Smith Corp. stock falls Monday, underperforms market",69685821,https://images.mktw.net/im-220105/social,AOS,MarketWatch,"Shares of A.O. Smith Corp. dropped 0.36% to $71.41 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8279cde13b13ab6d147931f7d1d85623c1480347af33735f1bf6164b991b5e7c
company,1628388424,Dividend Champion And Contender Highlights: Week Of August 8,69568615,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,AOS,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=f26cffbb3af02ff855098aafb565db5f260e504cd2b34119cf37f99869e96bb4
company,1628267820,A.O. Smith Corp. stock outperforms market on strong trading day,69574725,https://images.mktw.net/im-220105/social,AOS,MarketWatch,"Shares of A.O. Smith Corp. inched 0.46% higher to $71.67 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=d94cb020149101b4ccd288434ac1c5ed028c523cfd61fd77f932b66f247f263a
company,1628181420,"A.O. Smith Corp. stock falls Thursday, underperforms market",69574726,https://images.mktw.net/im-220105/social,AOS,MarketWatch,"Shares of A.O. Smith Corp. shed 0.25% to $71.34 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=209b296caa633ed9fa17691876576cb1f0e278c8b130371ce037f65a2ed029dc
