category,datetime,headline,id,image,related,source,summary,url
company,1629172500,Truist hosted company meetings at EnerCom's virtual conference,69696895,,APA,Thefly.com,"Truist hosts company meet... APA, AR, BCEI, CDEV, CRK, ERF, HPK, NOG, PDCE, SM, XEC",https://finnhub.io/api/news?id=dac7c49b70d1ab5f7d4a4e11dbb81bb757a7a910de899df948b2cbc85380501b
company,1629101460,Truist hosted company meetings at EnerCom's virtual conference,69679466,,APA,Thefly.com,"Truist hosts company meet... APA, AR, BCEI, CDEV, CRK, ERF, HPK, NOG, PDCE, SM, XEC",https://finnhub.io/api/news?id=0c8f8438e7409a3657c22c3b2362d677238858062604f64e3f646f3f589891db
company,1629101220,EnerCom to hold a virtual conference,69679467,,APA,Thefly.com,"Oil & Gas Virtual Con... TALO, BCSI, BTEGF, SM, LBRT, APA, DNOW, GDP, CDEV, SBOW, EGY, HPK, NUVSF, ERF",https://finnhub.io/api/news?id=daa31a2b62c4208d5e7a9951aafb8a30eb313084621ae23e7368300b8b31c77e
company,1629088740,"Paulson & Co. Buys DiDi Global Inc, APA Corp, Royal Dutch Shell PLC, Sells SPDR Gold Shares ETF, , Viatris Inc",69694397,,APA,GuruFocus,,https://finnhub.io/api/news?id=bba08545717fcdfc9b1de34f26175d4f61abebd68dde55a28687a9f26b106914
company,1629086220,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.31% By Investing.com,69694228,https://i-invdn-com.investing.com/news/WallStreet_800x533_L_1598280460.jpg,APA,Investing.com,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.31%,https://finnhub.io/api/news?id=adeafec75c4549e309bcda5bdd8b4187f29d4a9c2e60bb6e3c2aba08de762308
company,1629085860,"Paulson buys Bally's, cuts Dish Network in Q2",69694374,,APA,Thefly.com,"John Paulson's Pauls... APA, RDS.A, BALY, BP, KSU, GLD, TAK, XLE, OXY, XOM, GOLD, SA, VTRS, PCRX, SD, DISH, BHC, HZNP, BSIG, NG",https://finnhub.io/api/news?id=dd71643bfc408d291277f4fe9e791bc8d9deadf456f880e8e6207fc30ca480c7
company,1629085140,"Arctis Global LLC Buys MoneyGram International Inc, HyreCar Inc, Fortress Transportation and Infrastructure Investo, Sells Domtar Corp, Alliance Data Systems Corp, Popular Inc",69698152,,APA,GuruFocus,,https://finnhub.io/api/news?id=cf9e73b2e17a7eec2fed6aa79062dddf9d1640661bdff3ae337834afee067bfa
company,1628907420,"Apache Corporation Announces Upsizing, Expiration and Results of Cash Tender Offer for Any and All of Certain of its Outstanding Notes",69663161,https://s.yimg.com/uu/api/res/1.2/mb_sLyRCpTTn6i8mxF.ogA--~B/aD0xODk7dz01MjU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/00a345147653ba14899a33f0904f2a5f,APA,Yahoo,"HOUSTON, Aug. 13, 2021 (GLOBE NEWSWIRE) -- Apache Corporation announced today that it has amended its previously announced cash tender offers (each, an “Offer” and collectively, the “Offers”) to purchase up to $1.5 billion in aggregate principal amount of its outstanding notes listed in the table below (the “Notes,” and each, a “Series” of Notes) made pursuant to Apache’s Offer to Purchase, dated August 9, 2021 (the “Offer to Purchase”), to increase the Maximum Purchase Amount from $1.5 billion",https://finnhub.io/api/news?id=4cb96cdb64a813f08e173586267d7f0c01b2138972dc193a7fa6382cc566ae2d
company,1628893020,"Apache Corporation Announces Upsizing, Expiration and Results of Cash Tender Offer for Any and All of Certain of its Outstanding Notes",69667337,,APA,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c22e46ef1448c9edc943ed55261f33e0b31d877d519a2238811ff84faa4d37db
company,1628872620,APA Corp. stock underperforms Friday when compared to competitors,69664454,https://images.mktw.net/im-220105/social,APA,MarketWatch,"Shares of APA Corp. slid 5.50% to $17.88 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index rising...",https://finnhub.io/api/news?id=3ce40300b6dc51a1e206e86d8d787e823fd7dcf13c58b44a0f400ca57283edd0
company,1628854920,"The 3 Smartest Stocks to Buy With $2,000 Right Now",69667824,https://investorplace.com/wp-content/uploads/2019/07/Stocks-to-buy-5.jpg,APA,InvestorPlace,"With markets still volatile and economic data still mixed, its crucial investors find stocks to buy with high scores across multiple metrics.",https://finnhub.io/api/news?id=2a7b5a73891bf04d2f7431b0c98cf2817cc63707872ec6e21d97fe850affd7ed
company,1628829780,"Friday Sector Laggards: Energy, Services",69667825,,APA,Market News Video,"The worst performing sector as of midday Friday is the Energy sector, showing a 0.9% loss - Within the sector, APA Corp (APA) and Occidental Petroleum Corp (OXY) are two of the day's laggards, showing a loss of 3.6% and 3.4%, respectively. - APA,OXY,XLE,BBY,PENN.",https://finnhub.io/api/news?id=99e98fd83b5365a5f3b801c6fcf8c2d95cc8b48f03c0101f881bb3917e40e19b
company,1628826960,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.04% By Investing.com,69667114,https://i-invdn-com.investing.com/news/LYNXMPEA6J01O_L.jpg,APA,Investing.com,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.04%,https://finnhub.io/api/news?id=e742ae6ff939a4cfd6858634d10216657baf780dcc81f509c8f7770e02b4dd55
