category,datetime,headline,id,image,related,source,summary,url
company,1629131820,"Aptiv PLC stock falls Monday, underperforms market",69690973,https://images.mktw.net/im-220105/social,APTV,MarketWatch,"Shares of Aptiv PLC dropped 0.42% to $164.24 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=34e8dc38a45b7b42b89ab180310c5e2ee303369948dc33e91fdb7802a8bd5310
company,1629119520,The Chip Shortage Could Last Years. It Isn’t All Bad for Auto Stocks.,69690975,https://images.barrons.com/im-386022/social,APTV,MarketWatch,"RBC analyst Joe Spak says the chip shortage choking auto production could last years. The crunch has been good for vehicle mix, however.",https://finnhub.io/api/news?id=efd10d83028469ef59ccfda6f075a483fda8f096826e66f919174fa46ed86890
company,1629117540,"Sandbar Asset Management LLP Buys Otis Worldwide Corp, Sealed Air Corp, First Solar Inc, Sells Lowe's Inc, Boeing Co, General Electric Co",69694917,,APTV,GuruFocus,,https://finnhub.io/api/news?id=4948c7e6d2f04784ad24c8c028aed4c0765c2e7db764f4d4887c7ba7498d1d94
company,1628926184,Investing in Aptiv (NYSE:APTV) five years ago would have delivered you a 215% gain,69667667,https://s.yimg.com/uu/api/res/1.2/FEoWkW5.iY._1qhNsHijRw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/022699753fad0dede80810c245e79274,APTV,Yahoo,"When you buy a stock there is always a possibility that it could drop 100%. But on the bright side, you can make far...",https://finnhub.io/api/news?id=1a6acceae16de4bcaef6b8d2682946c44ee473a75acaff0aa2a6f0e9581d6930
company,1628872620,Aptiv PLC stock underperforms Friday when compared to competitors,69690977,https://images.mktw.net/im-220105/social,APTV,MarketWatch,"Shares of Aptiv PLC dropped 0.95% to $164.93 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=33519e6f9af6af12471d645819b52dec60989817bc19301d09b92094f487f042
company,1628786220,"Aptiv PLC stock falls Thursday, underperforms market",69651041,https://images.mktw.net/im-220105/social,APTV,MarketWatch,"Shares of Aptiv PLC slipped 0.96% to $166.52 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=d08000ff165e542ce0fcad1f3c6aee03e2336592eb2576497eb5c230699ac5d3
company,1628699820,"Aptiv PLC stock falls Wednesday, underperforms market",69651042,https://images.mktw.net/im-220105/social,APTV,MarketWatch,"Shares of Aptiv PLC shed 0.95% to $168.14 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=2661f3fc4db4e1cc4daadd86ae438ee5d8a521d67e597ae357a7a2d8967d9a58
company,1628613420,Aptiv PLC stock underperforms Tuesday when compared to competitors despite daily gains,69605317,https://images.mktw.net/im-220105/social,APTV,MarketWatch,"Shares of Aptiv PLC rallied 2.69% to $169.76 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=39c3e1187853ed148e36a748ba2e20951039466dfb1bd098810c5761a466b9ed
company,1628613000,Aptiv to Present at the J.P. Morgan 2021 Auto Conference,69616882,,APTV,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=474181ddaf2858e409a8afc4b1e712d5710d00006f63f5d4cfeab41023555ae4
company,1628599140,"Crystal Rock Capital Management Buys Aptiv PLC, Telos Corp, Netflix Inc, Sells Adobe Inc, Citi Trends Inc, Nuance Communications Inc",69595266,,APTV,GuruFocus,,https://finnhub.io/api/news?id=01a3b578caa6a8176045ae20021d4bc90b3ee36952679ab4321af52cf9b1e698
company,1628527020,Aptiv PLC stock outperforms competitors on strong trading day,69586439,https://images.mktw.net/im-220105/social,APTV,MarketWatch,"Shares of Aptiv PLC rallied 1.32% to $165.31 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d5a0e8220f2373997841f274efcc8792b5052036ffc78c922645c4b235dab526
company,1628267820,Aptiv PLC stock outperforms market on strong trading day,69556477,https://images.mktw.net/im-220105/social,APTV,MarketWatch,"Shares of Aptiv PLC rallied 2.19% to $163.15 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=9574350017242cfbc070dee8bb15e6f0d5dfb73423f563b841b918dc1ab29c1d
