category,datetime,headline,id,image,related,source,summary,url
company,1629179040,Atmos Energy price target raised to $110 from $109 at Mizuho,69695335,,ATO,Thefly.com,Mizuho analyst Gabriel Mo... ATO,https://finnhub.io/api/news?id=19ef8d3e605e95b0eea1c571d951818fb9982760a1e13be60e52ad9446faaafb
company,1629131880,"Atmos Energy Corp. stock falls Monday, underperforms market",69685769,https://images.mktw.net/im-220105/social,ATO,MarketWatch,"Shares of Atmos Energy Corp. slid 0.39% to $101.07 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=f6b3a6c1c06bef3940dba70c1596333c7b7cd4d6c5319e93d82ec4bf9027dbbe
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,ATO,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628872680,Atmos Energy Corp. stock outperforms market on strong trading day,69662763,https://images.mktw.net/im-220105/social,ATO,MarketWatch,"Shares of Atmos Energy Corp. inched 0.89% higher to $101.47 Friday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=e5766e7320d748fdf11d9b33b7db1f2edf94c943cf6a872118c975f936f9529c
company,1628786280,"Atmos Energy Corp. stock falls Thursday, underperforms market",69648331,https://images.mktw.net/im-220105/social,ATO,MarketWatch,"Shares of Atmos Energy Corp. dropped 0.56% to $100.57 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=a3a7d2b4e575eec727cc2e0702ab94ac3bfbfaa69ea1b54d3b4e761b7ecc8982
company,1628699880,Atmos Energy Corp. stock outperforms competitors on strong trading day,69628132,https://images.mktw.net/im-220105/social,ATO,MarketWatch,"Shares of Atmos Energy Corp. inched 0.25% higher to $101.14 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=62b4287a6ebcc88c0950c089cacad9d736538eccdc05fd14a5bfcbab581cd172
company,1628613480,"Atmos Energy Corp. stock falls Tuesday, underperforms market",69628133,https://images.mktw.net/im-220105/social,ATO,MarketWatch,"Shares of Atmos Energy Corp. shed 0.23% to $100.89 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=01441d6d9482011548b013845c2c08ed67eb95a317a3fce148a9495dd7644b85
company,1628527080,"Atmos Energy Corp. stock rises Monday, outperforms market",69628134,https://images.mktw.net/im-220105/social,ATO,MarketWatch,"Shares of Atmos Energy Corp. inched 0.23% higher to $101.12 Monday, on what proved to be an all-around poor trading session for the stock market, with the...",https://finnhub.io/api/news?id=c058885580f036cfc84027d0d251ed051a5831bbe7e9b2ad25f952e36b36ec55
company,1628269205,"Spire's (SR) Earnings Beat Mark in Q3, Revenues Rise Y/Y",69549854,https://s.yimg.com/uu/api/res/1.2/hW4eVEqvD1PC9.jVQAoI_g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a3fb7a04f19defa80465e7d44efab77c,ATO,Yahoo,Spire's (SR) third-quarter fiscal 2021 earnings decline year over year whereas revenues improve.,https://finnhub.io/api/news?id=f0bbfd7f6714c12e89cd7f2091cb702d6b4ab086f7ecfe1054c2cd49356686d2
company,1628269205,"MDU Resources' (MDU) Q2 Earnings Miss Mark, Revenues Rise Y/Y",69553100,https://s.yimg.com/uu/api/res/1.2/ah1KAaZpcIGSWpUwzAtjYA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3459f76bdd0f0166630bea5814b88b80,ATO,Yahoo,MDU Resources (MDU) posts second-quarter earnings in line with the year-over-year number while its revenues improve.,https://finnhub.io/api/news?id=cd58a1137d18de0b23be0f58fef3e2b40b27910c7be46af2bb6f12063300418d
company,1628267880,Atmos Energy Corp. stock underperforms Friday when compared to competitors,69559109,https://images.mktw.net/im-220105/social,ATO,MarketWatch,"Shares of Atmos Energy Corp. dropped 0.41% to $100.89 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=458c95796f45ed9efa26cdf2c5477b38d7ec55f26ef003b9b44e2a5111ef076e
company,1628267824,"National Fuel Gas (NFG) Q3 Earnings Beat Estimates, View Up",69553041,https://s.yimg.com/uu/api/res/1.2/u7c6EMB_mNJjfaMIKbJ9fQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c2c7b027836b7bbff8464afe87407f50,ATO,Yahoo,National Fuel Gas Company's (NFG) third-quarter fiscal 2021 earnings are better than expected. The company gains from an improvement in realized commodity prices.,https://finnhub.io/api/news?id=6c3f6d2f00aecff91570d88cf00cac35bbb65ede66f5741448856edf8d8ce17c
company,1628261777,Atmos Energy Corporation 2021 Q3 - Results - Earnings Call Presentation,69550499,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ATO,SeekingAlpha,The following slide deck was published by Atmos Energy Corporation in conjunction with their 2021 Q3 earnings call.,https://finnhub.io/api/news?id=83734cb558623764966cdecbfbf8d8a6a1f364382b603362073eb96cf92af411
company,1628231280,Atmos Energy a Top Ranked SAFE Dividend Stock With 2.5% Yield (ATO),69544697,,ATO,ETF Channel,"Staff article entitled Atmos Energy a Top Ranked SAFE Dividend Stock With 2.5% Yield (ATO), about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=510846201f1191c917ab4036803a1e7a875a5bf4bab64188ba75362ebf7a11eb
company,1628226669,Why I Bought Quanta Services,69538326,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212563353/medium_image_1212563353.jpg,ATO,SeekingAlpha,Quanta Services has and will benefit from grid hardening and modernization. Read more to see why PWR is a worthy addition to ESG and energy/utility infrastructure investors.,https://finnhub.io/api/news?id=908885694c3cca10f47e2bf5f7c366260b356bc4c991cc2556c5424f90a39135
company,1628182869,Atmos Energy Corporation (ATO) Q3 2021 Earnings Call Transcript,69525618,,ATO,Yahoo,"With me this morning are Kevin Akers, President and Chief Executive Officer; and Chris Forsythe, Senior Vice President and Chief Financial Officer.  Today's presentation also includes references to non-GAAP financial measures.",https://finnhub.io/api/news?id=911898c8e0e7147a8fcfde7a57d9ec647c254457730180c415ce79980d1a5a3a
company,1628181480,Atmos Energy Corp. stock outperforms market on strong trading day,69530810,https://images.mktw.net/im-220105/social,ATO,MarketWatch,"Shares of Atmos Energy Corp. rose 1.93% to $101.31 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=f916636a62fc706d7300ce9ff14ad987ac3161531c8f46d1c02a221a72661256
