category,datetime,headline,id,image,related,source,summary,url
company,1629143478,A Look At The Fair Value Of Avery Dennison Corporation (NYSE:AVY),69689046,,AVY,Yahoo,Today we'll do a simple run through of a valuation method used to estimate the attractiveness of Avery Dennison...,https://finnhub.io/api/news?id=9ac4c098e713b93a46dba42a15e8bbaa681325ffcc7c0e82124869bbf7cf7d98
company,1629131880,"Avery Dennison Corp. stock rises Monday, outperforms market",69687893,https://images.mktw.net/im-220105/social,AVY,MarketWatch,"Shares of Avery Dennison Corp. rose 1.93% to $219.70 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=d90b5140a7f0075748c1ee79b7dbdee759d060d4ebcc4b0580d0db115e5fec57
company,1629117540,"Bell Asset Management Ltd Buys Amazon.com Inc, Keysight Technologies Inc, Nike Inc, Sells UnitedHealth Group Inc, Avery Dennison Corp, Facebook Inc",69697303,,AVY,GuruFocus,,https://finnhub.io/api/news?id=ef3b121400fe181e7779a8403a82619b9dc62f3daf8cfaaed227fc6ad37dcd7b
company,1628872680,"Avery Dennison Corp. stock falls Friday, underperforms market",69662713,https://images.mktw.net/im-220105/social,AVY,MarketWatch,"Shares of Avery Dennison Corp. dropped 0.23% to $215.53 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=40b216d60f767a3aad516aeb80a0df573c0abeeff3676f530f1288b64d5df2df
company,1628786280,"Avery Dennison Corp. stock falls Thursday, underperforms market",69649775,https://images.mktw.net/im-220105/social,AVY,MarketWatch,"Shares of Avery Dennison Corp. sank 0.68% to $216.02 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=c68cced2283e78dc626d3e21da103c0c064243fdd9698419a6fe1d70b2d0dc0e
company,1628699880,"Avery Dennison Corp. stock rises Wednesday, still underperforms market",69649776,https://images.mktw.net/im-220105/social,AVY,MarketWatch,"Shares of Avery Dennison Corp. inched 0.22% higher to $217.50 Wednesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=4e88ba65558ffc7bc93f3748b187b0f609b0b67c1071cdf5e6ce9736821d9a17
company,1628681640,Avery Dennison Raises $800M Via Senior Notes Offering,69638546,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/industrial_pic_257.jpg,AVY,Benzinga,Avery Dennison Corp (NYSE: AVY) has priced an underwritten public offering of $300 million of 0.850% Senior Notes due 2024 and $500 million of 2.250% Senior Notes...,https://finnhub.io/api/news?id=6f7edeee0a4d594e2cffaf482a9a6a6f7c734aa6aeef27b1b264812c64ceeae4
company,1628668080,Avery Dennison Reaches Analyst Target Price,69617024,,AVY,ETF Channel,"Staff article entitled Avery Dennison Reaches Analyst Target Price, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=6257c8ae2405ae3813dc097f550f45b5e5165d35b47a8d8c7931431a50d4d2de
company,1628636820,Avery Dennison Prices $800 Million Senior Notes Offering,69606348,,AVY,Yahoo,"GLENDALE, Calif., August 10, 2021--Avery Dennison Prices $800 Million Senior Notes Offering",https://finnhub.io/api/news?id=e0dadc0ba9deb4bac5a0c5a95217d69da47e01ff4de55b113a1bb544485f1379
company,1628622420,Avery Dennison Prices $800 Million Senior Notes Offering,69617025,,AVY,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=18bff30c3c57cbd273f427b98493b78ba737614d53a33778161d42504c20c6a2
company,1628613480,"Avery Dennison Corp. stock rises Tuesday, outperforms market",69649777,https://images.mktw.net/im-220105/social,AVY,MarketWatch,"Shares of Avery Dennison Corp. rose 1.11% to $217.03 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=5282e1373d7e9fdbc89bc87a98ef89a267fbebe19e8a0816e7f38426b4ddf3ed
