category,datetime,headline,id,image,related,source,summary,url
company,1629132540,Illinois American Water Announces 2021 Firefighter Grant Program,69683118,https://s.yimg.com/uu/api/res/1.2/6iaoFBYRRzHcOBUiD_4Z2w--~B/aD0yMjY7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/739a637494831e4c6d1caa04ddf40e38,AWK,Yahoo,"BELLEVILLE, Ill., August 16, 2021--Illinois American Water is accepting applications for its 2021 Firefighter Grant Program. Through this program, the company provides financial assistance to fire and emergency organizations in its service areas.",https://finnhub.io/api/news?id=84729100f85be88c7c0f3d8c6534ba08b3e7f665fe46b272d275d26c3025984e
company,1629118140,Illinois American Water Announces 2021 Firefighter Grant Program,69697358,,AWK,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=beb6ff74069b1ef6ab0476ec164c8df0c8293eb23d0c48a3b9ea80e329914ca4
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,AWK,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1628949592,10 Utilities Stocks with Over 3% Yield,69667585,,AWK,Yahoo,"In this article, we will be looking at 10 utilities stocks with over 3% yield. To skip our detailed analysis of utility stocks, you can go directly to see the 5 Utilities Stocks with Over 3% Yield. In the midst of a prolonged economic recession and threats of rising inflation and interest rates, investor circles and […]",https://finnhub.io/api/news?id=3d3413c317bb8c7a95b602d37f058b39ed639dfb958fd0fefd6761eceeefbb27
company,1628928550,XLU: Utilities Dashboard For August,69666474,,AWK,SeekingAlpha,,https://finnhub.io/api/news?id=1392bd005dadb1dc9ffebe1acb546581d4f0848126adc219492b7ae7b6581148
company,1628872680,American Water Works Co. stock outperforms market on strong trading day,69674769,https://images.mktw.net/im-220105/social,AWK,MarketWatch,"Shares of American Water Works Co. inched 0.83% higher to $178.92 Friday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=4e8473b40d63a08787fab07dd58415154b963d52971a3ec2ac7c22bd9222119c
company,1628865362,American Water's (AWK) Indiana Unit Buys Assets for $0.4M,69658675,https://s.yimg.com/uu/api/res/1.2/GEZqabC21jfoYdrfPj3BPQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3c1d82b294d7115109bf76ee7125b7e1,AWK,Yahoo,American Water Works' (AWK) unit Indiana American Water completes another acquisition and is committed to make the necessary investments to upgrade the acquired assets.,https://finnhub.io/api/news?id=55814400cf87ce9847b974cccea767e612de723edb63484e76a3cc73161ca2de
company,1628799900,Indiana American Water Acquires River’s Edge Water and Wastewater Systems in Southeast Indiana,69642551,https://s.yimg.com/uu/api/res/1.2/um8wry9YibYJDsWL3hN7gg--~B/aD0yMjY7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/818a200bf98dc85f824c506e2416fa12,AWK,Yahoo,"JEFFERSONVILLE, Ind., August 12, 2021--Indiana American Water President Matt Prine today announced the company’s acquisition of the River’s Edge water and wastewater systems in Indiana.",https://finnhub.io/api/news?id=7b17c7f16f920888efe11760d267e678273e30d57434b23362a2ba3b56172a0c
company,1628786280,American Water Works Co. stock outperforms market on strong trading day,69674770,https://images.mktw.net/im-220105/social,AWK,MarketWatch,"Shares of American Water Works Co. rallied 1.08% to $177.45 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=2cd0d77306da567fd273e0b98c7478ef92b592dc1ba97db86d148e85536fd010
company,1628785500,Indiana American Water Acquires River’s Edge Water and Wastewater Systems in Southeast Indiana,69654007,,AWK,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=8a8f566b5e3b55f54a798f91c9b4fa753054359c8e1546b1bf7420d27f58e651
company,1628738760,"Indiana American Water acquires River's Edge water, wastewater systems",69654008,,AWK,Thefly.com,Indiana American Water Pr... AWK,https://finnhub.io/api/news?id=540bb8cd3f04276452db17a81daf2399f344f20654c676ff94e52b90b91005ee
company,1628699880,"American Water Works Co. stock falls Wednesday, underperforms market",69674771,https://images.mktw.net/im-220105/social,AWK,MarketWatch,"Shares of American Water Works Co. slipped 0.26% to $175.56 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=5997f4d1e40aa3689a23dbfcb7e82129c8dbba613ec6dc7df9f967be950b629c
company,1628685840,"Missouri American Water Invests $250,000 in St. Joseph Infrastructure",69613950,https://s.yimg.com/uu/api/res/1.2/rtJU4l02Zg6i9Cmyvtwqew--~B/aD0xNDE7dz0zMDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/d3cb75b437835293a74ac341f587f049,AWK,Yahoo,"ST. JOSEPH, Mo., August 11, 2021--Missouri American Water Invests $250,000 in St. Joseph Infrastructure",https://finnhub.io/api/news?id=5e59d1588b554b0acee5032abb0aee0c2e51bef5cd7d6369d8b18a0f34bd2990
company,1628684772,American Water (AWK) Pennsylvania Arm to Spend $0.4M on Upgrades,69613951,https://s.yimg.com/uu/api/res/1.2/C7JBfQ2s9NaLIWiwvAQDUQ--~B/aD00NjU7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/69d9fee86e2eea3e006082b7c555d349,AWK,Yahoo,American Water Works' (AWK) subsidiary Pennsylvania American Water is making investments to upgrade aging water infrastructure and provide high quality services to customers.,https://finnhub.io/api/news?id=35f53fd9d490c32772cc20a3eead5f80836223b4ad5d27df1247d910c6ef170f
company,1628671440,"Missouri American Water Invests $250,000 in St. Joseph Infrastructure",69618552,,AWK,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9ea6f659100750ec5d117e99568a880bf290b1e6d8ffdce45e7a84f761a1eb60
company,1628630760,Illinois American Water Celebrates Two Significant Safety Milestones,69606219,https://s.yimg.com/uu/api/res/1.2/7bwXCgt0MONcQYiFd9ubTw--~B/aD0yMjY7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/e0f072e45bee628010c783f66f6e5dcc,AWK,Yahoo,"BELLEVILLE, Ill., August 10, 2021--Illinois American Water is celebrating two significant safety milestones achieved by the Streator and South Beloit Districts. The teams celebrated over a decade of operations without a lost-time accident. The Streator District celebrated 13 years and the South Beloit District celebrated 15 years on Aug. 1, 2021.",https://finnhub.io/api/news?id=ba05f7addfc0da9616d7acc0b52c09af63e6a3987837bd4f6c5251c3d30f53cd
company,1628616360,Illinois American Water Celebrates Two Significant Safety Milestones,69618553,,AWK,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4b62377084577bb54ba7a8910df5c61ec0a215f1b248a4c938a9ba311f8ea8de
company,1628613480,"American Water Works Co. stock falls Tuesday, underperforms market",69674772,https://images.mktw.net/im-220105/social,AWK,MarketWatch,"Shares of American Water Works Co. slid 0.63% to $176.01 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=14ef53ae5907776300dc4126e785e563c11ded6f6373fa8b6d6f270bd0523191
company,1628604962,Reasons to Add Middlesex Water (MSEX) to Your Portfolio Now,69599365,https://s.yimg.com/uu/api/res/1.2/ULjt1eArNx2pycScaXPjpw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/0f3182eccd855711cff4fbf09b861730,AWK,Yahoo,Middlesex Water (MSEX) makes a strong case for investment as it continues to benefit from customer additions and regular capital investments.,https://finnhub.io/api/news?id=c510520837ce22fd865ed5eb7fcaf19a842c0a5cd8ca582b1aca247659be5570
