category,datetime,headline,id,image,related,source,summary,url
company,1629118620,American Express Celebrates for the Return of the 2021 US Open Tennis Championships with New Curated Experiences for Card Members,69685059,https://s.yimg.com/uu/api/res/1.2/weAqTXA_YviKJrY0bxwBdA--~B/aD0yNzA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/1cb9a471af3da6c7ffc4f3cca26ceaf8,AXP,Yahoo,"NEW YORK, August 16, 2021--American Express (AXP: NYSE) today announced new on-site and off-site experiences to welcome tennis fans back to the US Open Tennis Championships. Card Members purchased 56% more tickets during American Express’ three day US Open pre-sale this year compared to the same window in 20191, showing they are eager to get back to the matches. To celebrate the return of the Championships, American Express is unveiling a series of unique experiences for Card Members and tennis",https://finnhub.io/api/news?id=be326445ba7afc4d54e308fc3ac8c31f466a9597dc7b519d409e5e3eeaea857f
company,1629112140,American Express reports July write-off rate 0.7% vs. 0.7% last month,69699567,,AXP,Thefly.com,Reports July 30 days past... AXP,https://finnhub.io/api/news?id=40ef875b7a084500452ce046b83c6f2c9addee4a6354a2f873e9800578407aed
company,1629104220,American Express Celebrates for the Return of the 2021 US Open Tennis Championships with New Curated Experiences for Card Members,69679961,,AXP,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d48dce56aa096a69b9777765d263df21f89cbe8be676e886959ecd2bba119008
company,1629088740,"Middleton & Co Inc Buys ServiceNow Inc, Vanguard FTSE Developed Markets ETF, American Express Co, Sells Illumina Inc, Berkshire Hathaway Inc, EOG Resources Inc",69695754,,AXP,GuruFocus,,https://finnhub.io/api/news?id=01fc8e7ec43791a5940fa5fe8e8aa3c60004b498e2724f32482705fab7151ab0
company,1629085927,Week 33 MDA Breakout Stocks - August 2021: Short-Term Picks To Give You An Edge,69677563,,AXP,SeekingAlpha,,https://finnhub.io/api/news?id=20d37a80a71dc0e4aacef4d3fae1a7b8861d848975a095b6969bebd119edd8a3
company,1629083520,"Berkshire Hathaway exits Biogen, boosts Kroger in Q2",69694229,,AXP,Thefly.com,"Warren Buffett's Ber... BRK.A, BRK.B, AXTA, BIIB, LBTYA, KR, RH, AON, GM, BMY, ABBV, LBTYK, CVX, AAPL, BAC, AXP, KO, KHC",https://finnhub.io/api/news?id=037a6f2673c6a7942b8503c317fad1f055795df50eb92a55758183391fddd237
company,1628924799,Discover Financial Services: Don't Make My Mistake,69666174,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/147314538/medium_image_147314538.jpg,AXP,SeekingAlpha,Discover rebounded sharply from pandemic bottom and continues to make record highs. Here's why I believe DFS' business is firing on all cylinders and showing no signs of stopping.,https://finnhub.io/api/news?id=5708ef777f7fdefd99bf2dc39c52413366c5024f0700e91513d35e8182d77f46
company,1628872680,"American Express Co. stock falls Friday, underperforms market",69673630,https://images.mktw.net/im-220105/social,AXP,MarketWatch,"Shares of American Express Co. slid 1.45% to $166.08 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=a29cc42e53b6e06457c7a2b58e0577adecfc82782c735791f40cc623c084873f
company,1628856029,American Express Fuels Small Business Through Designer Collaborations,69654694,https://s.yimg.com/ny/api/res/1.2/mfVzEQ7Fo0Mh5UH71DzUaQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0yMDAw/https://s.yimg.com/uu/api/res/1.2/I76rLe7NjST6oj4Q_1e6bA--~B/aD0yMDAwO3c9MzAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/wwd_finance_675/e62eb9da0835a3ce45b0604c839163c7,AXP,Yahoo,"In a partnership with Ntwrk, American Express is releasing limited-edition capsule collections, giving designers the chance to support their favorite small businesses.",https://finnhub.io/api/news?id=2d6f0ba0613fe0e4e3678e77e98d06f6df726fa25531d747be36a338894b2d8f
company,1628830800,A Peek Into Warren Buffett’s Second-Quarter Stock Moves,69662810,https://images.barrons.com/im-384714/social,AXP,MarketWatch,"Berkshire Hathaway was a net seller of just over $1 billion of stocks in the period, following almost $4 billion of net sales in the first quarter.",https://finnhub.io/api/news?id=8c005184fff8e131ebd98f07d70b81192934b761376275496203043cbf6d1bcb
company,1628826960,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.04% By Investing.com,69667114,https://i-invdn-com.investing.com/news/LYNXMPEA6J01O_L.jpg,AXP,Investing.com,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.04%,https://finnhub.io/api/news?id=e742ae6ff939a4cfd6858634d10216657baf780dcc81f509c8f7770e02b4dd55
company,1628786280,"American Express Co. stock falls Thursday, underperforms market",69673632,https://images.mktw.net/im-220105/social,AXP,MarketWatch,"Shares of American Express Co. slid 1.26% to $168.52 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=9a90141bca49a00cf538e89829aae02043149b0c73e1334923a67bfca93c2554
company,1628785260,Apple And Salesforce Lead The DIA In A Mixed Day Of Trading,69647950,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,AXP,Benzinga,"U.S. indices had a mixed day of trading Thursday as traders and investors weigh COVID-19 variant updates, recent earnings and the recently passed $1 trillion...",https://finnhub.io/api/news?id=e0575d3ba0c2f7ec12b28870c7c2c3c192c5884e81f9df41438e400abedeb506
company,1628780880,"American Express, Home Depot share losses lead the way, but Dow flat",69641704,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,AXP,MarketWatch,The Dow Jones Industrial Average is flat Thursday afternoon with shares of American Express and Home Depot delivering strong returns for the index. The Dow...,https://finnhub.io/api/news?id=eb483087b87179b7c8f5e96169eb7a40dd36e8b328b0959b9c77e5f6b81e48a3
company,1628770440,"Thursday Afternoon Analyst Upgrades and Downgrades: Chipotle, eBay, Nvidia, Qualcomm, Tesla and More",69652612,https://247wallst.com/wp-content/uploads/2021/03/imageForEntry14-hQk.jpg,AXP,247WallSt,"24/7 Wall St. looks at some big analyst upgrades and downgrades that we have seen so far on Thursday, including American Express, Chipotle Mexican Grill, eBay, Nvidia, Qualcomm and Tesla.",https://finnhub.io/api/news?id=43fa0ca42c4620a3fd4545b7787c7adb943277aabe8e0e6f27dc1355acd74378
company,1628762160,"Intel, American Express share losses contribute to Dow's nearly 100-point drop",69641705,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,AXP,MarketWatch,"Shares of Intel and American Express are posting losses Thursday morning, dragging the Dow Jones Industrial Average into negative territory. The Dow was most...",https://finnhub.io/api/news?id=ceb0a3cd004427499a95810f21922ff233d5c0be6498670fea7a2207431ebd55
company,1628758320,Jefferies to hold a virtual summit,69635621,,AXP,Thefly.com,"2021 Virtual Financial Se... ALLY, APO, AXP, BAC, BK, BLK, IBKR, JPM, MKTX, NDAQ, PRG, SLM, WFC",https://finnhub.io/api/news?id=edcd34d324cf8d6b8deb57be434ac4412655bc9b3795b1c3897438f45ae48c5a
company,1628756820,American Express downgraded to Neutral from Outperform at Daiwa,69636999,,AXP,Thefly.com,Daiwa analyst Kazuya Nish... AXP,https://finnhub.io/api/news?id=d4b0f34c330838da8cd0f481e894d0489c4f54d4f58171005a219b3cdf279f8f
company,1628744700,Focus on Berkshire Hathaway Beyond Warren Buffett's Investment Legacy,69633209,https://investorplace.com/wp-content/uploads/2020/10/warren-buffett-1600.jpg,AXP,InvestorPlace,"The heart of Warren Buffett's Berkshire Hathaway is its insurance operations, which are applied mathematics and the most systemically important company in the world. That's what fuels BRK.B stock.",https://finnhub.io/api/news?id=cf0a98e76470b35b8bf2ac0c3e46f6f7300d86dcb5311d6ffa7c8dbde9acfa4d
