category,datetime,headline,id,image,related,source,summary,url
company,1629113940,"AlphaCrest Capital Management LLC Buys UnitedHealth Group Inc, Fiserv Inc, Oracle Corp, Sells Nike Inc, Morgan Stanley, Merck Inc",69695788,,BAX,GuruFocus,,https://finnhub.io/api/news?id=cfffdb603b34c196045bca445943036aed750bdfdbbcfc3084ed495fe53fe39b
company,1628872740,Baxter International Inc. stock outperforms competitors on strong trading day,69662764,https://images.mktw.net/im-220105/social,BAX,MarketWatch,"Shares of Baxter International Inc. inched 0.95% higher to $74.56 Friday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=3e996e332d4c3dc44edef6e17bd6fcea8b26b9db2e13e35e113a0d2a5ff13139
company,1628852066,Baxter Recalls Dose IQ Software 9.0.x Used With Infusion Pumps,69656012,https://s.yimg.com/uu/api/res/1.2/Xs5T4m.H1O5xkO2r_bDGBw--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/03a7a4c1652205abdff6ade1f0a707d9,BAX,Yahoo,"The FDA issued a Class I recall, the most serious kind of recall, for Baxter International Inc's (NYSE: BAX) Dose IQ safety software used with Spectrum IQ Infusion System. The Dose IQ safety software allows care providers to create a drug library of pre-programmed dosing information for specific medications delivered into a person's body in controlled amounts using the Spectrum IQ infusion pump. The recall occurred due to a software defect that may lead to mismatched drug information in drug lib",https://finnhub.io/api/news?id=019e5998cfada17cbb68ffed0abaae5ef1f04964843676071e3895403f94e460
company,1628840580,"The Daily Biotech Pulse: Moderna's Vaccine Produces Durable Response Against Variants, FDA Approves Jazz's Sleep Disorder Drug, Dermata IPO",69654349,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/medicine-1309148_1920_363.jpg,BAX,Benzinga,"Here's a roundup of top developments in the biotech space over the last 24 hours.
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs Aug. 12)

Adagio Therapeutics, Inc. (...",https://finnhub.io/api/news?id=835930c2650572e001fae6b503658c272080546735e5c17a760b91c4f6011400
company,1628837640,Baxter Recalls Dose IQ Software 9.0.x Used With Infusion Pumps,69656873,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/aapharma_1463.png,BAX,Benzinga,"The FDA issued a Class I recall, the most serious kind of recall, for Baxter International Inc's (NYSE: BAX) Dose IQ safety software used with Spectrum IQ...",https://finnhub.io/api/news?id=e64c67beba92532e96b0ca387862fe230cc88de94dfec9ccc2e6d61b419668db
company,1628786340,Baxter International Inc. stock underperforms Thursday when compared to competitors,69649786,https://images.mktw.net/im-220105/social,BAX,MarketWatch,"Shares of Baxter International Inc. slipped 0.16% to $73.86 Thursday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=6db3cb9e5229be48bfe39dbe84d8037c2ed78c32f511956191f5d3801e77c7ef
company,1628762700,October 1st Options Now Available For Baxter International (BAX),69655123,,BAX,Stock Options Channel,"Staff article entitled October 1st Options Now Available For Baxter International (BAX), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=41d9edc56721dbb32da0c463372739082dca829c4139c133890d4a5a0f217861
company,1628699940,"Baxter International Inc. stock rises Wednesday, still underperforms market",69649787,https://images.mktw.net/im-220105/social,BAX,MarketWatch,"Shares of Baxter International Inc. inched 0.18% higher to $73.98 Wednesday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=17be9e70827c2755e3249f1dd51430166e547e645685196b5204d09512a7a684
company,1628687940,"Got $5,000? These 3 Solid Dividend Stocks Are Trading Near Their 52-Week Lows",69613861,,BAX,Yahoo,"Three stocks that pay above-average dividends and are also trading near their 52-week lows today are Baxter International (NYSE: BAX), Verizon Communications (NYSE: VZ), and Campbell Soup (NYSE: CPB).  Baxter International plays an important role in the healthcare industry, providing products and services that help keep patients safe, including dialysis therapies to support renal care.",https://finnhub.io/api/news?id=8aab43f105428dfe7b177950cefaae32dbf002eb46cca840521151a68891a904
company,1628679600,Miromatrix Announces Key Strategic Investors to Advance the Development of Bioengineered Livers and Kidneys,69613030,https://s.yimg.com/uu/api/res/1.2/khEksKzYPewGC916hb.BTQ--~B/aD0xMjQ7dz00MDU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/0f4345502f5f2cf9904d004647799608,BAX,Yahoo,"The biotechnology company working to eliminate the organ transplant waitlist outlines expansion of its clinical work, supported by IPO funds and Series C round, led by Baxter, CareDx, and DaVitaEDEN PRAIRIE, Minn., Aug. 11, 2021 (GLOBE NEWSWIRE) -- Miromatrix Medical Inc. (NASDAQ: MIRO), a life sciences company pioneering a novel technology for bioengineering fully transplantable organs to help save patients' lives and improve quality of life around the world, announced strategic investors invol",https://finnhub.io/api/news?id=de9807ef1ef7385cf4603fb88fee7db67226673ef652218e873a8f21e1a91256
