category,datetime,headline,id,image,related,source,summary,url
company,1629129667,"Franklin Templeton's Tom Deane, Recognized by Firm's Charity Partner As a 2021 Volunteer of the Year.",69682597,https://s.yimg.com/uu/api/res/1.2/meJsfeWzt2GDSb9dEJBFyA--~B/aD04OTc7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/e7011324506920bdfaedcdb142f82fde,BEN,Yahoo,"Congratulations to Franklin Templeton’s Tom Deane, who was recognized by Junior Achievement of Northern California (JA) as a 2021 Volunteer of the Year. The award recognizes contributions made to i...",https://finnhub.io/api/news?id=1df6fde98380029f3d40cbb9f9967c5cc5410723e5f9ee28d3e7ca4a43a1297b
company,1629083880,Australia stocks lower at close of trade; S&P/ASX 200 down 0.61% By Investing.com,69679374,https://i-invdn-com.investing.com/news/LYNXNPEC9302N_L.jpg,BEN,Investing.com,Australia stocks lower at close of trade; S&P/ASX 200 down 0.61%,https://finnhub.io/api/news?id=79cd883544f2b8d4d2191f596bb2f5bd169ca0a439fe985a8bfd9cc1ba4d3009
company,1628899719,Franklin Resources: Caution Warranted Despite A Resilient Quarter,69663405,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1316113007/medium_image_1316113007.jpg,BEN,SeekingAlpha,"Franklin Resources delivered a relatively strong quarter, outperforming across top and bottom lines. But here’s why I remain concerned about BEN's near-term risk to flows.",https://finnhub.io/api/news?id=cf4d911c8b54d2def277da0d884184cb0a93f3759e8337fc37b1ce30f41ea388
company,1628872800,"Franklin Resources Inc. stock falls Friday, underperforms market",69672141,https://images.mktw.net/im-220105/social,BEN,MarketWatch,"Shares of Franklin Resources Inc. shed 1.24% to $32.77 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=590692c8a6d8614a7a29754a332a9f07b9488f4c75f4d24a67d675d210bc62ab
company,1628786400,"Franklin Resources Inc. stock falls Thursday, underperforms market",69643571,https://images.mktw.net/im-220105/social,BEN,MarketWatch,"Shares of Franklin Resources Inc. slipped 0.72% to $33.18 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=cc3e3936c7f63ef90aa30b8a2ec870d1ea3d52ce5907dc0de8d184f4b4629cb1
company,1628785080,Franklin Limited Duration Income Trust Announces Sources of Monthly Dividend Distribution,69638815,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BEN,Yahoo,"SAN MATEO, Calif., August 12, 2021--The Franklin Limited Duration Income Trust [NYSE American: FTF] (CUSIP 35472T101) has declared a dividend of $0.0780 per common share payable August 13, 2021, to shareholders of record as of July 30, 2021. It is currently estimated that $0.0417 per share represents net investment income and $0.0363 per share represents return of principal.",https://finnhub.io/api/news?id=00879de603dd8dace6fd1bbe88af0239049ecec8c9f39f4afde56642a9dd5386
company,1628781243,Lazard's (LAZ) July AUM Increases on Market Appreciation,69638317,https://s.yimg.com/uu/api/res/1.2/nSjhnh4ahDSefziQceMQWw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1b52d31540a4ef5a5795817baf5f79d2,BEN,Yahoo,Lazard's (LAZ) July AUM is up sequentially to $278.4 billion on market appreciation and rise in fixed income assets.,https://finnhub.io/api/news?id=a888aba60c5affbc28debe11f69e48b2312e6dc6d6314ae491c46b892f167b4b
company,1628770680,Franklin Limited Duration Income Trust Announces Sources of Monthly Dividend Distribution,69637993,,BEN,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d18997e72a220e404cc7ba1ad61a4d7cf753a2fac12db938657b74a40219939a
company,1628754720,20 Dividend Growth Stocks A Rated Or Better Attractively Valued Blue-Chip,69651945,,BEN,TalkMarkets,,https://finnhub.io/api/news?id=02e738957867b3db0eba472b5855eb7958e8235333924e37dfbdcd13e4d3a59c
company,1628704933,"Clarion Partners, Taconic Partners and Bright Power Install Solar Photovoltaic Panels at Eastchester Heights",69623743,https://s.yimg.com/uu/api/res/1.2/6r_bEue5G50hiAiHmrasyg--~B/aD00Njc7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/1eeaf844c9848d08825a7508ea9b6d33,BEN,Yahoo,Solar Panels will Bring Sustainability to Bronx Community and Environment,https://finnhub.io/api/news?id=dfb35171121c8051483e4336186340dcbac2cca9426544325d6d7ff2a209ce2e
