category,datetime,headline,id,image,related,source,summary,url
company,1629210602,Bio-Rad (BIO) Hits a New 52-Week High: What's Driving It?,69703794,https://s.yimg.com/uu/api/res/1.2/.WQmSb1MJO1_eLnmBVS1zA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a1d7049b0977a02a21fd2aa02b46f307,BIO,Yahoo,Strong performance across the Life Science and Clinical Diagnostics businesses drove the top line for Bio-Rad (BIO).,https://finnhub.io/api/news?id=a39fde351674e816ee58b61014c2f7417c5b6092fef19c1d8a1c3376fa3b0bf4
company,1629188880,"The Daily Biotech Pulse: Lilly Reorganizes Business Units In Neuroscience Focus, Helius Medical Spikes On Breakthrough Designation, Ra Medical Sells Dermatology Business",69696484,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/cells-1872666_1920_86.jpg,BIO,Benzinga,"Here's a roundup of top developments in the biotech space over the last 24 hours:
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs Aug. 16)

Bio-Rad Laboratories, Inc...",https://finnhub.io/api/news?id=05dbaa731e5879ae8257a9deade3e4709469b9c725264c7c31c6ff745ecbd891
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,BIO,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1628840580,"The Daily Biotech Pulse: Moderna's Vaccine Produces Durable Response Against Variants, FDA Approves Jazz's Sleep Disorder Drug, Dermata IPO",69654349,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/medicine-1309148_1920_363.jpg,BIO,Benzinga,"Here's a roundup of top developments in the biotech space over the last 24 hours.
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs Aug. 12)

Adagio Therapeutics, Inc. (...",https://finnhub.io/api/news?id=835930c2650572e001fae6b503658c272080546735e5c17a760b91c4f6011400
company,1628776621,"Accuray (ARAY) Posts In-Line Q4 Earnings, Beats on Revenues",69636866,https://s.yimg.com/uu/api/res/1.2/Q2f.YMShumqXKBSqG9ps6g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cbd7c6285cac8f8da1bdc1cb0716ca84,BIO,Yahoo,Accuray (ARAY) registers growth in Service and Product revenues during fiscal Q4.,https://finnhub.io/api/news?id=a1deaa997eeb477b93f758d8f9e9526819c26546acbc8ce6ae05ca38448078a8
company,1628770740,"Notable Thursday Option Activity: BIO, COO, DAL",69655130,,BIO,Stock Options Channel,"Staff article entitled Notable Thursday Option Activity: BIO, COO, DAL, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=1ef82526b8b4c98b0cdfd95dc5e601c88b120eb04118e8573dcdff2611a99916
company,1628766960,Bio-Rad Laboratories: Surging Growth Continues,69651981,https://static.gurufocus.com/photos/others/iStock_3_07_14_health_care_research_pharmaceutical.jpg,BIO,GuruFocus,"The share price may be undervalued, even though it has been driven higher by exceptional Ebitda and EPS growth",https://finnhub.io/api/news?id=c457e327419ddf89458d41196b0c3d02146774fc70c3b7be2d47180362bab4cf
company,1628698804,Surging Earnings Estimates Signal Upside for Bio-Rad (BIO) Stock,69626607,https://s.yimg.com/uu/api/res/1.2/I67vygGrP1BjgOjVx.apeA--~B/aD03Mjg7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b9775f315e7b6c4ada6e36d0048a929a,BIO,Yahoo,"Bio-Rad (BIO) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",https://finnhub.io/api/news?id=baa422a67c540cd21193099d0129bcac52660b4ad258cd9b96e11553c073ffdf
company,1628686861,"Inari Medical (NARI) Q2 Earnings Lag, Revenues Top Estimates",69616608,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,BIO,Yahoo,Inari Medical's (NARI) second-quarter 2021 results benefit from significant revenue growth and gross margin expansion.,https://finnhub.io/api/news?id=db3daf2b1ced6432050a37ee7b7b41de8c25c892fd5246837a6f16af401ae0a4
company,1628603821,"ShockWave Medical (SWAV) Q2 Earnings, Revenues Top Estimates",69597884,https://s.yimg.com/uu/api/res/1.2/Q2f.YMShumqXKBSqG9ps6g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cbd7c6285cac8f8da1bdc1cb0716ca84,BIO,Yahoo,ShockWave Medical's (SWAV) robust performance across product lines and geographies drive its Q2 sales.,https://finnhub.io/api/news?id=a9d896da868850971db03f8e28cd8fe4658fe36e50f0652126d3b14c5d6677e7
company,1628603581,Here's Why You Should Add Bio-Rad (BIO) to Your Portfolio,69597885,https://s.yimg.com/uu/api/res/1.2/.cFExAtq.C.oud6sX39cog--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f21818c32cbc40e4ff1ee29342da1830,BIO,Yahoo,Investors are optimistic about Bio-Rad (BIO) backed by strong segmental performance across geographies in the second quarter and raised 2021 guidance.,https://finnhub.io/api/news?id=79fb999f4bd363cbb3acd30e7aa94065b7ca0444288b39004d1ca45e5af952aa
company,1628528405,Allscripts' (MDRX) Shares Up Following Q2 Earnings Beat,69583300,https://s.yimg.com/uu/api/res/1.2/Q2f.YMShumqXKBSqG9ps6g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cbd7c6285cac8f8da1bdc1cb0716ca84,BIO,Yahoo,Allscripts' (MDRX) robust Q2 results demonstrate its strength in Client services segment.,https://finnhub.io/api/news?id=bc682e4e54ff27679949587a26f37756afbe34c4e27b860c6c4abeca4545eac7
company,1628514061,Glaukos (GKOS) Stock Gains 0.1% Following Lower Loss in Q2,69582467,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,BIO,Yahoo,"Despite reporting second-quarter loss, Glaukos' (GKOS) results reflect a significant rise in revenues.",https://finnhub.io/api/news?id=c9504f0e3153f08758e2626b411ad5db7b15e7b0d9489bf2d309998dfae08cc9
