category,datetime,headline,id,image,related,source,summary,url
company,1629208450,15 Best Momentum Stocks To Invest In,69694494,,BLL,Yahoo,"In this article, we discuss the 15 best momentum stocks to invest in. If you want to skip our detailed analysis of these stocks, go directly to the 5 Best Momentum Stocks To Invest In. The influx of retail investors on the market in the past few months has led to an increase in stock […]",https://finnhub.io/api/news?id=c71550c3aca28cd4b99b5cbef6d6bccd1f5f40ee8ea751ea1f1154d0328e98f5
company,1629207513,3 Stocks Insiders Are Buying,69702954,https://s.yimg.com/uu/api/res/1.2/adCCSedzxY2vffyxLzXn3Q--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/fea126936dbea21d3cb65d1529c075b1,BLL,Yahoo,"When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision. Below is a look at a few recent notable insider purchases. For more, check out Benzinga's insider transactions platform. Genuine Parts The Trade:",https://finnhub.io/api/news?id=77863a234fa375715f4e0ecbcf53a840924f214834ba74bdbbfae4841927e31d
company,1629193080,3 Stocks Insiders Are Buying,69701561,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/insider-buying_9.jpg,BLL,Benzinga,"When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go...",https://finnhub.io/api/news?id=830d03ec729c0fcc6c3faa666d6c25477769b6b2d8415e9b469caaa306332ac0
company,1628852645,Ball (NYSE:BLL) Is Increasing Its Dividend To US$0.20,69661606,https://s.yimg.com/uu/api/res/1.2/UXtioc6TpE6rLg12w72qgQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/9844c73c5344e8f6ae715453dc09e5c0,BLL,Yahoo,Ball Corporation ( NYSE:BLL ) has announced that it will be increasing its dividend on the 15th of September to...,https://finnhub.io/api/news?id=cd80ded004193aecb57db6c96d27c7bb1c65eb4898db42f5a01c03ed2fd3b12c
company,1628734560,"Ball Corp (BLL) EVP, HR & Administration Lisa Ann Pauley Sold $1.6 million of Shares",69655111,,BLL,GuruFocus,,https://finnhub.io/api/news?id=3b1bfaa5851f49d6012717189fa52c5115ddca0599c9ed3c87323001b6984641
company,1628700060,Ball Corp. stock outperforms market on strong trading day,69624886,https://images.mktw.net/im-220105/social,BLL,MarketWatch,"Shares of Ball Corp. inched 0.80% higher to $89.54 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=2bbcaf044f0c9c49caac5866538c6eb350480082772b6d8b0abc4fecb23c82b9
company,1628613660,Ball Corp. stock outperforms competitors on strong trading day,69624888,https://images.mktw.net/im-220105/social,BLL,MarketWatch,"Shares of Ball Corp. rose 1.69% to $88.83 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=a1ab5a8360f30f8d535e8c0c3c10f58f890a5856d6246bb13d97be560936e2bb
company,1628600821,Beverage Can Demand to Aid Ball Corp (BLL) Amid High Costs,69597298,https://s.yimg.com/uu/api/res/1.2/lY3wr_2PWydraW.rjQZlyA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6e0eea77024f8a02b541f11695d7c6a6,BLL,Yahoo,The rising trend in global beverage can demand will aid Ball Corp's (BLL) top-line performance. It is investing to expand production capacity but has to deal with higher start-up costs.,https://finnhub.io/api/news?id=6cdef60a55955b4638d60d30ae7a8ffc4749da8793b88540ddb9ceb45a4faf89
company,1628578380,"Tuesday Talk: COVID Summer, Take 2",69594495,,BLL,TalkMarkets,,https://finnhub.io/api/news?id=30f82c2fee68f61ff650783ff39c499976e93f4d320d09f81f8e2fb23d3ca96d
company,1628527260,"Ball Corp. stock rises Monday, outperforms market",69624889,https://images.mktw.net/im-220105/social,BLL,MarketWatch,"Shares of Ball Corp. rallied 2.48% to $87.35 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=90eefe3daf2769ba1e58ec32d69174e1ab20281fd1cf68a6ff5245de059e683a
