category,datetime,headline,id,image,related,source,summary,url
company,1629207001,Earnings Growth & Price Strength Make Broadridge Financial Solutions (BR) a Stock to Watch,69705173,https://s.yimg.com/uu/api/res/1.2/9tpS8u8rAmiEoUItmUZeOA--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/090f58c1efbe3555b861102525e50b39,BR,Yahoo,The Zacks Focus List offers investors a way to easily find top-rated stocks and build a winning investment portfolio. Here's why you should take advantage.,https://finnhub.io/api/news?id=1535cef05cfbaa18378dd26f8504f5f6083804874da30b10eaff9b1d8e310edb
company,1629185280,Broadridge price target raised to $197 from $181 at JPMorgan,69701985,,BR,Thefly.com,JPMorgan analyst Puneet J... BR,https://finnhub.io/api/news?id=a2339fda9cb55c2e90bc2b116cf16399f276e641ffdfbab3411134f8a8c5a025
company,1629132060,Broadridge Financial Solutions Inc. stock outperforms market on strong trading day,69687202,https://images.mktw.net/im-220105/social,BR,MarketWatch,"Shares of Broadridge Financial Solutions Inc. rose 1.51% to $176.99 Monday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=997be54b5daf77d2f39cbf8868c24af765d58305946cdadb841bbcf42f19b3d1
company,1629102315,"Dividend Increases: August 7-13, 2021",69678586,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1250152599/medium_image_1250152599.jpg,BR,SeekingAlpha,This article series covers dividend changes every week. A table with relevant data and key statistics of dividend increases is provided.,https://finnhub.io/api/news?id=afb77c7800e7bca9848b4bc40f1e1b920c5615b4383ad174ece806ffcd1fbb45
company,1629097200,Broadridge price target raised to $158 from $152 at DA Davidson,69679906,,BR,Thefly.com,DA Davidson analyst Peter... BR,https://finnhub.io/api/news?id=b3e7c71d125bf8cec05bdd9de626a673b245d9f44b901b409197f2e2ba2c7cf5
company,1629097020,Broadridge guides initial FY22 adjusted EPS growth of 11%-15%,69679907,,BR,Thefly.com,Guides initial FY22 reven... BR,https://finnhub.io/api/news?id=3d0723a3304b17bc9099da0c74a34b43111537dabfceed1f0a30c0769608478c
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,BR,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628872860,"Broadridge Financial Solutions Inc. stock rises Friday, outperforms market",69662823,https://images.mktw.net/im-220105/social,BR,MarketWatch,"Shares of Broadridge Financial Solutions Inc. inched 0.84% higher to $174.36 Friday, on what proved to be an all-around positive trading session for the...",https://finnhub.io/api/news?id=d0656af5f5ca0248df681e0da526dd426183a443a78cb75f21901b6cb9d7feb4
company,1628861412,Do Broadridge Financial Solutions's (NYSE:BR) Earnings Warrant Your Attention?,69658144,https://s.yimg.com/uu/api/res/1.2/KBUCiHZfz4dSjI0OMNVwSA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/deae7123c305ae121db80b585a5fb9dd,BR,Yahoo,"For beginners, it can seem like a good idea (and an exciting prospect) to buy a company that tells a good story to...",https://finnhub.io/api/news?id=8d3ba9407182701e59281e44ef1541a6aaf19b4f0cb579a7a4f4eb15d0c8b6b2
company,1628842140,"Friday’s Top Analyst Upgrades and Downgrades: Activision, Bilibili, Carrier, Cimarex Energy, Morgan Stanley, Palantir, Rackspace and More",69652534,https://247wallst.com/wp-content/uploads/2018/07/stock-market.jpg,BR,247WallSt,"Friday's top analyst upgrades and downgrades included Activision Blizzard, Bilibili, Carrier Global, Cimarex Energy, Deutsche Bank, Morgan Stanley, Palantir Technologies and Rackspace Technology.",https://finnhub.io/api/news?id=3408e8e29e875283b48dac276268c2343e387f6d480d00f1cbbf4512ac3a70b9
