category,datetime,headline,id,image,related,source,summary,url
company,1629119160,BorgWarner Invests In CelLink To Expand Electrification Efforts; Terms Not Disclosed,69696536,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/aaconsumerv3_524.png,BWA,Benzinga,"BorgWarner Inc (NYSE: BWA) has invested an undisclosed sum in CelLink Corporation, which develops large, high-conductance flexible circuits for the automotive and...",https://finnhub.io/api/news?id=b97aa34e7cbfc96151b621853d09800410c2debe795fc974d15c3049a31abc5f
company,1629118800,"BorgWarner Invests in CelLink, Expanding Electrification Efforts",69680852,https://s.yimg.com/uu/api/res/1.2/USI7xFHs3chy_kBpMMLszg--~B/aD01Mjt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/4061d7608bbbbe486186c0360f3eb8c1,BWA,Yahoo,"BorgWarner, a global product leader in delivering innovative and sustainable mobility solutions for the vehicle market, invested in CelLink Corporation, a company that develops large, high-conductance flexible circuits for the automotive and energy storage industries.",https://finnhub.io/api/news?id=522f5f1f2348181019afed128f4795253696d9210cf132d513e8ed9ef11004de
company,1629106740,"Beaumont Asset Management, L.L.C. Buys Vanguard Short-Term Corporate Bond ETF, Becton, Dickinson and Co, Cerner Corp, Sells Vanguard Mega Cap Growth ETF, Amgen Inc, Consumer Staples Select Sector SPDR",69694542,,BWA,GuruFocus,,https://finnhub.io/api/news?id=9b211d73bfbeb3351725e106ec0e245ccab20d7c2dfa040bbaad2cbd632390d2
company,1629104400,"BorgWarner Invests in CelLink, Expanding Electrification Efforts",69679077,,BWA,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b5b56eeb6ed389ab676acf8d0c11ab696c03b493ca44619588333b6b357a87cc
company,1629100980,BorgWarner announces Series C equity investment in CelLink,69694543,,BWA,Thefly.com,BorgWarner invested in Ce... BWA,https://finnhub.io/api/news?id=7f4f7c0dfe34f73ac773338ffad6efd51581e2d071dbaf719c73a92055969466
company,1629011650,BorgWarner (NYSE:BWA) Will Pay A Dividend Of US$0.17,69675833,,BWA,Yahoo,BorgWarner Inc.'s ( NYSE:BWA ) investors are due to receive a payment of US$0.17 per share on 15th of September. This...,https://finnhub.io/api/news?id=dd3b108e49d0707854de36c5f11588c624495af1ef56852653f61921c2ff06a1
company,1628877554,"American Axle - Ample Risks, But Maybe Ample Rewards Too",69659966,,BWA,SeekingAlpha,,https://finnhub.io/api/news?id=93391c5a9866db5533e4321cd43fd9bf583fc9faa36a61810d262549d469212d
company,1628786460,"BorgWarner Inc. stock falls Thursday, underperforms market",69649709,https://images.mktw.net/im-220105/social,BWA,MarketWatch,"Shares of BorgWarner Inc. slipped 1.13% to $46.27 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=499fda7e78bc7a7a9b5d35aea6f23b7df46b92c712f963695b08b3a2b9f29aa8
company,1628700060,"BorgWarner Inc. stock rises Wednesday, outperforms market",69649710,https://images.mktw.net/im-220105/social,BWA,MarketWatch,"Shares of BorgWarner Inc. advanced 2.05% to $46.80 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=64a7f52e1f40f8901c83a0708ff5add7e9b776d4b2c0e10a67a471546fb6b6fa
company,1628613660,"BorgWarner Inc. stock rises Tuesday, outperforms market",69649711,https://images.mktw.net/im-220105/social,BWA,MarketWatch,"Shares of BorgWarner Inc. inched 0.61% higher to $45.86 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=dc84686b2a332c52f6db8022a977a3417ddede8e461dca450bf2f323dfbfc3ec
