category,datetime,headline,id,image,related,source,summary,url
company,1629210303,Six Black Banks Join Citi’s New Digital Platform To Increase Lending To African American Entrepreneurs,69704662,https://s.yimg.com/uu/api/res/1.2/3WVD_ST9TSxfRmb0LhKN_w--~B/aD0yMDA7dz0zMDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/black_enterprise_497/ac59f7ab069ea1180c10938e1e78bdde,C,Yahoo,Six Black banks -- including four of the nation's largest -- have joined a new digital platform by Citi. The action could help the banks increase lending to African American entrepreneurs.,https://finnhub.io/api/news?id=28909b63321759410d1b625cc1c53af42a58c4382346de71db138fc9d96e635d
company,1629201720,2 Moves That Show Citigroup's Progress on Its 'Strategy Refresh',69704663,,C,Yahoo,"The bank has made moves recently to wind down inefficient operations that can't scale, while ramping up successful business lines.",https://finnhub.io/api/news?id=238d514fb4c729b13f0fb465f8df7204752080d17b5569fa172743a3586d7561
company,1629190800,"Citigroup: Worst-Positioned Ahead Of Rate Hikes, But There's A Twist",69693778,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/108122243/medium_image_108122243.jpg,C,SeekingAlpha,Citigroup is badly positioned relative to peers when it comes to enjoying the higher interest rate environment with higher interest-bearing deposits. But there is a twist.,https://finnhub.io/api/news?id=7ebe4f90bdae408f4dba5f94b2d2720087d252094a86ebc242f4dbf02ce8db14
company,1629184180,My Conservative Equity DCF Model Says Citigroup Is Grossly Undervalued,69692296,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1269047791/medium_image_1269047791.jpg,C,SeekingAlpha,"I've made an equity DCF model for Citigroup, which suggests an undervaluation of ~46%. Read to see why I recommend going long at the current price level.",https://finnhub.io/api/news?id=f0695ae064a510af6627786f41860081ae30b96fd786fd20be9a908836dfa291
company,1629144660,"Citi Foundation Pledges $250,000 to Haiti for Immediate Earthquake Relief Efforts",69689563,https://s.yimg.com/uu/api/res/1.2/gPf6nhN2cn4BbEckeUCmIg--~B/aD0xMzk7dz0yMTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/af4faf681cfcb8184d91ab572bd61542,C,Yahoo,"NEW YORK, August 16, 2021--In response to the 7.2 magnitude earthquake in Haiti on Saturday, the Citi Foundation today announced a $250,000 pledge to UNICEF USA to assist with immediate relief efforts.",https://finnhub.io/api/news?id=6450ffaf38bfcc8376f83a89d409c630aa9fca1ea9199f6cd1e037de57c10dca
company,1629130260,"Citi Foundation Pledges $250,000 to Haiti for Immediate Earthquake Relief Efforts",69695204,,C,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d0bfd0e276d23f450db85aadf5c461d857c146274f8b2d6f2b4f446fd3980339
company,1629126000,KISS Announces 'Final Residency' For New Year's Eve Weekend In Las Vegas,69696472,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/kiss_1.jpg,C,Benzinga,The sounds of “Detroit Rock City” will be wafting across the Planet Hollywood Resort & Casino in Las Vegas as the rock legends KISS ring out the old year and ring...,https://finnhub.io/api/news?id=0f660575064025fdbf3c6366da9ba6e2755e4c519120cb9585a06063aa20f604
company,1629123720,Citi Announces Appointment of New Global Chief Economist,69689564,,C,Yahoo,"NEW YORK, August 16, 2021--Today Citi announced that Nathan Sheets, PhD will be returning to the firm as its new Global Chief Economist, based in New York, overseeing the global Economics team and leading research across all areas of economics.",https://finnhub.io/api/news?id=ea1ab3ff769cf59cba8cadb09c5d6c9d0757f489faf0e32df64bede51ecd09b2
company,1629117736,Citigroup Still Offers Significant Execution-Driven Upside,69682147,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/945363136/medium_image_945363136.jpg,C,SeekingAlpha,Citigroup is starting to focus on ROTCE improvement and building businesses where it can leverage global scale and drive profitability. Read more about C here.,https://finnhub.io/api/news?id=09e440b15ac72510f3f887536eaabde07695014fdd30346cfc991ffed57d50c5
company,1629113940,"Profund Advisors Llc Buys JPMorgan Chase, Bank of America Corp, Wells Fargo, Sells Smartsheet Inc, , General Electric Co",69695205,,C,GuruFocus,,https://finnhub.io/api/news?id=d594e344781da8fc39e5e465abe993b8832e3a45d62a350ce5d90c3026dab930
company,1629109320,Citi Announces Appointment of New Global Chief Economist,69680464,,C,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c729900ed7811f51e8002197cd128c40abdb0d91a4de6510c34dd8898736db50
company,1629108000,Citigroup re-hires Nathan Sheets as global chief economist,69687192,https://www.fnlondon.com/icons/social-icon.png,C,DowJones,Ex-global head of international economics brought back into the fold nearly a decade on,https://finnhub.io/api/news?id=2d41f5917fed856c9fdb89c04fbc8e3095bdfa484a0e84d9d8869cf8a0b1f017
company,1629105780,Citi appoints Nathan Sheets as global chief economist,69680465,,C,Thefly.com,Citi announced that Natha... C,https://finnhub.io/api/news?id=6cfe07e7502afd80d452fb50e19414744ebc2e663606fe8fe635f233a0aeeda8
