category,datetime,headline,id,image,related,source,summary,url
company,1629130303,"Trane Seeing All The Demand It Can Handle, If Not More",69684370,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1219403908/medium_image_1219403908.jpg,CARR,SeekingAlpha,"Trane has put together two better-than-expected quarters, with improving commercial HVAC-R demand and more residential demand than the supply chain can currently handle.",https://finnhub.io/api/news?id=e1799bc14b6448ba41e54ee0e9f078ad618343a28f74d4a9e251e0198d28418c
company,1629113460,France stocks lower at close of trade; CAC 40 down 0.83% By Investing.com,69694334,https://i-invdn-com.investing.com/news/LYNXNPEC3B08E_L.jpg,CARR,Investing.com,France stocks lower at close of trade; CAC 40 down 0.83%,https://finnhub.io/api/news?id=f19d78f2eb951c0f5ed3e3ef42c3889eacdcad779b5673a9f0b8861f6b823d30
company,1629110340,Interesting CARR Put And Call Options For March 2022,69694335,,CARR,Stock Options Channel,"Staff article entitled Interesting CARR Put And Call Options For March 2022, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=6978d3c5f04912815d12de8996f9213b7416b41637f476c0ae948ab9bb183aa2
company,1629099540,"Thames Capital Management Llc Buys Advanced Micro Devices Inc, Ball Corp, Leslies Inc, Sells Caterpillar Inc, Nike Inc, Lyft Inc",69694336,,CARR,GuruFocus,,https://finnhub.io/api/news?id=a48dfb43fb10be63b4b4913293fbaa72cbcff3b78c20e170d47f8ac85b770846
company,1629095940,"Theleme Partners LLP Buys Facebook Inc, Anthem Inc, Infosys, Sells AutoZone Inc, Comcast Corp, Carrier Global Corp",69694337,,CARR,GuruFocus,,https://finnhub.io/api/news?id=5202688fdded65b455ccc34c8e0cc60eeb77a336e2c8b379bae56c2be700f69f
company,1629085140,"Philadelphia Trust Co Buys Citizens Financial Group Inc, Carrier Global Corp, Goldman Sachs Group Inc, Sells Biogen Inc, FibroGen Inc, Alteryx Inc",69694338,,CARR,GuruFocus,,https://finnhub.io/api/news?id=6c075c55ef17789835a3bdc3193be729a8b77fef966594b62aacbc8286f34484
company,1629079680,"Chris Davis' Firm Buys DiDi, Dumps Carrier",69694339,https://static.gurufocus.com/photos/others/Portfolio.jpg,CARR,GuruFocus,Update on the guru's biggest buys and sells for the 2nd quarter,https://finnhub.io/api/news?id=e8a09f603c2599baf16d09d726eb7593bd950d8e62d962369e128b638fa0f247
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,CARR,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
company,1629013524,The Vanguard Mid Cap ETF Is Ideal For Portfolio Diversification,69675272,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1160051571/medium_image_1160051571.jpg,CARR,SeekingAlpha,VO is an excellent fund to consider for diversification away from the giant companies that dominate the S&P 500 and Nasdaq 100. Read more about this ETF and its holdings.,https://finnhub.io/api/news?id=d849b68b223a7342c9552dcd5ff86dc38a595dd21d761651ec6484aff8761923
company,1628872920,Carrier Global Corp. stock outperforms competitors on strong trading day,69674636,https://images.mktw.net/im-220105/social,CARR,MarketWatch,"Shares of Carrier Global Corp. inched 0.30% higher to $56.15 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=e1845ac68e5794ee5e2ce63682ce75f82e4dccec5993bdd054df2b10ad44e3a7
