category,datetime,headline,id,image,related,source,summary,url
company,1629196260,Top 2nd-Quarter Trades of the Bill & Melinda Gates Foundation Trust,69701058,https://static.gurufocus.com/photos/others/Bill_Gates_USETHIS_ResizedForSite.jpg,CAT,GuruFocus,Berkshire gets a boost and Liberty Global bites the dust,https://finnhub.io/api/news?id=77be41f3f4bd4235e502484710fab8874ed569d590c9d2ff62f4fe40216613ab
company,1629185266,XLI: Industrials Dashboard For August,69692689,,CAT,SeekingAlpha,,https://finnhub.io/api/news?id=525c507fc375be237b769e39d04f531f8dfe850f2c84617547754c9bc6fc2a64
company,1629120121,Here's Why You Should Hold on to Caterpillar (CAT) Stock Now,69684861,https://s.yimg.com/uu/api/res/1.2/rj9rvD0uUgpZgYYbvMEcMw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/dfbf477ce67e2ca9b1c9e4b00f36cf66,CAT,Yahoo,"Favorable end-market demand, positive movement in earnings estimates, and higher-than-industry dividend yield make Caterpillar (CAT) stock worth retaining in the portfolio.",https://finnhub.io/api/news?id=d86906a71df973e9b3078dc2456640b2ebd8ba9a8ed87e42fb7efc6dd4398e27
company,1629117360,7 Infrastructure Stocks to Buy Before They Get a Biden Bill Boost,69694969,https://investorplace.com/wp-content/uploads/2020/06/infrastructure-stocks-1600.jpg,CAT,InvestorPlace,Infrastructure stocks are set for a boom as $1 trillion of money hits the sector. Here are seven to have on your radar today.,https://finnhub.io/api/news?id=3bbcb5c25f5f03e94e2ce6b6df18e426b0806436a0618d95c773634d7ed7ddec
company,1629110340,"Trexquant Investment LP Buys Salesforce.com Inc, EOG Resources Inc, Nike Inc, Sells PayPal Holdings Inc, Apple Inc, Tesla Inc",69698898,,CAT,GuruFocus,,https://finnhub.io/api/news?id=3c27286feb1bcc3d55d7baf5243351de3eaf34697242cb1d472cd22dea75108c
company,1629109159,Caterpillar (NYSE:CAT) is Positioned to Benefit from the Massive Infrastructure Bill,69684862,https://s.yimg.com/uu/api/res/1.2/6uTJr8a8zUmS07YGKIzDgQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/892e41d1503d31548a5cccd5e3113dae,CAT,Yahoo,"Just days ago, the U.S. Senate passed the infrastructure bill, a fresh tailwind into the companies like Caterpillar Inc. (NYSE:CAT). Today we will examine its return on equity (ROE), as well as the latest developments to gauge how well is the largest maker of construction and mining equipment prepared to benefit from such opportunities.",https://finnhub.io/api/news?id=f919b21dcafeb4bb04f6b7a039b8c1aeeb1eac31e5cc8a3b0b33e93d34a5d7bc
company,1629025200,3 High-Yield Dividend Stocks That Just Went on Sale,69675550,,CAT,Yahoo,"Stocks that pay dividends can be a great way to combine reliable returns with long-term upside.  With that, we asked some of our contributors which dividend stocks they think are on sale now.  Caterpillar (NYSE: CAT), 3M (NYSE: MMM), and American Electric Power (NASDAQ: AEP) caught their attention.",https://finnhub.io/api/news?id=fec1f9963204294fc2f0cb4bddf2a6b3de4aca5aa4d918ee1fbddee3db61cbee
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,CAT,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628872920,Caterpillar Inc. stock underperforms Friday when compared to competitors,69672763,https://images.mktw.net/im-220105/social,CAT,MarketWatch,"Shares of Caterpillar Inc. slumped 0.76% to $218.57 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ffc40ac0ddbe32c85195bd74c31d945b14d3e7c8456a90e5dba9235301128a0a
company,1628864495,"Bridgewater adds new stakes in chip makers and boosts GE bet, while selling off Boeing, Delta, UPS holdings",69659329,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,CAT,MarketWatch,Bridgewater Associates LP has disclosed that the value of its equity holdings as of the end of the second quarter increased by 37.5% from the end of the...,https://finnhub.io/api/news?id=2155ce9f01c318894923227576f6c3b6ee262b79aeee45146ca50014a1a17462
company,1628846340,"Video: Dow Movers: CAT, DIS",69669453,,CAT,Market News Video,"In early trading on Friday, shares of Walt Disney topped the list of the day's best performing Dow Jones Industrial Average components, trading up 3.3% - Year to date, Walt Disney registers a 2.2% gain - CAT,DIS,AXP,CRM.",https://finnhub.io/api/news?id=e312b0ac56f1734869a45250b4aba227a149b776067210c05cb06972fa91cca1
company,1628795691,How to invest during economic uncertainty as Delta variant cases spike,69641215,,CAT,Yahoo,"The historically bearish month of August is presenting investors with unique challenges, as global economies struggle to reopen amid the surge in COVID-19 Delta variant cases. With return-to-office and back-to-school in flux, investors must navigate a changing macro landscape while handicapping how the Federal Reserve will respond to inflationary pressures and a soft but improving labor market. Liz Ann Sonders, Chief Investment Strategist at Charles Schwab, joins Yahoo Finance's Jared Blikre to break down various investing strategies and market approaches when risks are elevated, as well as how to think about market cycles in conjunction with economic cycles. Jared will also demonstrate how to leverage the power of Yahoo Finance Plus for market technicals, fundamentals and portfolio management. Not a subscriber? Start your free trial to join future webinars live!",https://finnhub.io/api/news?id=3c0d21df071aeaef6816e0b8ba83d3d732f5e83bfc725d63521d427428e5fad0
company,1628786520,Caterpillar Inc. stock underperforms Thursday when compared to competitors,69649713,https://images.mktw.net/im-220105/social,CAT,MarketWatch,"Shares of Caterpillar Inc. shed 0.64% to $220.24 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=32163ebcc0c22ab57c10ad8bba44ac7ae6df4b00346ce84b069e26e02dc3a154
company,1628775001,Why Caterpillar (CAT) is a Top Stock for the Long-Term,69634717,https://s.yimg.com/uu/api/res/1.2/apbC75v0joJeGGZArvqIvw--~B/aD02NzU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/105b2acef7bf0873f24b78932b1fdc3c,CAT,Yahoo,"Finding strong, market-beating stocks with a positive earnings outlook becomes easier with the Focus List, a top feature of the Zacks Premium portfolio service.",https://finnhub.io/api/news?id=a6812965ea86fb470b3dd3e33770348be4ca87f687d6ef697f2eaadd4df18a37
company,1628766243,Goodyear CEO on getting back to pre-pandemic levels: People are 'replacing tires right now',69631505,https://s.yimg.com/os/creatr-uploaded-images/2021-08/7eaacec0-fb54-11eb-bf3e-6608f249cc1c,CAT,Yahoo,Goodyear is seeing a strong bounce-back in demand for tires as more people opt for vehicles during the pandemic as opposed to using public transportation. Yahoo Finance Live talks exclusively with Goodyear chairman and CEO Richard Kramer.,https://finnhub.io/api/news?id=6e84635d3e8cc7a317701ba87e5fb771886806bb6931813209025767ac2c1b1c
company,1628763240,"A Three-Prong Crucible? Markets Eye Record Highs Amid Inflation, Fiscal, And Delta Uncertainty",69635415,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/new-york-2408785_1920_18.jpg,CAT,Benzinga,"Yesterday the market got behind the Fed’s idea that inflation is transitory after a calm consumer price index (CPI) reading. 
Will that change today after a sizzling...",https://finnhub.io/api/news?id=0ca5c105c846b58d17fbc3b3bbd4d1d6d0a32c94ef2af0745712f381fcdcc626
company,1628757660,Unusually active option classes on open August 12th,69634757,,CAT,Thefly.com,"Unusual total active opti... PLTR, UPST, MU, FSR, NVAX, M, BA, COIN, CAT",https://finnhub.io/api/news?id=e17c81e2b0f83a00499d095f5243037e0f8a91e99356e53802b30594c4e0c113
company,1628747100,Caterpillar vs. Manitowoc: Which Farm & Heavy Construction Machinery Stock is a Better Choice?,69634758,,CAT,TalkMarkets,,https://finnhub.io/api/news?id=ddcd707619ba4bbebf9d1c4b2f168c5fd13d74b2bb9e33fe955c1e5394384da6
company,1628730308,European stocks close slightly higher on Covid-19 concerns; Deliveroo up 9%,69644556,https://image.cnbcfm.com/api/v1/image/106920883-1627972245310-gettyimages-1207342483-AFP_1PX7TY.jpeg?v=1627972332,CAT,CNBC,"European stocks closed slightly higher on Thursday, as lingering concerns over global Covid-19 cases overshadowed the latest U.S. inflation reading.",https://finnhub.io/api/news?id=6601424efd492ceea9f34cf1b8c6c963405cc39c6493b3e2dd4326bf3b3b9566
company,1628715609,Stocks & ETFs Winners From Senate's Nod for Infrastructure Bill,69626733,https://s.yimg.com/uu/api/res/1.2/UX2F0jVzo1q5W.Xu.VooRA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/ec93e4a47652cf9206c52a690222a4bc,CAT,Yahoo,Take a look at some ETFs and stocks that are well-poised to shine on the new infrastructure bill.,https://finnhub.io/api/news?id=93423e51a3a45266347e410b28c463ec1daa80bcdf90f80603c743ba29261987
company,1628714214,"US STOCKS-Slowing inflation growth lifts Dow, S&P to records",69625419,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,CAT,Yahoo,"The Dow Jones Industrial Average and S&P 500 closed at record levels on Wednesday, as data indicated U.S. inflation growth may have peaked, while sectors tied to economic growth advanced on the heels of the passage of a large infrastructure bill.  The Labor Department said the consumer price index increased 0.5% last month after climbing 0.9% in June, the largest drop in month-to-month inflation in 15 months, easing concerns about the potential for runaway inflation.",https://finnhub.io/api/news?id=57fbe4e088ea210a03686b0bfc577de1d4dd926bbda8e0c663722c9c805314c2
company,1628714204,"Caterpillar, Home Depot, and Walgreens Lift Dow Jones to Record Even as Visa Stock Falls",69622808,https://s.yimg.com/uu/api/res/1.2/6r4vqZFlKpdf3UjKy8Pn4w--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/76ba8acbf0e95862d381eca84b70f16f,CAT,Yahoo,"A hot economy and high inflation have almost every Dow Jones stock gaining today, pushing the index to a new all-time high.",https://finnhub.io/api/news?id=84fbaedab0bd3cb05adc79269853172214293dc8d18336a4319992fbafc19e83
company,1628712058,"CORRECTED-US STOCKS-Slowing inflation growth lifts Dow, S&P to records",69626556,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,CAT,Yahoo,"The Dow Jones Industrial Average and S&P 500 closed at record levels on Wednesday, as data indicated U.S. inflation growth may have peaked, while sectors tied to economic growth advanced on the heels of the passage of a large infrastructure bill.  The Labor Department said the consumer price index increased 0.5% last month after climbing 0.9% in June, the largest drop in month-to-month inflation in 15 months, easing concerns about the potential for runaway inflation.  ""This number is going to put the Fed in a little bit of a quandary because they've gone out with all this rhetoric about tapering, about tightening rates, about being defensive and the inflation numbers aren't quite where they should be, but they’re certainly not showing that this thing is out of control.""",https://finnhub.io/api/news?id=47a8c02b15fb3e1860b76fc9180e6244c20e53b58e63c76f5287a81622d6eaaa
company,1628701380,"Dow, S&P 500 hit record highs after July consumer price report",69634759,,CAT,United Press International,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=10ec8927186143bc2ce5037be177b2cc57039f7f1bfeb757e8f6c60c8ec54846
company,1628700120,"Caterpillar Inc. stock rises Wednesday, outperforms market",69649714,https://images.mktw.net/im-220105/social,CAT,MarketWatch,"Shares of Caterpillar Inc. advanced 3.55% to $221.66 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=4b306467515ed6debca6b1f566df8b427e810cbff21e8029ed5b12310a2ae4b0
company,1628698860,Home Depot And Boeing Lead The DIA Higher Wednesday,69635325,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,CAT,Benzinga,"U.S. indices were trading higher Wednesday after the U.S. Senate voted to pass a $1 trillion bipartisan infrastructure bill.

The SPDR Dow Jones Industrial Average ETF Trust (...",https://finnhub.io/api/news?id=723d4bc883ceb6b195f7b2a083e4f744052cdd4873ddd43018758874c923b666
company,1628698680,"NEW YORK MARKET CLOSE: US CPI reading spurs Dow Jones, S&P 500 records",69633193,,CAT,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=757fa1b76370337745abcae20564c0d6f00c19308f494205f5021d86128513ff
company,1628681580,Here's Why Caterpillar Stock Fell in the Last 3 Months,69618078,,CAT,Yahoo,"Just as their earnings tend to oscillate wildly, so do their stock prices.  Rising raw material prices have pressured margins at machinery manufacturers, and Caterpillar and others are seeing rising costs.  China's growth appears to be slowing, and this has caused fears that it might be time to bail out of cyclically exposed stocks like Caterpillar.",https://finnhub.io/api/news?id=f11b28141a1bf71651df53d477d49aa711a6a82f8e0e00578436a016c745d788
company,1628675160,"Dow climbs nearly 200 points on gains in shares of Caterpillar, Walmart",69641679,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,CAT,MarketWatch,"Shares of Caterpillar and Walmart are seeing positive growth Wednesday morning, lifting the Dow Jones Industrial Average into positive territory. The Dow is...",https://finnhub.io/api/news?id=b155bc695ef52476c2e4bfe0f36c6d39089d17b03607053c4d86a2b920b22109
company,1628671200,Unusually active option classes on open August 11th,69615016,,CAT,Thefly.com,"Unusual total active opti... DMYI, SNCR, LAC, EWJ, ZEV, PCG, WMT, CAT, FCEL, MLCO",https://finnhub.io/api/news?id=55559f23e817c9c1891b7007847481a9d9e06d38c2814d076ba4684e26fe5b44
company,1628665195,Why this investor says General Electric can head higher,69645514,https://image.cnbcfm.com/api/v1/image/105502461-1539298688694gettyimages-949132470.jpeg?v=1565881564,CAT,CNBC,"CNBC's 'Squawk Box' team discusses markets, infrastructure stocks and more with Stephanie Link of Hightower.",https://finnhub.io/api/news?id=2f61d5a96fa695b913b2747392dd3a257f732c9824c8ad3cf16c280fe1adaac7
company,1628664245,"Steel, Building Material, Equipment Makers Gain As Infra Bill Gets Senate OK",69613839,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,CAT,Yahoo,By Dhirendra Tripathi,https://finnhub.io/api/news?id=d6244c25750d3f760af953119aa25b20bc1533b685b92afc25b791740c5e17e3
company,1628662500,"Steel, Building Material, Equipment Makers Gain As Infra Bill Gets Senate OK By Investing.com",69614503,https://i-invdn-com.investing.com/news/LYNXNPEB6M0K9_L.jpg,CAT,Investing.com,"Steel, Building Material, Equipment Makers Gain As Infra Bill Gets Senate OK",https://finnhub.io/api/news?id=d1475d4d119cda0c0cdd5a859a20c4e3f61a6911438db7e343d4bfc4832c9e3d
company,1628658000,Ways to Gear Up Your Portfolio for Inflation Concerns,69627013,https://images.barrons.com/im-368386/social,CAT,MarketWatch,"While the Fed has pinned the rise in consumer prices on transitory factors related to the pandemic’s impact on supply chains, other experts aren't so convinced.",https://finnhub.io/api/news?id=951876de8d98700b765640e95c1841514065a32d3452248543028953f8c0c5d1
company,1628654220,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.62% By Investing.com,69632790,https://i-invdn-com.investing.com/news/LYNXMPEA6S0EV_L.jpg,CAT,Investing.com,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.62%,https://finnhub.io/api/news?id=621a6ccf1fe6ecc9e81b03d01b8622762e17db409dc7b2ffad32de0df21ffe64
company,1628652960,"Dow, S&P 500 Log Second-Straight Record Close",69634763,,CAT,TalkMarkets,,https://finnhub.io/api/news?id=8bf5f78a4486d46b5691ed83cad15aa39a7bdf38f2d7d25b2a898045de141406
