category,datetime,headline,id,image,related,source,summary,url
company,1629110340,"AMJ Financial Wealth Management Buys BTC iShares Floating Rate Bond ETF, Aptiv PLC, Jacobs Engineering Group Inc, Sells iShares iBoxx USD Investment Grade Corporate Bond , Nike Inc, ServiceNow Inc",69695873,,CBOE,GuruFocus,,https://finnhub.io/api/news?id=125c602f4139c7ab514674d9291a2b835c89f6832dcf3c9dd1b707b9b298d280
company,1628872980,"Cboe Global Markets Inc. stock rises Friday, still underperforms market",69663561,https://images.mktw.net/im-220105/social,CBOE,MarketWatch,"Shares of Cboe Global Markets Inc. inched 0.09% higher to $127.00 Friday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=15f9107f6d0ad5cc10ce66e7e171a21ae5668ba7d2b78e70e54fcd3ab63c93a8
company,1628786520,"Cboe Global Markets Inc. stock rises Thursday, outperforms market",69643611,https://images.mktw.net/im-220105/social,CBOE,MarketWatch,"Shares of Cboe Global Markets Inc. rallied 1.54% to $126.88 Thursday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=bf0edd9d0de2f7e9da0cb43e46c9b622fdd7dd0ba77d4ef2ed9e7d73018a4d0a
company,1628700120,Cboe Global Markets Inc. stock outperforms competitors on strong trading day,69643613,https://images.mktw.net/im-220105/social,CBOE,MarketWatch,"Shares of Cboe Global Markets Inc. rose 2.19% to $124.96 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=1ef3adb6830518c2dfadae9543846ecce269ea9adf333746755a248c2093036f
company,1628654100,UBS to hold a virtual conference,69614154,,CBOE,Thefly.com,"Financial Services Virtua... AXS, BK, BPOP, CBOE, CBRE, CG, CME, FDS, GCMG, HLNE, IBTX, IFCZF, IVZ, JLL, JPM, KMPR, LPLA, MCO, NDAQ, OWL, PRU, SPGI, STEP, VCTR, WAL, WETF, WTFC",https://finnhub.io/api/news?id=ebd9830172442c485bc3c67d66d819a56f948e5ffdd27f2f22589af3943cddf8
company,1628613720,Cboe Global Markets Inc. stock outperforms competitors on strong trading day,69643615,https://images.mktw.net/im-220105/social,CBOE,MarketWatch,"Shares of Cboe Global Markets Inc. advanced 1.02% to $122.28 Tuesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=53608865b77be077e7fd26e08e12e3d92461f342e7df0a892731c40974f37431
company,1628599200,"Notable Tuesday Option Activity: CBOE, BLK, WDC",69615156,,CBOE,Stock Options Channel,"Staff article entitled Notable Tuesday Option Activity: CBOE, BLK, WDC, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=dba833f8de56e9b0efa1d037e655cc0862333a7a2807aad9c14b1f2f86adf2b3
company,1628567700,UBS to hold a virtual conference,69594243,,CBOE,Thefly.com,"Financial Services Virtua... AXS, BK, BPOP, CBOE, CBRE, CG, CME, FDS, GCMG, HLNE, IBTX, IFCZF, IVZ, JLL, JPM, KMPR, LPLA, MCO, NDAQ, OWL, PRU, SPGI, STEP, VCTR, WAL, WETF, WTFC",https://finnhub.io/api/news?id=c6ea36b01120ad8d949f50b6a3f83e83850c1071a83e7b233ef7869b1a9fba5e
company,1628527320,Cboe Global Markets Inc. stock underperforms Monday when compared to competitors,69643616,https://images.mktw.net/im-220105/social,CBOE,MarketWatch,"Shares of Cboe Global Markets Inc. shed 1.46% to $121.04 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=637a65378389f7b0481a431f08066ef28f4303a2662f29598260d520a234d06e
company,1628498682,Cboe Global Markets: A Dividend Growth Money Printer,69577632,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/895638624/medium_image_895638624.jpg,CBOE,SeekingAlpha,"CBOE is the perfect fit for my dividend growth portfolio, thanks to a fantastic business model and the ability to benefit from organic and acquired growth.",https://finnhub.io/api/news?id=badf84758d159122b611f3b73407deb4070ece64fd2dab97083707ef9119b890
company,1628484660,UBS to hold a virtual conference,69594244,,CBOE,Thefly.com,"Financial Services Virtua... AXS, BK, BPOP, CBOE, CBRE, CG, CME, FDS, GCMG, HLNE, IBTX, IFCZF, IVZ, JLL, JPM, KMPR, LPLA, MCO, NDAQ, OWL, PRU, SPGI, STEP, VCTR, WAL, WETF, WTFC",https://finnhub.io/api/news?id=7b6ff01b3577208a6953b153811ae07ed806dfc391b8338da21aa18986bc73b6
company,1628268120,"Cboe Global Markets Inc. stock rises Friday, outperforms market",69568193,https://images.mktw.net/im-220105/social,CBOE,MarketWatch,"Shares of Cboe Global Markets Inc. advanced 1.51% to $122.83 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=6294359fe95bfe210cf03c210c4d451e7351cdd0255e868818ec78619e9ea4e7
company,1628181720,Cboe Global Markets Inc. stock underperforms Thursday when compared to competitors,69538915,https://images.mktw.net/im-220105/social,CBOE,MarketWatch,"Shares of Cboe Global Markets Inc. slipped 1.95% to $121.00 Thursday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=a52f3f256e626b3bf9b3586665afd8db079d3013e7010db926a3577eb483d493
