category,datetime,headline,id,image,related,source,summary,url
company,1629132180,Cadence Design Systems Inc. stock outperforms competitors despite losses on the day,69687217,https://images.mktw.net/im-220105/social,CDNS,MarketWatch,"Shares of Cadence Design Systems Inc. shed 0.52% to $151.87 Monday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=bad6341696d6d4e5f6c11a2ec50040f77e5e2aa0e0680930a65001931509740b
company,1629108000,Tower Semiconductor and Cadence Announce New Reference Flow for Advanced 5G Communications and Automotive IC Development,69678612,https://s.yimg.com/uu/api/res/1.2/S1oxY4YBRiLUgPxnnB4MmA--~B/aD0xMzg7dz0yNDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/c2366c4a4221386f9a5df7a001648b33,CDNS,Yahoo,"Highlights: Collaboration results in silicon-validated SP4T RF SOI switch reference flow using the Virtuoso Design Platform and integrated EM analysisFlow showcases advantages of a unified design environment for chip and package co-design and simulationComprehensive flow includes custom IC design suite, EM solvers, and multiphysics analysis tools, providing a faster path to design closure SAN JOSE, Calif., and MIGDAL HAEMEK, Israel, August 16, 2021 – Cadence Design Systems, Inc. (Nasdaq: CDNS) a",https://finnhub.io/api/news?id=3fd7a5b77d7055ca767a499ecfc9ec8eb9cbf7eaf1fe0a5aa49a32b8403197c0
company,1628872980,Cadence Design Systems Inc. stock outperforms competitors on strong trading day,69687218,https://images.mktw.net/im-220105/social,CDNS,MarketWatch,"Shares of Cadence Design Systems Inc. inched 0.27% higher to $152.67 Friday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=eff3ea2389b7e4e5c2a70d27d6ee7c38870d56ba9e366ad9227c294e3e254a3e
company,1628864866,Forget Netflix (NFLX): 10 Better Streaming Stocks to Buy Now,69654074,https://s.yimg.com/uu/api/res/1.2/lAbiN4o__S.CLHTmAjOibw--~B/aD01MTI7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/1c9da002328d6f4dc4c8ab8cf48a9d5a,CDNS,Yahoo,"In this article, we discuss the 10 streaming stocks to buy now. If you want to skip our detailed analysis of these stocks, go directly to Forget Netflix: 5 Streaming Stocks to Buy Now. The rise of over-the-top (OTT) media services has transformed the entertainment industry in recent years. The television-based model has undergone a […]",https://finnhub.io/api/news?id=5fa660486799fd169c54db96ebca4bbbf53bee753e388e68a137fe8fc3023763
company,1628786580,Cadence Design Systems Inc. stock outperforms market on strong trading day,69687219,https://images.mktw.net/im-220105/social,CDNS,MarketWatch,"Shares of Cadence Design Systems Inc. rose 1.15% to $152.26 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=03be983b4c49f4515f3b19ad07546905537118bedd85071a378479aef1cc0f0e
company,1628758800,Ita Brennan Joins Planet’s Board of Directors,69634849,,CDNS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a8da6d6115af70d62f26b108c3146493e39ded7a05fd2d190ad73ff882b14a77
company,1628740500,KeyBanc Capital Markets to hold a virtual forum,69632727,,CDNS,Thefly.com,"Technology Leadership Vir... AEIS, AKAM, ALKT, ANET, ASML, AVPT, BARK, BSY, BTRS, CCOI, CDNS, SLAB, RVLV, PINC, PEGA, ON, MU, DV, YELP, ZNGA, WOW, CHKP",https://finnhub.io/api/news?id=d4509e431990a855a99663f7d2aa52b9dfbeee14eedfd22f9a410220dda80cf5
company,1628700180,Cadence Design Systems Inc. stock outperforms competitors on strong trading day,69636518,https://images.mktw.net/im-220105/social,CDNS,MarketWatch,"Shares of Cadence Design Systems Inc. inched 0.99% higher to $150.53 Wednesday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=8a38c418ab1ce8f2793d9034ba883221cac181982ed78c28dd2fe789c05e20b3
company,1628654100,KeyBanc Capital Markets to hold a virtual forum,69614028,,CDNS,Thefly.com,"Technology Leadership Vir... AEIS, AKAM, ALKT, ANET, ASML, AVPT, BARK, BSY, BTRS, CCOI, CDNS, SLAB, RVLV, PINC, PEGA, ON, MU, DV, YELP, ZNGA, WOW, CHKP",https://finnhub.io/api/news?id=ceed04666e60780a463034b738427526ba89eb547c9bede23019e67446e831ac
company,1628613780,Cadence Design Systems Inc. stock underperforms Tuesday when compared to competitors,69636519,https://images.mktw.net/im-220105/social,CDNS,MarketWatch,"Shares of Cadence Design Systems Inc. slipped 0.83% to $149.05 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=6da4fb99a4a1b0b6ca6a78a444e434a492a7d8eb902b8f3f6d7d700372e0cdb7
