category,datetime,headline,id,image,related,source,summary,url
company,1629132180,CDW Corp. stock underperforms Monday when compared to competitors despite daily gains,69687800,https://images.mktw.net/im-220105/social,CDW,MarketWatch,"Shares of CDW Corp. inched 0.35% higher to $199.02 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=248283064e7488d5705f1081b4401704e78516752d9f995a495a2fedb908d662
company,1629085140,"Bp Wealth Management, Llc Buys iShares 0-3 Month Treasury Bond ETF, BTC BlackRock Ultra Short-Term Bond ETF, iShares Core S&P Mid-Cap ETF, Sells Automatic Data Processing Inc, Fidelity National Information Services Inc, Molecular Templates Inc",69695378,,CDW,GuruFocus,,https://finnhub.io/api/news?id=383396f3f6007b4e1106835f508c8d94c76af4c892e167645924f26b6e055442
company,1629029700,IT Services Earnings Crush: Motley Fool Senior Analyst Weighs In,69675545,,CDW,Yahoo,"Accenture, EPAM Systems, and CDW just reported earnings. Here's what we're tracking with these digital stalwarts.",https://finnhub.io/api/news?id=0b5773e92b749723950224936fcdf80bd004a1a773cef6d55094c2202ca4e4d7
company,1628930214,CDW (NASDAQ:CDW) stock performs better than its underlying earnings growth over last five years,69668793,,CDW,Yahoo,"For many, the main point of investing in the stock market is to achieve spectacular returns. And we've seen some truly...",https://finnhub.io/api/news?id=a2dd51a72f7965a69af5ebbca6101a222b2e330a1348d41f397ac5cf98d12104
company,1628872980,CDW Corp. stock outperforms market on strong trading day,69687801,https://images.mktw.net/im-220105/social,CDW,MarketWatch,"Shares of CDW Corp. inched 0.21% higher to $198.32 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=bb568bc15f29e17af8e0640bc0d0aec24984b37ea26241e70c5b5b66d798bbb9
company,1628786580,"CDW Corp. stock rises Thursday, outperforms market",69645959,https://images.mktw.net/im-220105/social,CDW,MarketWatch,"Shares of CDW Corp. inched 1.00% higher to $197.91 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=978cadad5bab903fb46c3a491bb04b109096897f7d6b82658e402c3d977f51f9
company,1628700180,CDW Corp. stock outperforms competitors on strong trading day,69624877,https://images.mktw.net/im-220105/social,CDW,MarketWatch,"Shares of CDW Corp. rallied 2.32% to $195.96 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=5f08f56983fb4e0b4a76c1ae9b661df4178143c2e6565483ff1068715daadafc
company,1628613780,"CDW Corp. stock rises Tuesday, outperforms market",69624878,https://images.mktw.net/im-220105/social,CDW,MarketWatch,"Shares of CDW Corp. inched 1.00% higher to $191.52 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=5796caa5a99d3dbbf3404fc4fdb556e8f1df4cc8b8a1a3cbec170d0fa78de516
company,1628593800,CDW Names Al Miralles as Chief Financial Officer,69602241,https://s.yimg.com/uu/api/res/1.2/9uy2OFlT.NhNTIC50ljLZg--~B/aD0zMzY7dz0zNjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/f56d7474e3e09c50aab3cf6c140dd715,CDW,Yahoo,"LINCOLNSHIRE, Ill., August 10, 2021--CDW Corporation (Nasdaq: CDW), today announced that Al Miralles will join CDW as senior vice president and chief financial officer, effective September 7. He will succeed Collin B. Kebo, who previously announced his intention to retire after 13 years with CDW. Miralles will report to Christine A. Leahy, president and chief executive officer.",https://finnhub.io/api/news?id=a5fb358454cdc8707fcea236aeecc063a0741d52f9089f6a6e1b4cbfa2977883
company,1628582520,CDW Names Al Miralles Chief Financial Officer >CDW,69603923,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,CDW,MarketWatch,"By Colin Kellaher CDW Corp. on Tuesday said it named Al Miralles senior vice president and chief financial officer, effective Sept. 7. The Lincolnshire,...",https://finnhub.io/api/news?id=3c1757d478f41769862e3215b08b42796e2cf41bc5a5599e7329579de07d51ed
company,1628579400,CDW Names Al Miralles as Chief Financial Officer,69599097,,CDW,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=33035874b130da8ebc87156086e5196b8a7a59c9f28cf3f4947842644e89a0f1
company,1628576040,CDW announces Al Miralles as CFO,69596260,,CDW,Thefly.com,"CDW (CDW) announced that ... CDW, CNA",https://finnhub.io/api/news?id=8164a37305ab26e79bc3b5e1ff245571a4a592e8535dfe68a3971d00124ee5e8
company,1628527380,"CDW Corp. stock falls Monday, underperforms market",69588744,https://images.mktw.net/im-220105/social,CDW,MarketWatch,"Shares of CDW Corp. dropped 0.22% to $189.63 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4fc219965df3032497ca31221d94f468c49d82763dc9936a0e6cff9a0ab9dc6f
company,1628268180,"CDW Corp. stock falls Friday, underperforms market",69576640,https://images.mktw.net/im-220105/social,CDW,MarketWatch,"Shares of CDW Corp. slipped 0.30% to $190.05 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=2c3dbb445a08d1416d3a9401b9279377f17c86be1a4d5a0f6b6f6fbba48f07e1
company,1628181780,"CDW Corp. stock rises Thursday, outperforms market",69576641,https://images.mktw.net/im-220105/social,CDW,MarketWatch,"Shares of CDW Corp. rallied 1.26% to $190.62 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=94869fca951ddf06da5948f97320d564b1a32fc23f22745b057ea74cbb3029a1
company,1628167752,CDW Corporation (CDW) Q2 Earnings & Revenues Top Estimates,69522286,https://s.yimg.com/uu/api/res/1.2/k801.RUJ07Ee7atwPd.DSQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f54f709ae65e32f6086a21eeef8d44f3,CDW,Yahoo,"Amid ongoing supply challenges, CDW Corporation (CDW) manages to deliver outstanding Q2 performance with record revenues of $5.15 billion, primarily driven by rebound in commercial customer spending.",https://finnhub.io/api/news?id=9470ca39c9116e0a4fb088f4f20843d95e0437af59786f3a8125945de70acbd5
company,1628149920,CDW price target raised to $210 from $200 at Credit Suisse,69515824,,CDW,Thefly.com,Credit Suisse analyst Mat... CDW,https://finnhub.io/api/news?id=ee3b252dd3e746f84d74d086c10a2b4ee053188be87261e71a51612a3759e4c6
company,1628095380,CDW Corp. stock outperforms market on strong trading day,69576642,https://images.mktw.net/im-220105/social,CDW,MarketWatch,"Shares of CDW Corp. rallied 1.59% to $188.24 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ddf81ab2e5350405e1e00e631f8dbb4cf5aed10335ff064ded85b200aa95067c
company,1628091603,CDW vs. NOW: Which Stock Should Value Investors Buy Now?,69500342,https://s.yimg.com/uu/api/res/1.2/Fs_R4sd8jCoOMib958Znmg--~B/aD02MDM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/432476d296d64c50172213c0415587c9,CDW,Yahoo,CDW vs. NOW: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=770b15050ac723806ce824a1029459eb659c514ae33f7299bdc4d17ee23cae92
company,1628087742,CDW Corporation (CDW) CEO Chris Leahy on Q2 2021 Results - Earnings Call Transcript,69499277,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CDW,SeekingAlpha,"CDW Corporation (NASDAQ:CDW) Q2 2021 Earnings Conference Call August 4, 2021 08:30 ET Company Participants Brittany Smith - Investor Relations Chris Leahy - President and Chief Executive...",https://finnhub.io/api/news?id=d5b336ec3ca83d94b76ac96a13decf834605cae211c2728e7c4aaaef932a2086
company,1628079912,CDW (CDW) Q2 Earnings and Revenues Surpass Estimates,69498170,https://s.yimg.com/uu/api/res/1.2/T44Iwg7RbRrkaTIYz_liyQ--~B/aD00Njk7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/737ffb82e07dc8bffb77e72d153c91f2,CDW,Yahoo,"CDW (CDW) delivered earnings and revenue surprises of 12.85% and 4.04%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=2932f86bc79bc3d4c8f91d6bbf8c7982ac002038ea38c5ad62f5d02955e6bad3
company,1628078100,"CDW reports Q2 EPS $1.93, consensus $1.80",69515825,,CDW,Thefly.com,Reports Q2 revenue $5.14B... CDW,https://finnhub.io/api/news?id=8b769963a6e9374b3dbfd8aab52ebcf341846ee38e34e456c22c7d5a32d62b27
