category,datetime,headline,id,image,related,source,summary,url
company,1629190940,Canada Pension Plan Nears Deal for Germany’s CeramTec,69705102,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,CE,Yahoo,"(Bloomberg) -- Canada Pension Plan Investment Board is nearing a deal to acquire a stake in CeramTec GmbH, the German technical ceramics maker owned by buyout firm BC Partners, people with knowledge of the matter said.The transaction is set to value CeramTec at about 3.8 billion euros ($4.5 billion) including debt, the people said, asking not to be identified because the information is private. BC Partners and Canada Pension Plan will each own about half of CeramTec along with their co-investors",https://finnhub.io/api/news?id=437056e05d7df1ff39a5f5cfd6ff58e4f03096b65b3210c85dd3fc94a493ce8c
company,1628783943,Celanese (CE) Completes Senior Unsecured Notes Offering,69642103,https://s.yimg.com/uu/api/res/1.2/rkRlfJUbFheDXif9qCKV2A--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/236d157ebb08cbf8ff3dbacf7ce7623b,CE,Yahoo,Celanese (CE) plans to use net proceeds from the issuance of the Notes to repay outstanding indebtedness under its revolving credit facility.,https://finnhub.io/api/news?id=ee451c54192c18b196c42b60de748eb1a1192590197a0afe7770a5e2ed69786f
company,1628700180,"Celanese Corp. stock rises Wednesday, outperforms market",69624859,https://images.mktw.net/im-220105/social,CE,MarketWatch,"Shares of Celanese Corp. rose 1.76% to $163.17 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8ae425796bdda0961c03f57f75ca4c74bc96978db37db1efc0c239898fdec0e0
company,1628613780,Celanese Corp. stock outperforms market on strong trading day,69608309,https://images.mktw.net/im-220105/social,CE,MarketWatch,"Shares of Celanese Corp. rallied 2.45% to $160.34 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=eec90d082826aec492559b55253252b353fe79219defa969caf8a35d764b3f99
company,1628527380,Celanese Corp. stock outperforms market on strong trading day,69586434,https://images.mktw.net/im-220105/social,CE,MarketWatch,"Shares of Celanese Corp. inched 0.67% higher to $156.50 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=f798111ed410c9afd70c441ca45d501fd52423b3b8769f9acde14efe72bb9665
company,1628268180,"Celanese Corp. stock rises Friday, outperforms market",69554665,https://images.mktw.net/im-220105/social,CE,MarketWatch,"Shares of Celanese Corp. rose 1.57% to $155.46 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=a81445df6e31080fce9c34f386cc71e6110953a52eae61a9ff77dcac3836b07d
company,1628224740,"Markel Gayner Asset Management Corp Buys Regeneron Pharmaceuticals Inc, Texas Pacific Land Corp, Marvell Technology Inc, Sells Electronic Arts Inc",69562686,,CE,GuruFocus,,https://finnhub.io/api/news?id=2cf83ee84cd33595d2c2d18d8f3bdaf750f378f7f93899ad8af72a02efcb9b2d
company,1628194500,Celanese Completes Senior Unsecured Notes Offering,69533279,https://s.yimg.com/uu/api/res/1.2/xqZiw31kqhbby2cyYa2mkw--~B/aD0xNDY7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/5dc83c852b772d73aa17012d5698f96a,CE,Yahoo,"DALLAS, August 05, 2021--Celanese Corporation (NYSE: CE), a global chemical and specialty materials company, today announced that its subsidiary, Celanese US Holdings LLC, has completed a registered offering of $400 million of U.S. dollar-denominated 1.400% Senior Notes due 2026 (the ""Notes"").",https://finnhub.io/api/news?id=a19f92ef8c3081e5614719813a265cb5a2d18b88346d81d70dc90e40ab87c07c
company,1628181780,"Celanese Corp. stock rises Thursday, still underperforms market",69539782,https://images.mktw.net/im-220105/social,CE,MarketWatch,"Shares of Celanese Corp. inched 0.34% higher to $153.05 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=558a2aa0cba9bc4ba0ab46af01a046233d77361a202df3c39e62bbf6edd91002
company,1628180100,Celanese Completes Senior Unsecured Notes Offering,69546592,,CE,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=23d76324b2d8d62134def3efe52251690278c30256ad25eeb4a3228b1dde9566
