category,datetime,headline,id,image,related,source,summary,url
company,1629132180,Cerner Corp. stock underperforms Monday when compared to competitors despite daily gains,69691010,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. inched 0.65% higher to $80.15 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=53c7ea5289f632ed472c08f3ce705b0cfacef76734488af6a3421f2c2649deb2
company,1629106740,"Beaumont Asset Management, L.L.C. Buys Vanguard Short-Term Corporate Bond ETF, Becton, Dickinson and Co, Cerner Corp, Sells Vanguard Mega Cap Growth ETF, Amgen Inc, Consumer Staples Select Sector SPDR",69694542,,CERN,GuruFocus,,https://finnhub.io/api/news?id=9b211d73bfbeb3351725e106ec0e245ccab20d7c2dfa040bbaad2cbd632390d2
company,1628872980,"Cerner Corp. stock rises Friday, still underperforms market",69691011,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. inched 0.11% higher to $79.63 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=ea947d792fdf84b0e7268caea1cd9c40fdd2970ff994710b3917b2c7ae59201f
company,1628824740,"Starboard buys Papa John's, cuts Corteva in Q2",69667082,,CERN,Thefly.com,"Jeffrey Smith's Star... PZZA, WPCB, LEGA, KAHC, SLAM, CERN, BOX, IWM, TWCT, KVSC, CTVA, IWN, ACM, MAAC, SCOR, NLOK, ACIW",https://finnhub.io/api/news?id=3c994be1a6d97bfd85985ebc7625b2c696a4914faaeb29ba11ed9f23464bdfe2
company,1628786580,"Cerner Corp. stock rises Thursday, still underperforms market",69691012,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. inched 0.08% higher to $79.54 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=0d095c8ccaa4bab167030cb9f671d0f65a6506c2bea0b05bb3f12cc8d5dd5ce2
company,1628764740,"DCM Advisors, LLC Buys Facebook Inc, Amazon.com Inc, Intuitive Surgical Inc, Sells Apple Inc, Abbott Laboratories, Comerica Inc",69638087,,CERN,GuruFocus,,https://finnhub.io/api/news?id=38276dc7972e225dfb242b18965c55f77bbe5f7d719988a96b76ab5f6200a5d8
company,1628700180,Cerner Corp. stock outperforms market on strong trading day,69641691,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. inched 0.48% higher to $79.48 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=7c44db29c0f7f18f989621e81f2b2b21be89d610414a34953527b3e24cae24a0
company,1628613780,Cerner Corp. stock underperforms Tuesday when compared to competitors,69610453,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. slipped 1.13% to $79.10 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=d3a4d4eb93a0a18a3956eb8f1a33c3f3d17e8b791b9198c2b65f1e3e4e5b45ff
company,1628527380,"Cerner Corp. stock remains steady Monday, still outperforms market",69587613,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. were unchanged Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index falling...",https://finnhub.io/api/news?id=5cbe29a10b773c1e917da460c93fc2e1264f3a95ef6c04ede67fcf864f24ef11
company,1628290800,Spinoff Should Help Keep IBM’s Comeback on Track,69555098,,CERN,Yahoo,"Separation of managed infrastructure services unit is expected this year. Also, Wall Street opinions on Roku, Cerner, Blackbaud, Western Digital, and Restaurant Brands International.",https://finnhub.io/api/news?id=0c5d6efb42f26b5beb8e5b98b611de4e34bee0da14ff3943e350a1743151e17e
company,1628276400,Spinoff Should Help Keep IBM’s Comeback on Track,69554689,https://images.barrons.com/im-319998/social,CERN,MarketWatch,"Separation of managed infrastructure services unit is expected this year. Also, Wall Street opinions on Roku, Cerner, Blackbaud, Western Digital, and...",https://finnhub.io/api/news?id=b3ada4d7ccf41d23af997dc1bd1a6a16c67fb011d0e0167843bc1f10b5f07989
company,1628268180,"Cerner Corp. stock rises Friday, still underperforms market",69565444,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. inched 0.13% higher to $80.00 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=1daaeb076d48cb3a0503750bc9062c342fe932c281f33457421b486d7e2dbd3c
company,1628260920,Jvion Integrates AI-Powered Insights with Cerner Social Determinants of Health and Behavioral Health Products,69544866,https://s.yimg.com/uu/api/res/1.2/m08JJzmchk1xOkzmwtEVAg--~B/aD00MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/beaec6b9dac69204e60014d4a2b87b69,CERN,Yahoo,"Jvion’s data-driven insights will help Cerner clients understand the non-clinical barriers driving healthcare costs and utilization across their patient populationsATLANTA, Aug. 06, 2021 (GLOBE NEWSWIRE) -- Jvion, a leader in prescriptive intelligence, today announced that its clinical AI-powered social determinants of health (SDOH) and behavioral health insights will be integrated with Cerner products at the point of care. The new collaboration is designed to provide Cerner clients with an accu",https://finnhub.io/api/news?id=9fc0c1e58bb61fd76b20ba61ffadff1ccf44db0ef481e32856ffd130bab20704
