category,datetime,headline,id,image,related,source,summary,url
company,1629186960,"Tuesday’s Top Analyst Upgrades and Downgrades: Allstate, ADP, Baker Hughes, Hyatt, Lemonade, Robinhood, Suncor Energy and More",69694708,https://247wallst.com/wp-content/uploads/2019/02/imageforentry1-enb.jpg,CF,247WallSt,"Tuesday's top analyst upgrades and downgrades included Allstate, ADP, Baker Hughes, Coupa Software, Hyatt Hotels, Lemonade, Robinhood Markets and Suncor Energy.",https://finnhub.io/api/news?id=2e31cd6fcd5e339c07e7ac3abd3bdf1130882c79a807600ee7b1489c9823381a
company,1629174180,CF Industries upgraded to Buy from Hold at Berenberg,69694709,,CF,Thefly.com,Berenberg analyst Adrien ... CF,https://finnhub.io/api/news?id=0fb0d96fadc6ea595cc905be6a26f3077b0bdfc3a6e057a1296eb146bd0e060f
company,1629117540,"Columbus Hill Capital Management, L.P. Buys Uber Technologies Inc, JD.com Inc, DiDi Global Inc, Sells Capital One Financial Corp, FirstEnergy Corp, T-Mobile US Inc",69694710,,CF,GuruFocus,,https://finnhub.io/api/news?id=1999c703af7e80c05056fa17dfd4dfbde66e56f2e8f85b4c573ceb07ca05f48a
company,1629086220,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.31% By Investing.com,69694228,https://i-invdn-com.investing.com/news/WallStreet_800x533_L_1598280460.jpg,CF,Investing.com,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.31%,https://finnhub.io/api/news?id=adeafec75c4549e309bcda5bdd8b4187f29d4a9c2e60bb6e3c2aba08de762308
company,1628940900,CF Industries: Retiring Debt Will Further Boost The Cash Flows,69667765,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1265209398/medium_image_1265209398.jpg,CF,SeekingAlpha,"CF Industries posted an okay EPS, but an excellent free cash flow result. The net debt is decreasing very fast now.",https://finnhub.io/api/news?id=d9449042d31e411b01048697eaaf0fa18ef1b37be5562438d7a99ac3fda27a0c
company,1628928227,Wall Street Breakfast: What Moved Markets,69666433,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CF,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=330cdb63f8b3340df7ac0e508c5120f2addab238ffab56260a736ffd7ec54f5a
company,1628872980,"CF Industries Holdings Inc. stock falls Friday, underperforms market",69674093,https://images.mktw.net/im-220105/social,CF,MarketWatch,"Shares of CF Industries Holdings Inc. shed 0.72% to $48.38 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=47d9593ac004d1d922cd24ace7b5db2e2584d3942d371ed3efeef63640359b75
company,1628869560,"CF Industries Holdings, Inc. Welcomes Affirmative ITC Preliminary Determinations Concerning Imports of UAN from Russia and Trinidad and Tobago",69655889,,CF,Yahoo,"DEERFIELD, Ill., August 13, 2021--The U.S. International Trade Commission (""ITC"") today announced an affirmative decision in the preliminary phase of its antidumping and countervailing duty investigation of urea ammonium nitrate solutions (""UAN"") from Russia and Trinidad and Tobago (""Trinidad""). The investigation is being conducted in response to petitions filed by CF Industries Holdings, Inc. (NYSE: CF), through certain of its production facilities.",https://finnhub.io/api/news?id=d045c752207dc1ddb3f151e16f52dca3e505049651e9705d84b3cc79616acea9
company,1628855160,"CF Industries Holdings, Inc. Welcomes Affirmative ITC Preliminary Determinations Concerning Imports of UAN from Russia and Trinidad and Tobago",69669443,,CF,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9582ca6bfde9d2c51bce742b157ab27e560d64aa37fa6c60c4510d9984364628
company,1628851680,CF Industries reports affirmative ITC preliminary determinations on UAN imports,69669444,,CF,Thefly.com,The U.S. International Tr... CF,https://finnhub.io/api/news?id=66ab43d6d0d1dc6df3cdd646e281fd788b768da4995e5ce9c25a757f7394d159
company,1628809036,CF Industries: I Like The Valuation But Dislike The Dividend,69646503,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1250506247/medium_image_1250506247.jpg,CF,SeekingAlpha,"CF should be able to further benefit from a good valuation, high demand, cheap production opportunities, high fertilizer prices, and, as a result, strong free cash flow.",https://finnhub.io/api/news?id=49d94c97cfd959a56a71ee7d0a9017de9e44e1095cbbba3e00b20f8aace84abb
company,1628786580,CF Industries Holdings Inc. stock outperforms competitors on strong trading day,69645964,https://images.mktw.net/im-220105/social,CF,MarketWatch,"Shares of CF Industries Holdings Inc. rose 1.49% to $49.03 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=e204358ed24aff4f76fb69d029c0b1e1645d283ec0b61622d85a855a1ba95f53
company,1628771052,CF Industries (CF) & Mitsui Partner for Blue Ammonia Exploration,69634496,https://s.yimg.com/uu/api/res/1.2/Tw_MxVTNvuP2TPSKYgIvDA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/539d33719e8b2b5c7fa17d6af2b8cbdf,CF,Yahoo,CF Industries (CF) and Mitsui will jointly explore blue ammonia capacity in the Unites States as a source of clean energy.,https://finnhub.io/api/news?id=7e9fd067d1002c6e97c7956b89d42151ed043c1da9fc13e7b307cd93cae8d32a
company,1628700180,CF Industries Holdings Inc. stock outperforms competitors on strong trading day,69645966,https://images.mktw.net/im-220105/social,CF,MarketWatch,"Shares of CF Industries Holdings Inc. advanced 1.02% to $48.31 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=21533c0fc47f187149881e3ac8e54aa4ef0293931ecb5974607e116b1d882d3f
company,1628622037,"CF Industries Holdings, inc (CF) Q2 2021 Earnings Call Transcript",69603615,,CF,Yahoo,"With me today are Tony Will, CEO; Chris Bohn, CFO; and Bert Frost, Senior Vice President of Sales, Market Development and Supply Chain.  CF Industries reported its first half 2021 results yesterday afternoon.",https://finnhub.io/api/news?id=01cc6bdd10fb825a59f305b08e4cf42bf384ec3a7cbe103312997b653fe3d5c6
company,1628613780,CF Industries Holdings Inc. stock outperforms market on strong trading day,69610469,https://images.mktw.net/im-220105/social,CF,MarketWatch,"Shares of CF Industries Holdings Inc. rose 1.59% to $47.82 Tuesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=0b361cca62e4431748a569212c3e3d4b5c603aebe86719b223e0decbf43c1e31
company,1628602267,"CF Industries Holdings, Inc. (CF) CEO Tony Will on Q2 2021 Results - Earnings Call Transcript",69601133,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CF,SeekingAlpha,"CF Industries Holdings, Inc. (NYSE:CF) Q2 2021 Results Conference Call August 10, 2021, 9:00 AM ET Company Participants Tony Will – President and Chief Executive Officer Martin Jarosick –...",https://finnhub.io/api/news?id=ad17a296c51c276847d4b2a377b6589dc10f531a8702e6877e378035722531ac
company,1628598068,"CF Industries Holdings, Inc. 2021 Q2 - Results - Earnings Call Presentation",69599863,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CF,SeekingAlpha,"The following slide deck was published by CF Industries Holdings, Inc.",https://finnhub.io/api/news?id=4d394852bde21910a5ab9c0aae50d510ca1bce0d1719118fc0f96b2aa2e3b6e1
company,1628589549,CF Industries' (CF) Earnings and Sales Miss Estimates in Q2,69603616,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,CF,Yahoo,CF Industries (CF) sees lower volumes in Q2 due to lower supply availability stemming from reduced production.,https://finnhub.io/api/news?id=4d6a5a6c4ab480681bda52cdc50c51c737f95c1e5c67dfb24d68636ce0edde00
company,1628583146,Wall Street Breakfast: UN Calls Climate Code Red (Podcast),69593528,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,CF,SeekingAlpha,"Our top stories today: UN Calls Climate Code Red, AMC rallies after beating quarterly estimates, and Moderna jumps as the FDA evaluates COVID-19 booster shots .",https://finnhub.io/api/news?id=cf0dbce9c836bfbb85eae2e664ed87e0bc3c752c4a6f9a307589cb2834ee462f
company,1628576786,Wall Street Breakfast: Climate Code Red,69592799,,CF,SeekingAlpha,,https://finnhub.io/api/news?id=0e3f4e886f2d7761b3040eb350b801005490f971c24d2223959416f657ec98f3
company,1628545509,CF Industries (CF) Lags Q2 Earnings and Revenue Estimates,69587797,https://s.yimg.com/uu/api/res/1.2/nxwFIPS2ImeTQYZMYlnAgg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1a018a29aef5adbf5b4319f32058e209,CF,Yahoo,"CF (CF) delivered earnings and revenue surprises of -30.49% and -7.61%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=28619bdc478feb6275b61db913a4acb7520a7dfe8ab96475365e6a7ae8d33032
company,1628541000,"CF Industries Holdings, Inc. Reports First Half 2021 Net Earnings of $397 Million, EBITDA of $994 Million, Adjusted EBITDA of $997 Million",69585086,https://s.yimg.com/uu/api/res/1.2/cGGOsdAzTDjzVPFy5eyeVQ--~B/aD0yODI7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/4255b187e4bd1673cf9c1a834f212225,CF,Yahoo,"DEERFIELD, Ill., August 09, 2021--CF Industries Holdings, Inc. (NYSE: CF), a leading global manufacturer of hydrogen and nitrogen products, today announced results for its first half and second quarter ended June 30, 2021.",https://finnhub.io/api/news?id=9100dc433961c804f7d3b9a8a5109a07ce4f43eead90db50289b51f7676ea9af
company,1628540400,"CF Industries Holdings, Inc. Announces Partial Redemption of Senior Notes Due 2023",69585087,https://s.yimg.com/uu/api/res/1.2/kBN737WFIBA9Vi5UOxsMow--~B/aD0yODI7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/920b0fc002646b875b9ecaf46f58b9d5,CF,Yahoo,"DEERFIELD, Ill., August 09, 2021--CF Industries Holdings, Inc. (NYSE: CF) today announced that its wholly owned subsidiary CF Industries, Inc. has elected to redeem on September 10, 2021, $250,000,000 principal amount, representing one-third of the currently outstanding $750,000,000 principal amount, of its 3.450% Senior Notes due 2023 (the ""Notes""), in accordance with the optional redemption provisions of the indenture governing the Notes. CF intends to use cash on hand to fund the redemption.",https://finnhub.io/api/news?id=f3a6cbc8fd493a3b3145258b0a2a485a345d92a7bfdabb06ba325fac634835f6
company,1628539800,"Mitsui & Co., Inc. and CF Industries to Jointly Explore Development of Blue Ammonia Projects in the United States",69585088,https://s.yimg.com/uu/api/res/1.2/647vO.rONIHRgmfpbIlNxw--~B/aD0yODI7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/196850f59103cb495d47cf8686ce09d6,CF,Yahoo,"DEERFIELD, Ill., August 09, 2021--Mitsui & Co., Inc. (8031: JP), one of the leading ammonia marketers in the world, and CF Industries Holdings, Inc. (NYSE: CF), the world’s largest producer of ammonia, today announced a memorandum of understanding that will guide the companies in a joint exploration of the development of blue ammonia projects in the United States.",https://finnhub.io/api/news?id=f54d5a7321729cf084e651eeba08d08eec1774eab8aa3b511752956d791cbd76
company,1628530320,CF Industries Says Global Demand for Nitrogen is Robust and Widespread -- Commodity Comment,69610471,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,CF,MarketWatch,"By Robert Barba CF Industries Holdings, Inc. said Monday the need to replenish coarse grains stocks, increased economic activity and higher energy prices in...",https://finnhub.io/api/news?id=d678de14d17501dd11bf3b71af8c26a02e2363e352428142f5d939f0a3e3eb34
company,1628527380,CF Industries Holdings Inc. stock outperforms competitors on strong trading day,69610473,https://images.mktw.net/im-220105/social,CF,MarketWatch,"Shares of CF Industries Holdings Inc. advanced 1.91% to $47.07 Monday, on what proved to be an all-around dismal trading session for the stock market, with...",https://finnhub.io/api/news?id=d83d852d4959db66ca96954f9dae748f0a26fdeca540d43f69eddb1354561d9d
company,1628527260,CF: Q2 Earnings Snapshot,69596282,,CF,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b33868087c8f490979fb87c70a7c16ec9938dbdbdc82470cc17e53f3633e1fca
company,1628526600,"CF Industries Holdings, Inc. Reports First Half 2021 Net Earnings of $397 Million, EBITDA of $994 Million, Adjusted EBITDA of $997 Million",69596283,,CF,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=97629a00d87ef68a426963bb10af4a0dc874af0f3be315702bcf116031e07ba5
company,1628526000,"CF Industries Holdings, Inc. Announces Partial Redemption of Senior Notes Due 2023",69596284,,CF,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e89cb77fcb9e5c519126a28c2d0064ac12c70a1415e36f5eee7a4e1cfb7e0549
company,1628525400,"Mitsui & Co., Inc. and CF Industries to Jointly Explore Development of Blue Ammonia Projects in the United States",69596285,,CF,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1d4b58baac22f9f1c6d6e984cf16c1d283ee22e1ac2dd06670687db724042c66
company,1628498096,Interested In CF Industries Holdings' (NYSE:CF) Upcoming US$0.30 Dividend? You Have Three Days Left,69583599,https://s.yimg.com/uu/api/res/1.2/7derraoEURMov0.kYFmzQw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/a3ab99500bb842820119e0d737ca7bfe,CF,Yahoo,"CF Industries Holdings, Inc. ( NYSE:CF ) stock is about to trade ex-dividend in three days. Typically, the ex-dividend...",https://finnhub.io/api/news?id=ef008511ed24c3d6fdc9fa274b55de3aebfb60c341d5489cc3ee83907558f54a
company,1628484587,Insider Weekends: A Week Of Repeats With Purchases Of Vertex And B. Riley,69576192,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1221735326/medium_image_1221735326.jpg,CF,SeekingAlpha,Insider buying increased significantly last week. Vertex Pharmaceuticals and American Assets Trust both made the top 5 list.,https://finnhub.io/api/news?id=a350a997405baeb04e027e306cd995ad7cc9571a13aff036ea5a69e144685107
company,1628479920,"CF Industries reports Q2 EPS $1.14, consensus $1.55",69596286,,CF,Thefly.com,Reports Q2 revenue $1.59B... CF,https://finnhub.io/api/news?id=20f08b8024376c7876793df6d907300e47e444c8060f7dc1665bfada69767a72
company,1628268180,CF Industries Holdings Inc. stock outperforms market on strong trading day,69559835,https://images.mktw.net/im-220105/social,CF,MarketWatch,"Shares of CF Industries Holdings Inc. advanced 2.21% to $46.19 Friday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=6db52456a69faecd29dbf694e12194a8ee5835c92942f2ca93418bc51046826f
