category,datetime,headline,id,image,related,source,summary,url
company,1628700240,"Church & Dwight Co. stock rises Wednesday, still underperforms market",69625575,https://images.mktw.net/im-220105/social,CHD,MarketWatch,"Shares of Church & Dwight Co. inched 0.14% higher to $84.25 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=30ee91bff887f053ccd5255102ea69b71108372a0e8531d26f2cac5dfb8ada4c
company,1628613840,"Church & Dwight Co. stock remains steady Tuesday, underperforms market",69625576,https://images.mktw.net/im-220105/social,CHD,MarketWatch,"Shares of Church & Dwight Co. were unchanged Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=722bbf113e2a45ee9b28e854a851ee552b04e808fbef38e6292c53070a84a4b8
company,1628527440,Church & Dwight Co. stock outperforms competitors on strong trading day,69625578,https://images.mktw.net/im-220105/social,CHD,MarketWatch,"Shares of Church & Dwight Co. inched 0.74% higher to $84.13 Monday, on what proved to be an all-around rough trading session for the stock market, with the...",https://finnhub.io/api/news?id=853d013b9fc9a07bb8baf16139707a447d6305de89034adf25a26e3d4b75d90a
company,1628500155,"Church & Dwight Co., Inc. (NYSE:CHD) Looks Like A Good Stock, And It's Going Ex-Dividend Soon",69584121,https://s.yimg.com/uu/api/res/1.2/LCxOusrEgEfz6TcdqUQh8Q--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/326ea124a116b3a8e74f95b715189124,CHD,Yahoo,"Church & Dwight Co., Inc. ( NYSE:CHD ) is about to trade ex-dividend in the next 3 days. Typically, the ex-dividend...",https://finnhub.io/api/news?id=425329415f28deec1eaa05c112b5387cde772e6bb8d43c338edb5f887576509e
company,1628388424,Dividend Champion And Contender Highlights: Week Of August 8,69568615,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,CHD,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=f26cffbb3af02ff855098aafb565db5f260e504cd2b34119cf37f99869e96bb4
company,1628326373,Returns On Capital Signal Tricky Times Ahead For Church & Dwight (NYSE:CHD),69563781,https://s.yimg.com/uu/api/res/1.2/LCxOusrEgEfz6TcdqUQh8Q--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/326ea124a116b3a8e74f95b715189124,CHD,Yahoo,"Finding a business that has the potential to grow substantially is not easy, but it is possible if we look at a few key...",https://finnhub.io/api/news?id=7f103b85ee9938fa91b3bf1e26ffab8dc420bff16a2c9ad22d9946afd4784ba7
company,1628268240,"Church & Dwight Co. stock falls Friday, underperforms market",69570004,https://images.mktw.net/im-220105/social,CHD,MarketWatch,"Shares of Church & Dwight Co. dropped 0.29% to $83.51 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=ed3c94991f9538bd3508b0a0fbd3419020aef5802ea0532ca594dd6bbe9f32d9
company,1628181840,"Church & Dwight Co. stock falls Thursday, underperforms market",69552288,https://images.mktw.net/im-220105/social,CHD,MarketWatch,"Shares of Church & Dwight Co. slumped 0.02% to $83.75 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=ff2f1c43a0043f6ce4286594d905224654b92dfa25ca1a0ee61ebebbe695a350
company,1628095440,Church & Dwight Co. stock underperforms Wednesday when compared to competitors,69552289,https://images.mktw.net/im-220105/social,CHD,MarketWatch,"Shares of Church & Dwight Co. slid 1.61% to $83.77 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=bbb46e3825db896599546e2cbbbb913e678dc4d81ac0245c46e578d62d7b1d2e
company,1628072160,Church & Dwight Co Inc (CHD) EVP & Chief Marketing Officer Britta Bomhard Sold $3.6 million of Shares,69518751,,CHD,GuruFocus,,https://finnhub.io/api/news?id=b27fc782af6034f7e72476022eedd15c2aff9f07308ccec81dec5859deccbcaa
