category,datetime,headline,id,image,related,source,summary,url
company,1628873040,C.H. Robinson Worldwide Inc. stock outperforms market on strong trading day,69662723,https://images.mktw.net/im-220105/social,CHRW,MarketWatch,"Shares of C.H. Robinson Worldwide Inc. inched 0.73% higher to $91.90 Friday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=26bb54f7a3b3eeaaf0dc0c4d5fd53b9cd9b0c74011dae800ec1c2653a46f8a81
company,1628786640,C.H. Robinson Worldwide Inc. stock underperforms Thursday when compared to competitors despite daily gains,69662724,https://images.mktw.net/im-220105/social,CHRW,MarketWatch,"Shares of C.H. Robinson Worldwide Inc. inched 0.45% higher to $91.23 Thursday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=f168e5b314b21a2ed2016df3831b05a1d9c03ba94d21abe303b47f29ea9f15cc
company,1628783563,Federal Panel Urges Biden Administration To Attack Driver Shortage,69645476,https://s.yimg.com/uu/api/res/1.2/tBp7cpXYS7GAPt096RRpIg--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/caea7e4ddf61d83cecfc6a5f31630375,CHRW,Yahoo,"Supply chain experts advising the Biden administration want the U.S. Department of Commerce to lead a multiagency effort to address a truck driver shortage they warn has ""likely reached an all-time high."" The International Trade Administration's Advisory Committee on Supply Chain Competitiveness (ACSCC), a 45-member panel of industry officials that advises the secretary of commerce on national freight policy, voted at an ad hoc meeting on Wednesday to recommend that the department ""take a leader",https://finnhub.io/api/news?id=f55602c5dcc469c09e11ee18cddd86accb12faaeed59eef4f93ed90150b38586
company,1628700240,"C.H. Robinson Worldwide Inc. stock rises Wednesday, outperforms market",69636586,https://images.mktw.net/im-220105/social,CHRW,MarketWatch,"Shares of C.H. Robinson Worldwide Inc. rallied 1.59% to $90.82 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=9845befb055d85524acdcbd7b48f5b85989c3ac1020a930e91d9566e5ed2968c
company,1628627192,Truck driver shortage ‘is about as bad as I’ve ever seen’: US Xpress CEO,69603535,,CHRW,Yahoo,"The need for workers is weighing on the trucking industry, where freight operators are struggling to raise wages fast enough to find drivers.",https://finnhub.io/api/news?id=025afdac87914acda4e546d6785061ff4501561259926484c3be0075a3913861
company,1628613840,C.H. Robinson Worldwide Inc. stock underperforms Tuesday when compared to competitors,69636588,https://images.mktw.net/im-220105/social,CHRW,MarketWatch,"Shares of C.H. Robinson Worldwide Inc. sank 0.23% to $89.40 Tuesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=39ddb5dbd000d33528fd54ff5dd0ecbcb70fa83a9d40c9471cf0524440fb3ee6
company,1628573033,C.H. Robinson Worldwide (NASDAQ:CHRW) Has Announced A Dividend Of US$0.51,69593270,https://s.yimg.com/uu/api/res/1.2/Zp2ICoOvWRYM7kbgcJnIyQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/ae8872ebc1c143362ada976ee9b011cc,CHRW,Yahoo,"The board of C.H. Robinson Worldwide, Inc. ( NASDAQ:CHRW ) has announced that it will pay a dividend on the 1st of...",https://finnhub.io/api/news?id=4185a1af8fd114aadfa6d78d483ec979e37be644ad1e2481df0dddbaf962d65e
company,1628527440,"C.H. Robinson Worldwide Inc. stock falls Monday, underperforms market",69586470,https://images.mktw.net/im-220105/social,CHRW,MarketWatch,"Shares of C.H. Robinson Worldwide Inc. slipped 1.53% to $89.61 Monday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=74e2daf63e1f1983f824c21b45d0641b11d700f827d4b771e5411e7550234f49
company,1628489132,"A Look At The Intrinsic Value Of C.H. Robinson Worldwide, Inc. (NASDAQ:CHRW)",69578555,https://s.yimg.com/uu/api/res/1.2/Zp2ICoOvWRYM7kbgcJnIyQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/ae8872ebc1c143362ada976ee9b011cc,CHRW,Yahoo,"In this article we are going to estimate the intrinsic value of C.H. Robinson Worldwide, Inc. ( NASDAQ:CHRW ) by taking...",https://finnhub.io/api/news?id=64bc50531f813c4e23c248a963b78777a1f667db2871a8e9653eea50a7491e78
company,1628268240,"C.H. Robinson Worldwide Inc. stock rises Friday, outperforms market",69586471,https://images.mktw.net/im-220105/social,CHRW,MarketWatch,"Shares of C.H. Robinson Worldwide Inc. advanced 1.40% to $91.00 Friday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=f210cbdc997990614f7e000201758af52494469780b106334e12899372677200
