category,datetime,headline,id,image,related,source,summary,url
company,1629195180,Stocks That Hit 52-Week Highs On Tuesday,69696539,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,CHTR,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 55 companies set new 52-week highs.
Points of Interest:

Apple (NASDAQ:AAPL) was the largest company by market cap to set a new 52-week...",https://finnhub.io/api/news?id=89bff3b255cda39ced7d3d82f57abf75db82808a9d92ace05c0fdecc8b10cf14
company,1629173273,XLC: Far From Being Crushed By Starlink's Satellites,69690727,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1232661716/medium_image_1232661716.jpg,CHTR,SeekingAlpha,Elon Musk has been weaving a web of satellites with the intent of offering high speed internet everywhere in the world. This puts it in a position to compete with some of XLC's holdings.,https://finnhub.io/api/news?id=e1361b523f1daa97f1ed6b498c31f283942338d4fc3746260a17089d90a9c167
company,1629144900,Charter Closes $2.0 Billion Senior Unsecured Notes,69686426,https://s.yimg.com/uu/api/res/1.2/aueXeNiXM7yNvAt6p81JXw--~B/aD0xMjY7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/eea294f754cc2d8572352cb7926ddee8,CHTR,Yahoo,"Charter Communications, Inc. (NASDAQ: CHTR) (along with its subsidiaries, ""Charter"") today announced that its subsidiaries, CCO Holdings, LLC and CCO Holdings Capital Corp., have closed on $2.0 billion in aggregate principal amount of senior unsecured notes due 2034 (the ""Notes""). The Notes bear interest at a rate of 4.250% per annum and were issued at a price of 100.000% of the aggregate principal amount.",https://finnhub.io/api/news?id=d075cbeee3df5d439613fa004ee9463f5b00dc1eac515986edab5cf945d1ed04
company,1629132240,Charter Communications Inc. Cl A stock outperforms competitors on strong trading day,69693565,https://images.mktw.net/im-220105/social,CHTR,MarketWatch,"Shares of Charter Communications Inc. Cl A rallied 1.41% to $782.58 Monday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=6cf163f17ff0f4a61e1227390fa004ca6e9bc040859d7ff71019724699b8469f
company,1629130500,Charter Closes $2.0 Billion Senior Unsecured Notes,69702174,,CHTR,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=54eb0cdb7fdcb2b04fe84be98aab06ab39c98f62f1ecc889cf7dad2022ee8508
company,1629115755,Investors Will Want Charter Communications' (NASDAQ:CHTR) Growth In ROCE To Persist,69682665,https://s.yimg.com/uu/api/res/1.2/5VNqBsiOxWTZpPAOHBLW7Q--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/2a5f8bf7b14f7a84eeab5c2afb4feb0b,CHTR,Yahoo,"To find a multi-bagger stock, what are the underlying trends we should look for in a business? Firstly, we'll want to...",https://finnhub.io/api/news?id=720b1679f5b5088c0ad608c022b232d87e36f5a0a5646aebd0ab724f1c786c6b
company,1629097260,Why I Believe Altice USA Shares Can Triple In The Next 3-4 Years,69678211,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254208049/medium_image_1254208049.jpg,CHTR,SeekingAlpha,"Altice USA (ATUS) shares sold off 17% following disappointing Q2 net subscriber additions. So, why do I believe ATUS can triple in the next 3-4 years?",https://finnhub.io/api/news?id=128c0bce780918fc440612ad0abca62e44ee1ae719609acac20ebd28120b1342
company,1629089520,"Third Point adds SoFi, exits Equitrans in Q2",69695177,,CHTR,Thefly.com,"Third Point disclosed in ... S, SOFI, EDR, ZBH, PTON, ETRN, IAA, AMZN, DELL, CANO, EL, CHTR, PCG, JD, IQV, DIS",https://finnhub.io/api/news?id=1f8d0f785a6738ea1e21a6f398982ac07fb3854b3b8723492d6abdde006f3763
company,1628907446,Altice USA: 16% Correction Was Overreaction To Q2 Broadband Stability,69664317,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1223957183/medium_image_1223957183.jpg,CHTR,SeekingAlpha,"ATUS stock has fallen 15.5% since Q2 results on July 28, which we believe to be an over-reaction and represents an opportunity. Click to read more.",https://finnhub.io/api/news?id=fd2e6cd3016e1898ec3933e7ac14fff34b790455060146887e8e93be12655076
company,1628873040,"Charter Communications Inc. Cl A stock falls Friday, underperforms market",69693566,https://images.mktw.net/im-220105/social,CHTR,MarketWatch,"Shares of Charter Communications Inc. Cl A shed 0.37% to $771.71 Friday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=cc7c410745c13f433df6e26963746ba95bbe7f43bfd0fbdbfc16bef83204978c
company,1628786640,"Charter Communications Inc. Cl A stock falls Thursday, underperforms market",69693567,https://images.mktw.net/im-220105/social,CHTR,MarketWatch,"Shares of Charter Communications Inc. Cl A slumped 0.27% to $774.57 Thursday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=2dadf45531c5d225be9da2a34494ddd6f9391818a4805c219c00da6e74e74698
company,1628770320,CHTR October 1st Options Begin Trading,69656095,,CHTR,Stock Options Channel,"Staff article entitled CHTR October 1st Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=aa70821f8aaf5969792cf42e95435a573b0ccdd3c9f4be03076218b4b5b75ffa
company,1628700240,"Charter Communications Inc. Cl A stock rises Wednesday, outperforms market",69693568,https://images.mktw.net/im-220105/social,CHTR,MarketWatch,"Shares of Charter Communications Inc. Cl A advanced 1.32% to $776.65 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=624f68acf3cb141d7dfdbda09c32948943d845c3cf35ce45ec95705f582412dd
company,1628665740,Charter price target raised to $900 from $775 at Argus,69614910,,CHTR,Thefly.com,Argus analyst Joseph Bonn... CHTR,https://finnhub.io/api/news?id=0c4e5d29d00bc206384d8aaee369d726fcd4234bc1afd7e2c06ca706d889766b
company,1628656740,"Cryder Capital Partners LLP Buys Thermo Fisher Scientific Inc, Microsoft Corp, Charter Communications Inc",69614911,,CHTR,GuruFocus,,https://finnhub.io/api/news?id=2b0f8deeb97001f84ef22cea93336255da0a92590bfb1fc5dd94ce34c1eda8ea
company,1628613840,Charter Communications Inc. Cl A stock outperforms market on strong trading day,69605323,https://images.mktw.net/im-220105/social,CHTR,MarketWatch,"Shares of Charter Communications Inc. Cl A inched 0.13% higher to $766.50 Tuesday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=e5ec04cd796361b32fb606997bcae52865aa5e649aef5cd79b25b10bfeb32149
company,1628586900,Frontier Communications: Braving A New Frontier,69593969,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254825733/medium_image_1254825733.jpg,CHTR,SeekingAlpha,Frontier Communications stock has traded up a little since I wrote my first piece. I continue to see much more upside on FYBR stock. Here's why.,https://finnhub.io/api/news?id=cf42998dbdb13bf280d07aa391643946714ec9c5f2ab37633bc524a0d9d2fa0b
company,1628578800,Mystery Builds Over Who Is Buying Millions of Cellphone Lines,69608239,https://images.wsj.net/im-382017/social,CHTR,DowJones,Population growth and more devices in the hands of users don’t fully explain what amount to U.S. carriers’ biggest gains in nearly a decade.,https://finnhub.io/api/news?id=0c6795bee22b0580749e1c7ca9088e49beeac4d5b755b0285a847fb6588be530
company,1628527440,Charter Communications Inc. Cl A stock underperforms Monday when compared to competitors,69605324,https://images.mktw.net/im-220105/social,CHTR,MarketWatch,"Shares of Charter Communications Inc. Cl A slumped 0.60% to $765.50 Monday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=7f1da578725ab44ec7bcae9bf65b08592099458313c4cfdde5edd5fc8303f718
company,1628517132,"Were Hedge Funds Right About Charter Communications, Inc. (CHTR)?",69582839,https://s.yimg.com/uu/api/res/1.2/e_m2DlnqnRQWv.1La5t1kA--~B/aD04MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/f0ef1e21e4e4652428cc5d13dd11df80,CHTR,Yahoo,Last year we predicted the arrival of the first US recession since 2009 and we told in advance that the market will decline by at least 20% in (Recession is Imminent: We Need A Travel Ban NOW). In these volatile markets we scrutinize hedge fund filings to get a reading on which direction each stock […],https://finnhub.io/api/news?id=19286a4ce228c9498458f469721f9e328edcdaea46f1e2f7655219aae893905b
company,1628392855,Outperforming S&P 500 By Trading Top 10 Stocks From 40 Large Hedge Funds: Update 8/8/2021,69568966,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/902847210/medium_image_902847210.jpg,CHTR,SeekingAlpha,"Using the quarterly 13F filings we extract 50 consensus stocks from 40 large hedge funds, each fund with more than $3.5 billion Assets Under Management. Click to find the list.",https://finnhub.io/api/news?id=be305654c9480908ebd0d5e7e9ff6df480992b9d4b996886620f663c98804d9e
company,1628332461,"Verizon and AT&T plan post-pandemic 5G marketing blitz, even as consumer use cases remain unclear",69567340,https://image.cnbcfm.com/api/v1/image/106758898-1603462815299-gettyimages-1229213233-Apple_Store_iPhone_12_5G_Series.jpeg?v=1619706672,CHTR,CNBC,Verizon and AT&T shelved 5G marketing efforts emphasizing outdoor activities during the pandemic. Now they're ready to push it again.,https://finnhub.io/api/news?id=b09a808159cc8415f12df432dc89f62430302a984b17b1da28b84f539723f05b
