category,datetime,headline,id,image,related,source,summary,url
company,1629190620,"Ex-Dividend Reminder: Cummins, MGP Ingredients and Walgreens Boots Alliance",69698902,,CMI,Dividend Channel,"dividend channel,CMI,MGPI,WBA,",https://finnhub.io/api/news?id=43c8705b289ff2c8123b4ee940aa9dfa14255b76e34b0cf8933e78989d72f836
company,1629132300,Cummins Inc. stock outperforms competitors on strong trading day,69688179,https://images.mktw.net/im-220105/social,CMI,MarketWatch,"Shares of Cummins Inc. inched 0.66% higher to $239.29 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=8b4a646d384ec56c01f48e66f3b533c13c996bb3ef57460c0fbcfe600074de58
company,1629113940,"Goelzer Investment Management, Inc. Buys iShares Barclays GNMA Bond Fund, Pioneer Natural Resources Co, Vanguard Russell 1000 Growth Index Fund, Sells Compass Minerals International Inc, Bristol-Myers Squibb Company, AT&T Inc",69696761,,CMI,GuruFocus,,https://finnhub.io/api/news?id=c0e7ffbad07dd01cf47f3b35d3c2dcdd31e9f2253bfb1066ce4016577bc01e4a
company,1629099540,"Wellington Shields Capital Management, LLC Buys Illinois Tool Works Inc, The Duckhorn Portfolio Inc, AppHarvest Inc, Sells Microsoft Corp, SPDR Gold Shares ETF, Amgen Inc",69694930,,CMI,GuruFocus,,https://finnhub.io/api/news?id=b27ba601c2d2e990c8e0b3ef98d43616a2397556144e0ae4874a3f54799105d6
company,1629081540,"Loomis Sayles & Co L P Buys Vertex Pharmaceuticals Inc, Airbnb Inc, Alnylam Pharmaceuticals Inc, Sells Bristol-Myers Squibb Company, Parker Hannifin Corp, Becton, Dickinson and Co",69698905,,CMI,GuruFocus,,https://finnhub.io/api/news?id=1bbe4094b1f9c539f7202d1fcdb5b217e60441038b640299779549d7bae139e1
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,CMI,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
company,1629011423,Why You Might Be Interested In Cummins Inc. (NYSE:CMI) For Its Upcoming Dividend,69676941,https://s.yimg.com/uu/api/res/1.2/N3W5TEXreSQlvtx85UgfKQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/a59a44c5150f2b5166f1690905dcbc85,CMI,Yahoo,"Regular readers will know that we love our dividends at Simply Wall St, which is why it's exciting to see Cummins Inc...",https://finnhub.io/api/news?id=4d8a22093ef85d609acf5ff0eee53a69886da6da0b39b2394f6a1b97c938541b
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,CMI,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628873100,Cummins Inc. stock outperforms competitors despite losses on the day,69664436,https://images.mktw.net/im-220105/social,CMI,MarketWatch,"Shares of Cummins Inc. sank 0.59% to $237.72 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=244a7a8693409bc7e82061cfea3db06cdc6ac959c9cb286997e4ea03b6a9a3ef
company,1628858766,Cummins Family Rallies Behind Father of Gold-Medal Winner,69656961,https://s.yimg.com/uu/api/res/1.2/TAPf7GOQ.icUP5fDCEmfTQ--~B/aD0zNDQ7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/67a6aba967f17de434b61fd963da1954,CMI,Yahoo,Gymnastics gold medalist Suni Lee isn’t the only one in her family who demonstrated incredible perseverance to achieve a goal.,https://finnhub.io/api/news?id=115b19a1f10e1218bb0e5f8d62fcd217bf3cfd2d7c4074edbbc061d00721b0bf
company,1628847660,Hydrogen-powered vehicles: A realistic path to clean energy?,69667118,,CMI,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=184ec025c7116ed7a8e34b3bdcc02ac2435d615e78be4164ad1b5e6eab190262
company,1628847660,Hydrogen-powered vehicles: A realistic path to clean energy?,69652647,,CMI,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7f51483d8739f5d334d5baed4fbb467c24699f153dd4462adf0829add3e7e571
company,1628845320,"82 Firms Going Ex-Dividend Next Week, Including Target, Walgreens Boots Alliance and GlaxoSmithKline",69654653,,CMI,TalkMarkets,,https://finnhub.io/api/news?id=764fc56d31ba21ed6873fd91ac0cab376db1e55c60d95c332c59da41fab912f4
company,1628811307,13 Upcoming Dividend Increases Including 1 Dividend King,69646756,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273237907/medium_image_1273237907.jpg,CMI,SeekingAlpha,All stocks have at least five fiscal years of dividend growth history and come from the U.S. Dividend Champions List. They have an average increase of 8.6% and a median increase of 5.8%.,https://finnhub.io/api/news?id=e06544e92d1e632f7dc9cacfe13189b5d8aaea353b80f01067f087a5e6d13c43
