category,datetime,headline,id,image,related,source,summary,url
company,1629195135,CMS Energy Corporation: More Earnings Growth Expected After EnerBank Sale,69695222,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1252617520/medium_image_1252617520.jpg,CMS,SeekingAlpha,CMS Energy Corporation is selling EnerBank to a subsidiary of Regions Financial Corporation for $960 million. The deal is expected to close in the fourth quarter of 2021.,https://finnhub.io/api/news?id=a72e578b7a78e42f2e0b6aede2ee0f3f3aeefb0c52ffbbd574e3b9b0be2fe385
company,1629132300,"CMS Energy Corp. stock rises Monday, outperforms market",69690021,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. inched 0.65% higher to $63.87 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=59b57da874fa4c54bd77819ee0eceaaea0caf6e135fe564db673b3dfa9088c74
company,1629012987,Is CMS Energy Corporation (NYSE:CMS) Expensive For A Reason? A Look At Its Intrinsic Value,69677082,,CMS,Yahoo,Today we'll do a simple run through of a valuation method used to estimate the attractiveness of CMS Energy Corporation...,https://finnhub.io/api/news?id=c5fc423b580b89000d4d2619a738b50e54e2d301a7af7f0a9b2ca77aa0204bf0
company,1628928550,XLU: Utilities Dashboard For August,69666474,,CMS,SeekingAlpha,,https://finnhub.io/api/news?id=1392bd005dadb1dc9ffebe1acb546581d4f0848126adc219492b7ae7b6581148
company,1628873100,"CMS Energy Corp. stock rises Friday, outperforms market",69690022,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. inched 0.73% higher to $63.46 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=07f5d2d2cf9a2b284c11b08221c3d9aa6dda4ff343e293dd6d2ba10acb9bfd7f
company,1628786700,"CMS Energy Corp. stock falls Thursday, underperforms market",69646012,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. slipped 0.30% to $63.00 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=e864edf238a15d322606a44a90fb942b39dfcc974b77fcc2e2bda470a194c314
company,1628700300,CMS Energy Corp. stock underperforms Wednesday when compared to competitors despite daily gains,69626983,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. inched 0.40% higher to $63.19 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=98c60777929a2b0954e03f845f3c78fbc27668293f99de9aafccb2320503e2ed
company,1628613900,CMS Energy Corp. stock outperforms competitors despite losses on the day,69626984,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. sank 0.51% to $62.94 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=9274cec5043dd3bdc4c864ab808598fe07a046d43c48199b391462a2005ea1c1
company,1628527500,CMS Energy Corp. stock underperforms Monday when compared to competitors,69626985,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. slumped 0.02% to $63.26 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=3592289f624d14d9dae6caba78422a70f54cd72a7223228f988d32d93380d8a3
company,1628269200,"CMS Energy's Utility Subsidiary, Consumers Energy, Declares Quarterly Dividend on Preferred Stock",69553000,https://s.yimg.com/uu/api/res/1.2/tnanavFU8.2HU2.agMticQ--~B/aD0xODQ7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/8c12b64f804acef12929682beedcb6f5,CMS,Yahoo,"The Board of Directors of Consumers Energy, the principal subsidiary of CMS Energy, has declared a quarterly dividend on the utility's preferred stock.",https://finnhub.io/api/news?id=742ceeaa9cc0c7d90f46aa5602037c8e3c21f8aa07dcf002cc253d4d10277c4d
company,1628268300,"CMS Energy Corp. stock rises Friday, still underperforms market",69571498,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. inched 0.09% higher to $63.27 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=f9f810f9c383ee7348b8e92857963d8ca45c0fdf7f1625c347f5d5422d0d98ac
company,1628254800,"CMS Energy's Utility Subsidiary, Consumers Energy, Declares Quarterly Dividend on Preferred Stock",69562517,,CMS,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7bacc582f4b7ddf813f903948593d5392102a40158dcd159a3a728ac4c20fc3b
company,1628181900,CMS Energy Corp. stock outperforms market on strong trading day,69533360,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. inched 0.61% higher to $63.21 Thursday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=6182b71bbe87980d82aa2a5f8068f158b4d3ccb9ea7c969901253687a2a3fab6
company,1628095500,CMS Energy Corp. stock underperforms Wednesday when compared to competitors despite daily gains,69533361,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. inched 0.03% higher to $63.26 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the...",https://finnhub.io/api/news?id=1c226fce787826d6b9c2a96fb1adbe0875be1dae34f28c7adcf993dc01617215
company,1628064780,High Yield Dividend Stocks For August 2021,69487741,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/480761398/medium_image_480761398.jpg,CMS,SeekingAlpha,There are 24 High-Yield Dividend Stocks on the August 2021 watchlist. The watchlist gained 1.54% in July and is up over 37% since November 2020. Read more here.,https://finnhub.io/api/news?id=63ad8ee834ddc461b2dc0f6c7cbab405bb0555987b8c489a2b1afa73b9d6c9c1
company,1628009100,"CMS Energy Corp. stock rises Tuesday, outperforms market",69501222,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. inched 0.93% higher to $63.24 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=ee2d93fb738ac66bcee876fa50cdf05ba7bbe90923c209956ee5a5cce7d2413b
company,1627972740,"Corbyn Investment Management Inc Buys Primis Financial Corp, The SPAC and New Issue ETF, CMS Energy Corp, Sells Primis Financial Corp, GasLog Partners LP, American Homes 4 Rent",69464311,,CMS,GuruFocus,,https://finnhub.io/api/news?id=ea1850f75591050a33ee911670ba280f3950da3d39111644014422aef60b261d
company,1627922700,CMS Energy Corp. stock outperforms market on strong trading day,69501223,https://images.mktw.net/im-220105/social,CMS,MarketWatch,"Shares of CMS Energy Corp. advanced 1.41% to $62.66 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7c48db0e9f996ca54b25367bbe63133ccd0eb0106d9290fc34c357670f8ddfa0
