category,datetime,headline,id,image,related,source,summary,url
company,1629204420,Centene Subsidiary Buckeye Health Plan Awarded Ohio Medicaid Contract,69696242,,CNC,Yahoo,"Centene Corporation (NYSE: CNC) announced today its Ohio subsidiary, Buckeye Health Plan, has been awarded a Medicaid contract by the Ohio Department of Medicaid to continue serving members with quality healthcare, coordinated services, and benefits. The contract will commence in early 2022.",https://finnhub.io/api/news?id=a44e133d352b48974581b7e8c5e903ee02b1208bea4bc7275880253f6a478e4b
company,1629132300,Centene Corp. stock outperforms market on strong trading day,69687886,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. rallied 1.57% to $64.06 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=091ef652e716d001dbb3d1ba7f486c1a4979230860297c01cab506f3c81de64a
company,1629111600,Centene Names Rich Fisher SVP And Medicare CEO,69683393,https://s.yimg.com/uu/api/res/1.2/FI7x7lziPgKOMPwx4w46Wg--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/d9820fe50cc34fcd5b1e6d4253bc36ff,CNC,Yahoo,"Centene Corporation (NYSE: CNC) announced today Rich Fisher has been appointed to Senior Vice President and Medicare CEO. Mr. Fisher will play a critical role overseeing the Company's Medicare strategy, product development, sales, and operations. He will report to Brent Layton, Executive Vice President and President of U.S. Health Plans, Products, and International.",https://finnhub.io/api/news?id=80a9c7db5d673b0c9f3d906a9f124fe155b5e8ff4b56ded72fd92b2698f68eab
company,1629097200,"Pro Football Hall of Famer Darrell Green to Join Superior HealthPlan, Douglass Youth Center for First Annual Back-to-School Community Fair & Fest in Kingsville",69681611,,CNC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=789f2e8c5e6c7bc9c76b61a643a01284a332c06d79db82d8aa3115573e5b6ed8
company,1629097200,Centene Names Rich Fisher SVP And Medicare CEO,69681610,,CNC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b900ff902c404844b8223d5acc5bcd98f26c6666d9e6693dc9ddb9de19a288fb
company,1629093900,Centene names Rich Fisher SVP and Medicare CEO,69681612,,CNC,Thefly.com,Centene announced Rich Fi... CNC,https://finnhub.io/api/news?id=66a21d2e75082ae693c50adcab03964768388697eb03a351a3055e9af22ce1c3
company,1628877900,California Health and Wellness Assisting Members Across Tehama County during State of Emergency,69667317,,CNC,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=8768f68fbf92389b7799d9e797de3d0900e07634de95540683d6e52a8424ca80
company,1628873100,Centene Corp. stock underperforms Friday when compared to competitors,69672137,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. slipped 0.06% to $63.07 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=aa022342f68d2b4c5f20df08d69049684a9de60738a20b1d7721f21e78060c02
company,1628786700,Centene Corp. stock underperforms Thursday when compared to competitors,69672138,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. shed 2.08% to $63.11 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=74941726f5e5eac37c0a448b08eddb753c1b578bd0c6eb2b488f9d81e3cc5981
company,1628766060,CNC: This Leading Healthcare Stock Is Getting Attractive,69638150,,CNC,TalkMarkets,,https://finnhub.io/api/news?id=16acdb04e780077f2c58100bcde22198c0482fa9e63378453dd1b15837f3906f
company,1628700300,"Centene Corp. stock falls Wednesday, underperforms market",69623990,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. shed 0.83% to $64.45 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0542d0b441875833b8ddc6113a3e395c61bd3427cfe1cb92fdc3080b981adcc5
company,1628613900,Centene Corp. stock underperforms Tuesday when compared to competitors,69623991,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. slid 1.81% to $64.99 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=03a49c08da1e05ae16f75560de79e11120fa1460e74ad507056fd8ee52e1dd60
company,1628604240,California Health & Wellness Assisting Members Across Nevada and Placer Counties During State of Emergency,69614350,,CNC,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=bb51440c2732e5072bdcf3c58645d5190cb1869d2a0242c5c956d7a487738472
company,1628527500,Centene Corp. stock underperforms Monday when compared to competitors,69623992,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. shed 0.91% to $66.19 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=840723ca57b0571f4e94f8d64480b687c307902e75c75813d773c604d2b541e5
company,1628499720,Morgan Stanley Healthcare service analyst holds analyst/industry conference call,69600007,,CNC,Thefly.com,Healthcare Services &... CNC,https://finnhub.io/api/news?id=3c00ba16cee461aeec885624b723351c44d28e480fe5ff65fb9d5702b4766ba1
company,1628442660,Companies Thought They Had Plans for Fall. Now They Are Scrapping Them,69573684,https://images.wsj.net/im-382069/social,CNC,DowJones,"The fast-spreading Delta variant has managers revamping schedules, with bosses delaying office reopenings and canceling events.",https://finnhub.io/api/news?id=901706ddcae176968434d7db829016c6dc073e32775ef7f15e11cab680ea5c69
company,1628268300,Centene Corp. stock underperforms Friday when compared to competitors,69557023,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. sank 0.64% to $66.80 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ed4c4cb37b39fc511c04251f9d4eb679e8fc4ffeb26860a1e0f479d997c8677e
company,1628181900,Centene Corp. stock outperforms competitors despite losses on the day,69557024,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. shed 2.69% to $67.23 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0807ca8a060768d09a160312a9013ab161a9c780e5caa8c4326429bb9ac064ac
company,1628164130,"Centene delays return to office, asks employees for vaccinations or tests",69513028,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,CNC,Yahoo,"Health insurer Centene Corp on Thursday delayed its back-to-office date to mid October and said it would require all employees to show proof of COVID-19 vaccination as soon as possible.  The insurer said employees who do not provide proof of vaccination will have to undergo regular COVID-19 tests and wear masks at all times while in the company offices.  A surge in COVID-19 cases due to the contagious Delta variant of the coronavirus and new guidance from the U.S. Centers for Disease Control and Prevention (CDC), that recommends fully vaccinated individuals wear masks, have led many U.S. companies to rethink their policies.",https://finnhub.io/api/news?id=0d49a2389e3e8f35142b0368c295b64d6a59da0a371167fe1cb0e964522b8e31
company,1628161560,CNC September 24th Options Begin Trading,69546575,,CNC,Stock Options Channel,"Staff article entitled CNC September 24th Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=75e8eb26fe5ac954f56bf8cfc5978caea67d032724ed960ed6b42c7f2849ec94
company,1628161200,Centene Announces Additional Actions To Further Protect Members And Employees From COVID-19,69513029,https://s.yimg.com/uu/api/res/1.2/b1HmGDjWPYZZi3sS9l1XsQ--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/bb22b8f07e9dd3e0ee2ec7404e8d1aac,CNC,Yahoo,"Centene Corporation (NYSE: CNC) today announced it is taking additional steps to further protect members and employees from COVID-19, to educate its key stakeholders about the benefits of the vaccine, and to prepare for anticipated vaccine and testing requirements for companies that hold federal contracts.",https://finnhub.io/api/news?id=efe0bf2d7919f1685fd6908275c3f3452395101599403f2a4349cbfb680fb5a4
company,1628147640,"Centene announces actions to protect members, employees from Covid-19",69518630,,CNC,Thefly.com,Centene announced it is t... CNC,https://finnhub.io/api/news?id=90754ece75b9a72708248e80e11f6383e4340c93f67f3d0f6caeee051d571e0f
company,1628146800,Centene Announces Additional Actions To Further Protect Members And Employees From COVID-19,69518631,,CNC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d26045ef506968614e5419a95f527fa728ee86432a74612f9f02197ee007f351
company,1628095500,Centene Corp. stock outperforms market despite losses on the day,69504027,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. slumped 0.35% to $69.09 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=6c9f7f0c1d2fb2fd0f208e8f0dced2295e96b1b30f38f9627378716747ea18d2
company,1628089323,Why Centene (CNC) is a Top Growth Stock for the Long-Term,69499809,https://s.yimg.com/uu/api/res/1.2/TQkU0H.CxMylDmSzBbGZVg--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/4431b82fb7536cade95af6a7edc9076b,CNC,Yahoo,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,https://finnhub.io/api/news?id=4b11adc5d6e6f058e5577cdc56d69f93fc7759c7c3d6fb3dab5ceb32ebc2b0a2
company,1628078400,New Report Sheds Light on Racial Health Disparities and Highlights a Path Forward to Achieve Health Equity,69518632,,CNC,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=74a584869a07a6dabb4ac965487793807851f2c0e0cb15860d68dd407189b591
company,1628061420,Concurrent Technologies launches processor board for defence market,69493444,,CNC,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=20c714e305271f65e52bd58ff4a4283a140fcc07205fa9113c8de5828dc909db
company,1628009100,Centene Corp. stock underperforms Tuesday when compared to competitors,69481644,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. slid 1.39% to $69.33 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=84647aee8f8f30e8de23eeb9b5e2099479688538a4fbe5de8aa646c313036a01
company,1627975260,Centene price target lowered to $88 from $93 at Wells Fargo,69465219,,CNC,Thefly.com,Wells Fargo analyst Steph... CNC,https://finnhub.io/api/news?id=cf8d52f8d488f8894cecb5912dd3fa33b57026fb19d72b9fa874df56f5d48084
company,1627957860,"Judge says Amarin 'skinny label' Vascepa suit should proceed, Bloomberg reports",69489944,,CNC,Thefly.com,"U.S. Magistrate Judge Jen... AMRN, HKMPF, CNC",https://finnhub.io/api/news?id=615194ce4bbe76ae1e2644413a991191df3a58b41b51a3e7df8beef29953c4b7
company,1627922700,Centene Corp. stock outperforms competitors on strong trading day,69460752,https://images.mktw.net/im-220105/social,CNC,MarketWatch,"Shares of Centene Corp. rose 2.48% to $70.31 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c2e0a96b51478f739add2e8c0c24ffa8b9cb0ef979d62a802649dd338641a100
company,1627902000,Centene Affiliate Carolina Complete Health To Partner With Selected Behavioral Health I/DD Tailored Plans,69446178,https://s.yimg.com/uu/api/res/1.2/MOlH0U_eAafGt3DnznEexA--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/b20590b767d97ea291085949565a1406,CNC,Yahoo,"Centene Corporation (NYSE: CNC) announced today its North Carolina subsidiary, Carolina Complete Health – a provider-led health plan established in partnership with the North Carolina Medical Society and working in conjunction with the North Carolina Community Health Center Association – will help coordinate integrated physical health, behavioral health, long-term care, pharmacy services, and unmet health-related resource needs for individuals with significant behavioral health conditions with t",https://finnhub.io/api/news?id=80f3d3bd6165f432c0186ab8c194651d58853db313b5d85539b1645a3aee67c7
