category,datetime,headline,id,image,related,source,summary,url
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,CNP,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1629104400,"Ex-Dividend Reminder: CenterPoint Energy, Fortis and Avista",69679603,,CNP,Dividend Channel,"dividend channel,CNP,FTS,AVA,",https://finnhub.io/api/news?id=fc12a7f0ef02beae8de92d70ccfed282d864ad09a52263afae1ea84728e6d6c0
company,1629085140,"Rare Infrastructure Ltd Buys SBA Communications Corp, Canadian National Railway Co, CenterPoint Energy Inc, Sells Pinnacle West Capital Corp, CSX Corp, NextEra Energy Partners LP",69694981,,CNP,GuruFocus,,https://finnhub.io/api/news?id=8593b4b7f5854a7ed1cdf67d55a75dc87cb9956b50d11d26df999f0a4fa1e0cb
company,1628873100,"CenterPoint Energy Inc. stock rises Friday, outperforms market",69679309,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. inched 0.56% higher to $26.90 Friday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=2fadb1079867d200f8521705189e7541ff2c0de2aac93189fdc6d3e45b6ea454
company,1628786700,CenterPoint Energy Inc. stock underperforms Thursday when compared to competitors,69679310,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. dropped 0.22% to $26.75 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=b66d20013ac1c9056afa6dead26f78b447da0656c5ee39760c4375e600a13472
company,1628763480,October 1st Options Now Available For CenterPoint Energy,69655043,,CNP,Stock Options Channel,"Staff article entitled October 1st Options Now Available For CenterPoint Energy, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=f5330c62f23c879dc0b33a6163b8ed0d24852ba9304b70d67404b419b7ca0759
company,1628700300,"CenterPoint Energy Inc. stock rises Wednesday, outperforms market",69679311,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. inched 0.71% higher to $26.81 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=28ab0e6ef0000bf4011db305602d71aca63c774b89568a1c2ca77d105ef0f252
company,1628613900,CenterPoint Energy Inc. stock underperforms Tuesday when compared to competitors despite daily gains,69679312,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. inched 0.30% higher to $26.62 Tuesday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=0888d2d572222bf05a88a8cfc72c2c29deeed9fa9a8bbc0ed39409859daff0a0
company,1628558400,Cash Dividend On The Way From CenterPoint Energy 7.00% Series B Mandatory Convertible Preferred Stock,69616448,,CNP,Preferred Stock Channel,"preferred stock channel,CNP.PRB,CNP,",https://finnhub.io/api/news?id=da9fc8b6ad07d5c3a3ef98d2a2ca037db22ca6cf39d0ccf26dd2c9d8b4881953
company,1628527500,CenterPoint Energy Inc. stock outperforms competitors on strong trading day,69588754,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. inched 0.23% higher to $26.54 Monday, on what proved to be an all-around poor trading session for the stock market, with...",https://finnhub.io/api/news?id=fbc88b7be66c58bbe0a80455873e6d6a695aafe9f872f05ae952e8158acd612c
company,1628268300,"CenterPoint Energy Inc. stock rises Friday, outperforms market",69574260,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. inched 0.91% higher to $26.48 Friday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=cc257bd11198399c6829c85e65162b8e2e7fc43a4f5523c24bdff59933c6ab48
company,1628263092,"CenterPoint Energy, Inc. 2021 Q2 - Results - Earnings Call Presentation",69550758,,CNP,SeekingAlpha,,https://finnhub.io/api/news?id=25cbcb30bd7740939816a47eabd01518e63f3f9dc47498ca70f8adac986d0994
company,1628188267,"CenterPoint Energy, inc (CNP) Q2 2021 Earnings Call Transcript",69531820,,CNP,Yahoo,"CNP earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=10f849d0e19dfe481259907d50703403662bfeb7914b7b063b4bcdfb9f70e62f
company,1628181900,CenterPoint Energy Inc. stock outperforms competitors on strong trading day,69531797,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. advanced 2.10% to $26.24 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=d6cad1f8e589446c1d003bfc56f5b6826215121e773eb918ed69d8b283691ce3
company,1628171281,"CenterPoint Energy (CNP) Beats on Q2 Earnings, Ups EPS View",69520137,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,CNP,Yahoo,"CenterPoint Energy's (CNP) Q2 revenues worth $1,742 million exceed the Zacks Consensus Estimate by 11.9% and increase 10.6% year over year.",https://finnhub.io/api/news?id=b67b10c518088bedcbae91b5d9561699ae0972884ea086e80f16d0d5284fb313
company,1628169947,"CenterPoint Energy, Inc. (CNP) CEO David Lesar on Q2 2021 Results - Earnings Call Transcript",69524915,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CNP,SeekingAlpha,"CenterPoint Energy, Inc. (NYSE:CNP) Q2 2021 Earnings Conference Call August 05, 2021, 08:00 ET Company Participants Philip Holder - SVP, Strategic Planning &amp; IR David Lesar - President,...",https://finnhub.io/api/news?id=3fc1f722d4cc813a0c14cf11d08bad722e370de5ed9ddf289beb69c708e01404
company,1628163911,CenterPoint Energy (CNP) Beats Q2 Earnings and Revenue Estimates,69515496,https://s.yimg.com/uu/api/res/1.2/I67vygGrP1BjgOjVx.apeA--~B/aD03Mjg7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b9775f315e7b6c4ada6e36d0048a929a,CNP,Yahoo,"CenterPoint (CNP) delivered earnings and revenue surprises of 44.00% and 11.85%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=12a010774804f3dc276b0723cd913e74326f4ca9a312c0ae9a536622aaba9e2b
company,1628159460,September 24th Options Now Available For CenterPoint Energy,69541599,,CNP,Stock Options Channel,"Staff article entitled September 24th Options Now Available For CenterPoint Energy, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=9f5e86617082082d811eab73d5cb55a4c8afbadcd2db35ce5e6c002b15c68fc2
company,1628159400,CenterPoint Energy Reports Strong Q2 2021 Earnings Results,69515498,https://s.yimg.com/uu/api/res/1.2/e1Bx9aJ6JKKNceIyAS7fvA--~B/aD05Njt3PTIzMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/bd13cc634d8874bb3437660381c67ed3,CNP,Yahoo,"HOUSTON, August 05, 2021--CenterPoint Energy, Inc. (NYSE: CNP) today reported income available to common shareholders of $221 million, or $0.37 per diluted share, for the second quarter of 2021, compared to income available to common shareholders of $59 million, or $0.11 per diluted share, for the second quarter of 2020.",https://finnhub.io/api/news?id=648511cf0464cbdfe7ca7ba7407791ff4a7a4abe4fbc362a3ec6494d36291e6c
company,1628145720,CenterPoint: Q2 Earnings Snapshot,69521907,,CNP,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b950a897b6d6d0977073d9ceb9110d180e9e32c15be7c75343e3d753ca28913f
company,1628145000,CenterPoint Energy Reports Strong Q2 2021 Earnings Results,69515554,,CNP,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1e63cb775605691b77f83fb6fb514f179c51b4f486a3932d618a36906bb7c0b7
company,1628141760,"CenterPoint Energy raises FY21 Utility EPS view to $1.25-$1.27, consensus $1.40",69521909,,CNP,Thefly.com,"""CenterPoint's ... CNP",https://finnhub.io/api/news?id=a3a645b367893d449621fd8869d7cdcd012c095c4e170c5a26ac33118bd7d5cb
company,1628141700,"CenterPoint Energy reports Q2 adjusted EPS 36c, consensus 24c",69521910,,CNP,Thefly.com, CNP,https://finnhub.io/api/news?id=0d3e5e93b7fdf21b73086b81cee3601fae14d305c459bd2b196b292d3d1c4e75
company,1628095500,"CenterPoint Energy Inc. stock falls Wednesday, underperforms market",69531798,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. shed 0.66% to $25.70 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=9408e45f0967ebb5182c94de888f6eb4660a784a87372a7c83f4250902f415a2
company,1628080032,Why CenterPoint Energy (CNP) Might Surprise This Earnings Season,69490888,https://s.yimg.com/uu/api/res/1.2/K.BBpbK4exyplNQ2Ftr2eQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1f694a157d005210e73c21297d443551,CNP,Yahoo,CenterPoint Energy (CNP) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,https://finnhub.io/api/news?id=bb75a5efcae5d9fb2336e5b542eba7e173e27b7958ce80421530aa6490ef85c9
company,1628056800,Enable Midstream Announces Second Quarter 2021 Financial and Operating Results,69489977,,CNP,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4e11c0484e8b49531db3c2b9b20c4dee14fb74bf2b20a0781ba0d55e9e79e1eb
company,1628009100,CenterPoint Energy Inc. stock outperforms market on strong trading day,69483316,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. rallied 1.25% to $25.87 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=d39fb336ab1f52c5f2c84a48cf2693da0a4bc327ee4d097b849a8951b09eb8fa
company,1627986240,Price Over Earnings Overview: CenterPoint Energy,69466526,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,CNP,Benzinga," 
 
In the current market session, CenterPoint Energy Inc. (NYSE:CNP) is trading at $25.50, after a 0.22% drop. However, over the past month, the stock spiked by 2.43%,...",https://finnhub.io/api/news?id=02db8a236c664d92976e44886080c94d5c8428d5d59e2250612bbc86e1816bf7
company,1627922700,CenterPoint Energy Inc. stock underperforms Monday when compared to competitors despite daily gains,69483318,https://images.mktw.net/im-220105/social,CNP,MarketWatch,"Shares of CenterPoint Energy Inc. inched 0.35% higher to $25.55 Monday, on what proved to be an all-around rough trading session for the stock market, with...",https://finnhub.io/api/news?id=5acf2929385bfc525c78497ed889a0baee5a672b2951e3ce45ec5713cec31c5b
company,1627913462,What's in Cards for CenterPoint Energy's (CNP) Q2 Earnings?,69452568,https://s.yimg.com/uu/api/res/1.2/k801.RUJ07Ee7atwPd.DSQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f54f709ae65e32f6086a21eeef8d44f3,CNP,Yahoo,CenterPoint Energy's (CNP) Q2 performance is likely to have been negatively impacted by a handful of severe storms that it witnessed during the second quarter.,https://finnhub.io/api/news?id=ed698d6dbd14cc0855415bc33d8f594f19dec8bf631e7c6df4258878c660e257
company,1627898640,14.2% of EMLP Holdings Seeing Recent Insider Buys,69466177,,CNP,ETF Channel,"Staff article entitled 14.2% of EMLP Holdings Seeing Recent Insider Buys, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=ca081ca834031ca6aa6610f1ccdca521e8a09cd3a5354d8854f825fedda53287
