category,datetime,headline,id,image,related,source,summary,url
company,1629117072,Natural Gas: Upside Potential Outweighs Bearish EIA Report,69682391,https://s.yimg.com/uu/api/res/1.2/Z1klrE0ABk8k5MwPCijtVw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2573200196a44095108e863bc6a3e994,COG,Yahoo,"Lower-than-normal stockpile levels and robust LNG consumption are likely to spur natural gas prices. The upward trend should aid gas-weighted producers like SWN, COG and RRC.",https://finnhub.io/api/news?id=c10470013d5586d44ab86e6f62a1d275303a66ec0f5f2f76380dac296b16892b
company,1629109885,News Flash: Analysts Just Made A Captivating Upgrade To Their Cabot Oil & Gas Corporation (NYSE:COG) Forecasts,69678574,https://s.yimg.com/uu/api/res/1.2/zbingGm8u8WvxKzb7gFJEQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/fef15a04bcb8e7f05d317d73670619f7,COG,Yahoo,"Celebrations may be in order for Cabot Oil & Gas Corporation ( NYSE:COG ) shareholders, with the analysts delivering a...",https://finnhub.io/api/news?id=5bfc2401ce8f51bbfd56e711b8bb74ff83184f1b2263ca2ee1903ad09d20300f
company,1629105070,Cabot Oil & Gas: Perplexity About The New Company's Valuation,69678814,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1225238982/medium_image_1225238982.jpg,COG,SeekingAlpha,Cabot Oil & Gas released its second-quarter 2021 results. I recommend a long-term COG position combined with active short-term trading. Here is a full analysis of COG stock.,https://finnhub.io/api/news?id=7525a4f0d977070037f4da0b30e5d59eac892b3fd922949dad946504d4bbf0b3
company,1628873100,"Cabot Oil & Gas Corp. stock falls Friday, underperforms market",69673652,https://images.mktw.net/im-220105/social,COG,MarketWatch,"Shares of Cabot Oil & Gas Corp. slipped 1.68% to $15.82 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=addd6661f9e6a8eec4f206e6dc890c76f83cf375ad8f8e57fb894fa675249836
company,1628786700,"Cabot Oil & Gas Corp. stock falls Thursday, underperforms market",69673653,https://images.mktw.net/im-220105/social,COG,MarketWatch,"Shares of Cabot Oil & Gas Corp. slipped 1.11% to $16.09 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=51a7f39ca7a158f88bdf609a7499ba2e1c160d6b742fa3c696179fae4dcca9f6
company,1628700300,"Cabot Oil & Gas Corp. stock remains steady Wednesday, underperforms market",69673654,https://images.mktw.net/im-220105/social,COG,MarketWatch,"Shares of Cabot Oil & Gas Corp. were unchanged Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=4b2b6ea22191525376c40c8fbfe828dace1dd424d465faac621af8bb637edcc2
company,1628613900,Cabot Oil & Gas Corp. stock outperforms competitors on strong trading day,69673655,https://images.mktw.net/im-220105/social,COG,MarketWatch,"Shares of Cabot Oil & Gas Corp. rallied 2.38% to $16.38 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=8e3f8a8fbb5fdef3343866f35745ca64a6d4db4b33c1452e45426defbbd51d0a
company,1628527500,"Cabot Oil & Gas Corp. stock falls Monday, underperforms market",69587631,https://images.mktw.net/im-220105/social,COG,MarketWatch,"Shares of Cabot Oil & Gas Corp. shed 1.72% to $16.00 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=b1e66a2dd43c5a76056b8445dfac8ae5abd9ac21efda62ce5b492db7232caf07
company,1628472900,Cabot Oil & Gas put volume heavy and directionally bearish,69599956,,COG,Thefly.com,Bearish flow noted in Cab... COG,https://finnhub.io/api/news?id=dcfc9657fb319c5b5e1432f6b662dc3cc1a3b6b3078ce12fa59c7013e172b726
company,1628320617,"Cabot Oil & Gas Corporation (NYSE:COG) Looks Interesting, And It's About To Pay A Dividend",69568654,https://s.yimg.com/uu/api/res/1.2/zbingGm8u8WvxKzb7gFJEQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/fef15a04bcb8e7f05d317d73670619f7,COG,Yahoo,It looks like Cabot Oil & Gas Corporation ( NYSE:COG ) is about to go ex-dividend in the next three days. The...,https://finnhub.io/api/news?id=0ff9b878b41f57f5d0489bcd1cf17156c9ad1da581fa1e53f637f81a06252399
