category,datetime,headline,id,image,related,source,summary,url
company,1629115992,Cooper Companies (COO) Unit's MiSight Gets Approval in China,69681004,https://s.yimg.com/uu/api/res/1.2/Mjurn80_ji38Biba0d.Z4Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/fbcc46c8695be25f9de8dc5957119a03,COO,Yahoo,"CooperVision, a unit of Cooper Companies (COO), receives approval for MiSight 1 day contact lenses from China's National Medical Products Administration for use in China.",https://finnhub.io/api/news?id=3939d85706bb02774e424c0dc5fcf0a382c0a9943d4304f7bb1a7aa2f7318f67
company,1629109860,Overview Of Value Stocks In The Healthcare Sector,69682869,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,COO,Benzinga,"Understanding Value Stocks
A value stock traditionally has a lower price when compared to stock prices of companies in the same industry. This indicates that the company may be...",https://finnhub.io/api/news?id=bdcb11c715235c7fb1206e13ecbbda8bddb957f2a223b93cb0de576d5cf92e78
company,1629092340,"Parkman Healthcare Partners LLC Buys Intuitive Surgical Inc, Repligen Corp, Seagen Inc, Sells Amgen Inc, Vericel Corp, Arrowhead Pharmaceuticals Inc",69695041,,COO,GuruFocus,,https://finnhub.io/api/news?id=a4bec1308943aec88a3fc8514ba625b8241bb443011575192bdd17dea1030ae3
company,1628873100,Cooper Cos. stock underperforms Friday when compared to competitors,69671254,https://images.mktw.net/im-220105/social,COO,MarketWatch,"Shares of Cooper Cos. slipped 0.71% to $436.99 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=cbba1b36660fced72d4545d3a845fdccfa7da813a36fe68ac65fcbdfec1eadaa
company,1628838967,Strength Seen in The Cooper Companies (COO): Can Its 7.8% Jump Turn into More Strength?,69650026,https://s.yimg.com/uu/api/res/1.2/yD1edEY0ZEj7appmp3vu.A--~B/aD03NTQ7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/a9f7eaa954c889b1b6850dcd759f2613,COO,Yahoo,The Cooper Companies (COO) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,https://finnhub.io/api/news?id=121db663d0349dfac7c605e851bd6d3e58d8f224baacea3375ee7a51cd8e1ca6
company,1628799300,CooperCompanies to Participate in the Virtual Wells Fargo Healthcare Conference,69647225,https://s.yimg.com/uu/api/res/1.2/4ZO0H9cc7hsdYIWHExBg1A--~B/aD00MDk7dz0xODMwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/0ba4984e8969d5a53c5a2b95fd28e747,COO,Yahoo,"SAN RAMON, Calif., Aug. 12, 2021 (GLOBE NEWSWIRE) -- CooperCompanies (NYSE: COO), will participate in the Virtual Wells Fargo Healthcare Conference on Friday, September 10, 2021. Al White, President and CEO, will represent the Company in a virtual session scheduled to begin at 1:20PM ET. A live webcast of the Company’s session will be available on the Investor Relations section of CooperCompanies’ website at http://investor.coopercos.com. A webcast replay will be available approximately 48 hours",https://finnhub.io/api/news?id=877ee2d4c4bba86a0318ce2168218d20568023460ec6c13d6bc0760af238dea7
company,1628786700,Cooper Cos. stock outperforms competitors on strong trading day,69671255,https://images.mktw.net/im-220105/social,COO,MarketWatch,"Shares of Cooper Cos. advanced 7.82% to $440.12 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=d66c48a11dec77a3930e12570aba5c00a437adf3045fac5c6b3670bb4682fa6c
company,1628785080,"Utz Brands, Carnival fall; Sonos, Lordstown Motors rise",69651891,,COO,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b56da65485231ab9455c96ccf122e0de3da17e2a67c0dbaefab2cc21499ed4f6
company,1628784900,CooperCompanies to Participate in the Virtual Wells Fargo Healthcare Conference,69652763,,COO,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=321640e29fd2a69e2a5d9ceb0847df0bb374ba721572b2f1ee9764490921465f
company,1628773200,CooperCompanies Announces MiSight® Approval in China,69640367,https://s.yimg.com/uu/api/res/1.2/4ZO0H9cc7hsdYIWHExBg1A--~B/aD00MDk7dz0xODMwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/0ba4984e8969d5a53c5a2b95fd28e747,COO,Yahoo,"SAN RAMON, Calif., Aug. 12, 2021 (GLOBE NEWSWIRE) -- CooperCompanies (NYSE: COO), today announced that the Chinese National Medical Products Administration (NMPA), which regulates medical devices and pharmaceuticals in China, has approved CooperVision MiSight® 1 day contact lenses for use within the country following a priority review. “We are extremely excited to receive this approval,” said Al White, President and CEO. “The increasing incidence of myopia is one of the most pressing global eye-",https://finnhub.io/api/news?id=033ec526bf3c4f1ad027015f5eb69e37ae0e086c05284918cce5c1d732fd0827
