category,datetime,headline,id,image,related,source,summary,url
company,1629135643,Oat milk shortage about to end? Oatly CEO weighs in,69682997,https://s.yimg.com/ny/api/res/1.2/Q9UV_Jtr_uadaKp2yp54HQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzMz/https://s.yimg.com/os/creatr-uploaded-images/2021-06/9c372290-cd32-11eb-9af7-7fe62bd98c5a,CPB,Yahoo,Oatly CEO Toni Petersson chats with Yahoo Finance fresh off second quarter earnings. Is the oat milk shortage ending?,https://finnhub.io/api/news?id=1b73e3fbc412e729a39d059fe1bdfe64bdd60bd75a2dfb55ed841f24cc7a3055
company,1629104100,Early notable gainers among liquid option names on August 16th,69680210,,CPB,Thefly.com,"Notable gainers among liq... EBAY, STX, LRCX, AMAT, CPB",https://finnhub.io/api/news?id=82b9435729e1b1d4bddab7a9d7441b58792534b575c9bfaa806105ef9814ccaf
company,1629099540,"Mirabella Financial Services Llp Buys Costco Wholesale Corp, Norfolk Southern Corp, Financial Select Sector SPDR, Sells Fidelity National Information Services Inc, Charles River Laboratories International Inc, VANECK VECTORS ETF",69694343,,CPB,GuruFocus,,https://finnhub.io/api/news?id=4e5aab2412bad1e8ba0f9556a4b6a972ae8f41892b1458f9820d69086775dcd7
company,1629085140,"HS Management Partners, LLC Buys Best Buy Co Inc, Constellation Brands Inc, Apple Inc, Sells Campbell Soup Co, Johnson & Johnson, Domino's Pizza Inc",69694244,,CPB,GuruFocus,,https://finnhub.io/api/news?id=deb78952380632d9de06a1e11221e282047c6df03fe8e226c39f5585b725a954
company,1629014223,Do Insiders Own Lots Of Shares In Campbell Soup Company (NYSE:CPB)?,69676323,,CPB,Yahoo,A look at the shareholders of Campbell Soup Company ( NYSE:CPB ) can tell us which group is most powerful. Insiders...,https://finnhub.io/api/news?id=da9e41751d66e61518ab72d186a6500e30e89d25b1be483e8cae98c3665d5424
company,1628786760,Campbell Soup Co. stock underperforms Thursday when compared to competitors,69646803,https://images.mktw.net/im-220105/social,CPB,MarketWatch,"Shares of Campbell Soup Co. slid 0.56% to $42.59 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=4aa64b66fea0183b3cd2cedbc0d3c66c2f8302f3bcafd30102a67d69e056df40
company,1628700360,"Campbell Soup Co. stock rises Wednesday, outperforms market",69646804,https://images.mktw.net/im-220105/social,CPB,MarketWatch,"Shares of Campbell Soup Co. inched 0.75% higher to $42.83 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=cd1eb2daf7afb8772791c074e1eb5b339fde68b15e052e72ed2fb2b2278320e0
company,1628687940,"Got $5,000? These 3 Solid Dividend Stocks Are Trading Near Their 52-Week Lows",69613861,,CPB,Yahoo,"Three stocks that pay above-average dividends and are also trading near their 52-week lows today are Baxter International (NYSE: BAX), Verizon Communications (NYSE: VZ), and Campbell Soup (NYSE: CPB).  Baxter International plays an important role in the healthcare industry, providing products and services that help keep patients safe, including dialysis therapies to support renal care.",https://finnhub.io/api/news?id=8aab43f105428dfe7b177950cefaae32dbf002eb46cca840521151a68891a904
company,1628613960,Campbell Soup Co. stock outperforms competitors despite losses on the day,69646805,https://images.mktw.net/im-220105/social,CPB,MarketWatch,"Shares of Campbell Soup Co. slipped 0.19% to $42.51 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=4c6b8977588ffc05fca65cc334e416f0b24772a1e7ba2c250c5fb4700551d78f
company,1628527560,Campbell Soup Co. stock outperforms market on strong trading day,69587602,https://images.mktw.net/im-220105/social,CPB,MarketWatch,"Shares of Campbell Soup Co. inched 0.69% higher to $42.59 Monday, on what proved to be an all-around dismal trading session for the stock market, with the...",https://finnhub.io/api/news?id=c56a5bfd270d2e854eea127165848881dedefeda3029e316cf119ce6ff66ac81
company,1628268360,"Campbell Soup Co. stock rises Friday, still underperforms market",69557029,https://images.mktw.net/im-220105/social,CPB,MarketWatch,"Shares of Campbell Soup Co. inched 0.17% higher to $42.30 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=2b774358924fe5731c2394673c55ba867da9111f25cdb6a7231c710838c9ba8f
company,1628181960,Campbell Soup Co. stock underperforms Thursday when compared to competitors,69557030,https://images.mktw.net/im-220105/social,CPB,MarketWatch,"Shares of Campbell Soup Co. dropped 0.52% to $42.23 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=fd58b22ba3fba4c90bc276e5f178a236b3cb7ae998dd9e5386eb649295c7d078
company,1628159040,Interesting CPB Put And Call Options For September 24th,69546095,,CPB,Stock Options Channel,"Staff article entitled Interesting CPB Put And Call Options For September 24th, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=95db04569e4323c78d6ca09e3edeb81e2277ec8a830ffd524eb72dcd270fc639
company,1628157900,Stocks That Hit 52-Week Lows On Thursday,69516739,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,CPB,Benzinga," 
 
During Thursday's morning session, 77 companies made new 52-week lows.
Areas of Interest:

The largest company in terms of market cap to set a new 52-week low...",https://finnhub.io/api/news?id=7fe328f249c3c896492227fc177596e020fafdf982005a263c97b5a0e437c397
