category,datetime,headline,id,image,related,source,summary,url
company,1629194520,How Does Charles River's Debt Look?,69703676,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,CRL,Benzinga," 
Shares of Charles River (NYSE:CRL) rose by 27.14% in the past three months. Before having a look at the importance of debt, let us look at how much debt Charles River has....",https://finnhub.io/api/news?id=5fdeb5421bd0d0470e4359e338cbd80a3fa19bcac45ab2e765aaacdc3adddbed
company,1629184440,Charles River price target raised to $465 from $390 at UBS,69695296,,CRL,Thefly.com,UBS analyst Dan Brennan r... CRL,https://finnhub.io/api/news?id=e8b391c029f258c1f3c19a30ba4631eefa9126a79d06379bb8cc06e0f3a52a08
company,1628765886,"Charles River Laboratories International, Inc. (NYSE:CRL) Has A ROE Of 17%",69642609,https://s.yimg.com/uu/api/res/1.2/dC75hPkPk1wNzUHQ29Af1A--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/2319011507a24b47a4bb11db126344d3,CRL,Yahoo,"One of the best investments we can make is in our own knowledge and skill set. With that in mind, this article will...",https://finnhub.io/api/news?id=5ab178eb33ceed726a1905ad820e058878ce9364d40ad3ee7a710aa041b33d63
company,1628696403,MODV or CRL: Which Is the Better Value Stock Right Now?,69621187,https://s.yimg.com/uu/api/res/1.2/F3nzpi36wi9juoO_v9PrEA--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2a50596f066181e48e4ae0ad6be00462,CRL,Yahoo,MODV vs. CRL: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=37850ac08e83605e1ca9c929d77fa8983fe8a81544683dd03445d4697bb05acd
company,1628581827,"Charles River Laboratories International, Inc. 2021 Q2 - Results - Earnings Call Presentation",69593350,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CRL,SeekingAlpha,"The following slide deck was published by Charles River Laboratories International, Inc.",https://finnhub.io/api/news?id=2000f0feeba52e04ac30e8198f805f0f167bbd69ea7d75a62732b70e88a6e941
company,1628561760,"Charles River Laboratories International Inc (CRL) Chairman, President and CEO James C Foster Sold $4 million of Shares",69616239,,CRL,GuruFocus,,https://finnhub.io/api/news?id=7ceef43758e0737091798aa3df6652b831a6bcb2c65393fdf1cefde9abbc2211
company,1628149980,Charles River price target raised to $420 from $385 at Credit Suisse,69521550,,CRL,Thefly.com,Credit Suisse analyst Kat... CRL,https://finnhub.io/api/news?id=aadf125e8510d32601f5f5880746f4606e5c18233665ba55f289a5c416bb33f7
company,1628147880,Charles River price target raised to $470 from $375 at Wells Fargo,69521551,,CRL,Thefly.com,Wells Fargo analyst Dan L... CRL,https://finnhub.io/api/news?id=7acb37fedb7a654f59f31ed221aa4d12706c22ca7ac3467fac9f008f1a6988b1
company,1628142960,Charles River price target raised to $461 from $410 at Baird,69521552,,CRL,Thefly.com,Baird analyst Eric Coldwe... CRL,https://finnhub.io/api/news?id=e7efd4f25b0d4ab5503294ed28afdaaa94cce3d01dc123b68b0d91810bbb672e
company,1628118607,"Charles River Laboratories International, Inc. (CRL) CEO Jim Foster on Q2 2021 Results - Earnings Call Transcript",69507332,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CRL,SeekingAlpha,"Charles River Laboratories International, Inc. (NYSE:CRL) Q2 2021 Earnings Conference Call August 4, 2021 9:30 AM ET Company Participants Todd Spencer - Corporate Vice President, Investor...",https://finnhub.io/api/news?id=08d2318115fcb10fbd477820fe9d6c5bd69b5f6f18323bf2c7c25d1e71e65c23
company,1628109058,"Charles River Laboratories International, inc (CRL) Q2 2021 Earnings Call Transcript",69507812,,CRL,Yahoo,"CRL earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=5e8eef077f9b2b417ff5c7a5111c6fbfccccfb35509e7f86c89a4af75fc6a669
company,1628082001,"Charles River (CRL) Q2 Earnings Beat Estimates, 2021 View Up",69499306,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,CRL,Yahoo,Robust performance by all three segments drove Charles River's (CRL) revenues in the second quarter.,https://finnhub.io/api/news?id=e27ff016250b657dd954aa2bcce6b455c213e42cee328e7b721370e0d5ebcd43
company,1628079912,Charles River Laboratories (CRL) Q2 Earnings and Revenues Surpass Estimates,69489209,https://s.yimg.com/uu/api/res/1.2/d6hN0_BhikrNdWTnix6fng--~B/aD03NDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7853de8d69faeccb7d1ad6ebba40b8a2,CRL,Yahoo,"Charles River (CRL) delivered earnings and revenue surprises of 9.21% and 5.17%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=e093e8b8d7e9152011c1f904722580ad5923ff6834fd282b4265ea0e2426ef64
company,1628078100,Charles River raises FY21 EPS view to $10.10-$10.35 from $9.75-$10.00,69521559,,CRL,Thefly.com,Consensus $9.95. Raises F... CRL,https://finnhub.io/api/news?id=371eb94e16f33d55f7d18d60da74ccd3d9fa503bb8d441b9198e77f7492b3398
