category,datetime,headline,id,image,related,source,summary,url
company,1629132360,"CSX Corp. stock remains steady Monday, underperforms market",69691591,https://images.mktw.net/im-220105/social,CSX,MarketWatch,"Shares of CSX Corp. were unchanged Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index rising 0.26%...",https://finnhub.io/api/news?id=ca89a7ddb899c9cde06632770266f9408bbfcddf9ada2399f6a3315908b04676
company,1629120601,3 Railroad Stocks to Overcome Industry's Near-Term Challenges,69682995,https://s.yimg.com/uu/api/res/1.2/PxOsKZ7mUiZUC0_3631rDw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6532783c7cf070d2adbe0a4c88dc4b19,CSX,Yahoo,"Rising fuel expenses are a threat to the Zacks Transportation - Rail industry's prospects. However, continued improvement in volumes is expected to buoy UNP, CSX and NSC.",https://finnhub.io/api/news?id=2caf7fd7dcf99896415818a6b7c1d0c44dc96194c417e91466b65f166a384944
company,1628873220,"CSX Corp. stock falls Friday, underperforms market",69662721,https://images.mktw.net/im-220105/social,CSX,MarketWatch,"Shares of CSX Corp. slumped 0.76% to $33.87 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=8fd195caba15c7ddd7f68fbf6b245784e491e75f768b3ea9decb65e06e839c48
company,1628786760,CSX Corp. stock underperforms Thursday when compared to competitors despite daily gains,69644580,https://images.mktw.net/im-220105/social,CSX,MarketWatch,"Shares of CSX Corp. inched 0.44% higher to $34.13 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=011afd0c6f672691f099db0593994e218bf0c8aed7859a2b33e32497df8dab9e
company,1628700360,CSX Corp. stock outperforms competitors on strong trading day,69644581,https://images.mktw.net/im-220105/social,CSX,MarketWatch,"Shares of CSX Corp. rallied 3.13% to $33.98 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=78fa645c43720588d90a7b5b667cf07c08a33e3150e34a305028517ab58e307a
company,1628698680,"NEW YORK MARKET CLOSE: US CPI reading spurs Dow Jones, S&P 500 records",69633193,,CSX,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=757fa1b76370337745abcae20564c0d6f00c19308f494205f5021d86128513ff
company,1628686500,North American rail traffic rose 1.1% in week ended August 7,69632730,,CSX,Thefly.com,"The Association of Americ... CNI, CP, CSX, KSU, NSC, UNP, TRN, GBX, RAIL",https://finnhub.io/api/news?id=baaa60fd0b45321b7d0dc0a434a54356440b9106f078cc900e168bbfa1eb69f9
company,1628682840,LONDON MARKET CLOSE: FTSE 100 in 18-month high as US CPI pace steadies,69617855,,CSX,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4e4603da901f52d7b0770026ba92bfed8b240f1aa455b54c9c2bebdcdd92ce31
company,1628613960,"CSX Corp. stock rises Tuesday, outperforms market",69644584,https://images.mktw.net/im-220105/social,CSX,MarketWatch,"Shares of CSX Corp. rose 1.73% to $32.95 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=387f5c976811e9b92640e9844e005641f92384553cad9172b6891a6932667e6a
company,1628604000,CSX Executive Vice President of Sales and Marketing to Address Deutsche Bank Transportation Conference,69607160,https://s.yimg.com/ny/api/res/1.2/em1x3l_BxTq2iwL0VIAPXw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTg1/https://s.yimg.com/uu/api/res/1.2/lju22nDcVIqAtYuuaYtllw--~B/aD0xNTAwO3c9MjUzMTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/a1d8ffbd0f346e7564a55813abec55bf,CSX,Yahoo,"JACKSONVILLE, Fla., Aug. 10, 2021 (GLOBE NEWSWIRE) -- CSX Corp. (NASDAQ: CSX) Executive Vice President of Sales and Marketing, Kevin Boone, will address the 2021 Deutsche Bank Transportation Conference virtually on Tuesday, August 17 at 1:00 p.m. Eastern time. This address will broadcast live via webcast at http://investors.csx.com. A replay will be available following the conclusion of this event. This announcement, as well as additional financial information, is available on the company’s webs",https://finnhub.io/api/news?id=9b89208cbf1568741d81f0e25ec17b959d1cbe7cb8633d6fe3c986dd23959729
