category,datetime,headline,id,image,related,source,summary,url
company,1629204600,"Q2 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",69703689,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/wall-street-4847634_1920_0_2_45.jpg,CTVA,Benzinga,"The latest round of 13F filings from institutional investors is out, revealing to the world the stocks that some of the richest and most successful investors have been buying and...",https://finnhub.io/api/news?id=91ffba0e3281eab3338f8a49b056d02bbe4273eafdd27b97ddd08607bece7466
company,1629099540,"Mayo Investment Advisers Llc Buys Vertex Pharmaceuticals Inc, Vistra Corp, Berkshire Hathaway Inc, Sells The Mosaic Co, Apple Inc, Alphabet Inc",69695182,,CTVA,GuruFocus,,https://finnhub.io/api/news?id=537804cb6b0b85ba8cb7805646926262eafef055c2c0751add40467a72981eaa
company,1628873220,Corteva Inc. stock underperforms Friday when compared to competitors,69661847,https://images.mktw.net/im-220105/social,CTVA,MarketWatch,"Shares of Corteva Inc. sank 0.15% to $45.99 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=f610677f9624f5cce6b12b959c331df9c76183ab65568ae12e66b1df91fa0005
company,1628824740,"Starboard buys Papa John's, cuts Corteva in Q2",69667082,,CTVA,Thefly.com,"Jeffrey Smith's Star... PZZA, WPCB, LEGA, KAHC, SLAM, CERN, BOX, IWM, TWCT, KVSC, CTVA, IWN, ACM, MAAC, SCOR, NLOK, ACIW",https://finnhub.io/api/news?id=3c994be1a6d97bfd85985ebc7625b2c696a4914faaeb29ba11ed9f23464bdfe2
company,1628786820,Corteva Inc. stock outperforms competitors on strong trading day,69644603,https://images.mktw.net/im-220105/social,CTVA,MarketWatch,"Shares of Corteva Inc. advanced 1.01% to $46.06 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=bc7e2a63a2ada997b2bb746f6038aeca213862dba08f971a24a830fa77201c0b
company,1628735220,Brandes Investment's Top 5 2nd-Quarter Trades,69652306,https://static.gurufocus.com/photos/companies/charles_brandes_big_pic.JPG,CTVA,GuruFocus,Firm carves out top holding,https://finnhub.io/api/news?id=f2be01b8c0b506675f155da014bfdcd7d64436e1d9b914101cbe028b1bc775dd
company,1628700420,"Corteva Inc. stock rises Wednesday, still underperforms market",69644604,https://images.mktw.net/im-220105/social,CTVA,MarketWatch,"Shares of Corteva Inc. inched 0.24% higher to $45.74 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=192aaade1fe52c2b849e60b6a50de623134067886d6276c559ab37c767e2b32a
company,1628614020,Corteva Inc. stock outperforms market on strong trading day,69644606,https://images.mktw.net/im-220105/social,CTVA,MarketWatch,"Shares of Corteva Inc. inched 1.00% higher to $45.63 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=62dc2678674695df92ec3e4be20b7603042743f307cc54bceb6650d4c3a32a0a
company,1628606712,UPDATE 1-Soy growers criticise Brazil antitrust ruling on Bayer biotech seed JV,69599558,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,CTVA,Yahoo,"Brazilian soybean producers' group Aprosoja, representing 240,000 farmers, on Tuesday criticized federal antitrust agency CADE's decision to clear a joint venture formed by rivals Bayer AG, Corteva and Syngenta.  The joint venture (JV) was approved by CADE unconditionally last week and offers a platform for the collection of royalties from genetically modified soybeans in Brazil.  The farmers' group complained that CADE ignored its misgivings about the venture, which it says will perpetuate a royalties collection system long opposed by local growers.",https://finnhub.io/api/news?id=97010a9ac63db70d6026d226fb5a0de348677832bafc8774aeb76e58f88dfe99
company,1628605215,Soy growers criticise Brazil antitrust ruling on Bayer biotech seed JV,69599559,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,CTVA,Yahoo,"Brazilian soybean producers' group Aprosoja, representing 240,000 farmers, on Tuesday criticized federal antitrust agency CADE's decision to clear a joint venture formed by rivals Bayer AG, Corteva and Syngenta.  The joint venture was approved by CADE unconditionally last week and offers a platform for the collection of royalties from genetically modified soybeans in Brazil.  The farmers' group complained that CADE ignored its misgivings about the venture, which it says will perpetuate a royalties collection system long opposed by local growers.",https://finnhub.io/api/news?id=ad3060c957a5f9067fbb4036e4f634558c7b89c0f9fafc6b9db7f10669b05eb8
company,1628564400,"Corteva launches Brazil biotech soy, tackles Bayer head-on",69590293,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,CTVA,Yahoo,"Corteva Agriscience said on Tuesday it will start selling biotech soybean seeds in Brazil, as it seeks to bolster its presence in the world's largest producer of the oilseed and tackle German rival Bayer AG .  Corteva said its Enlist soybean seeds can resist three weed killers including glyphosate, ammonium glufosinate and the company's own new formula containing 2,4-D choline salt.  ""We want to give farmers freedom of choice, an option for local growers since there was basically only one company operating in the soy biotechnology market in Brazil,"" Roberto Hun, Corteva's president for Brazil and Paraguay, said in an interview.",https://finnhub.io/api/news?id=da054626388626efff04f3a944e6c049d43d673dc27f278eaad72b50e419ae1b
company,1628527620,"Corteva Inc. stock rises Monday, outperforms market",69644607,https://images.mktw.net/im-220105/social,CTVA,MarketWatch,"Shares of Corteva Inc. inched 0.94% higher to $45.18 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=3ef516a3b37edc8e29cb0c721659f4fc9d32c24620e391da489351ff2946370f
