category,datetime,headline,id,image,related,source,summary,url
company,1629129956,"S&P 500 doubles from its pandemic bottom, marking the fastest bull market rally since WWII",69686541,https://image.cnbcfm.com/api/v1/image/106007058-1562599908150bull.jpg?v=1629144772,CZR,CNBC,"The broad equity benchmark has rallied 100% on a closing basis from its Covid trough of 2,237.40 on March 23.",https://finnhub.io/api/news?id=43476ba88c1f377879bd27e7268773d29841ea8aeda1899f52c74e5cbc377ad8
company,1629118800,"Rock & Roll Hall of Fame Band KISS Announces Exclusive Las Vegas Engagement at Zappos Theater at Planet Hollywood Resort & Casino Beginning Wednesday, December 29, 2021",69678877,https://s.yimg.com/uu/api/res/1.2/f2NjxMuouMwRHwP.dGXaNw--~B/aD00MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/985010b3d5ba808150015b3a5331ad83,CZR,Yahoo,"One of rock's most influential bands, KISS, announces their exclusive Las Vegas engagement at Zappos Theater at Planet Hollywood Resort & Casino, kicking off New Year's Eve week with performances Wednesday, Dec. 29, Friday, Dec. 31 and Saturday, Jan. 1. Additional shows are scheduled for January 19 – February 5, 2022.",https://finnhub.io/api/news?id=506535c7c0ac97e2875fca5d5c51ca5ff2a57ec0e1ef99ba0b8486fd253e9ff3
company,1629113280,Jay-Z In The Running For A New York Sports Betting License,69682862,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/4704648802_6cf5849e5d_c.jpg,CZR,Benzinga,"Jay-Z has a new ""Empire State of Mind"" with his bid for a sports betting license in New York.
What Happened: The New York Gaming Commission is reviewing vendor...",https://finnhub.io/api/news?id=481ca94c3b58ee7a21a354a0122b61d829391d64a5bd2d4eb8e5f2abfdfe740e
company,1629104400,"Rock & Roll Hall of Fame Band KISS Announces Exclusive Las Vegas Engagement at Zappos Theater at Planet Hollywood Resort & Casino Beginning Wednesday, December 29, 2021",69679615,,CZR,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1c42cb46adcf6639af2841d444a3cedb458d76c019e5697cc6d70ba84201bf01
company,1629090360,PSFE Stock Looks Great From All Sides at These Prices,69679768,https://investorplace.com/wp-content/uploads/2021/02/paysafe-bft.png,CZR,InvestorPlace,PSFE stock is trading at a considerable bargain based on its incredible outlook and catalysts powering its growth story.,https://finnhub.io/api/news?id=312ac59dc53e3c18024b15797fe5d00d2fac190cdc41891abab9274b071011df
company,1629080820,S&P hits new record amid rising concerns about pandemic,69696732,,CZR,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=00f515d9be8295894865f4169869bd820eb6fd14ccba43ec58f81ebaa65cd553
company,1629008805,"Bally's: Bargain Bin Cast-Offs Could Make A Growth Story, But Also An Exit Strategy For Its Hedge Fund Owners",69675005,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1249219777/medium_image_1249219777.jpg,CZR,SeekingAlpha,Bally's Corporation is a pure buy-low sell-high company building strategy. Click here to see our recommendation of when to buy the stock.,https://finnhub.io/api/news?id=b94d2bd8007d38f5b4f99640cb359072ec9c0ed5d0f8fe5bb8d4066e17743a92
company,1628872324,Caesars Entertainment (CZR) Partners With Houston Texans,69659744,https://s.yimg.com/uu/api/res/1.2/lJFRBj84jythK1cK8DqM7A--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/48607a7fba3bfffa6c74b336adec4d8f,CZR,Yahoo,"Caesars Entertainment (CZR) will support Houston Texans' promotional channels, including in-stadium signage as well as digital and traditional media assets.",https://finnhub.io/api/news?id=377a99cbb8b34c18dafc8507d35ccb51975eb23a13604892f76d190f8d1e77df
company,1628823300,Bet On It: Canada single sports wagering set to begin at end of month,69667301,https://image.thefly.com/catalog/202005/img_819.jpg,CZR,Thefly.com,"More tribe applications than licenses in Arizona, DraftKings acquires Golden Nugget Online and other notable stories in the sports betting and iGaming space. DKNG, GNOG, PENN, MGM, CHDN, WYNN, CZR, RSI, ACEL, BALY, BYD, PDYPY, GAN, GENI, LVS, SGMS, SCR, PBTHF",https://finnhub.io/api/news?id=ac741e64749cbefeaee4906e8a1f8dadb29a73017f78803937f411b67a9d9a41
company,1628793000,Caesars Entertainment And Houston Texans Announce Multi-Year Partnership,69640076,,CZR,Yahoo,"Caesars Entertainment, Inc. (NASDAQ: CZR) (""Caesars"") today announced an agreement with the Houston Texans to become the official casino partner of the team. The partnership goes into effect immediately before the 2021 NFL season kicks off.",https://finnhub.io/api/news?id=9e8e39fbf3b7f4016778e5b7f2070f119b1ac6f080b4a5fe4c98254f10e8a06b
