category,datetime,headline,id,image,related,source,summary,url
company,1629125201,Why I'm Adding To My Position In Dominion Energy,69683504,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1224912060/medium_image_1224912060.jpg,D,SeekingAlpha,Dominion Energy is positioning itself for growth with a lower dividend obligation and a focus on being a regulated utility. See why this makes D stock a buy.,https://finnhub.io/api/news?id=3de73f69cddd2a29d10d48ca9e04f4d79f668d82829e560d8d9fb2ebe2d47660
company,1629113940,"Maple-Brown Abbott Ltd Buys Ameren Corp, American Electric Power Co Inc, Dominion Energy Inc, Sells Crown Castle International Corp, Kinder Morgan Inc",69697649,,D,GuruFocus,,https://finnhub.io/api/news?id=5bb8cfbf976c4ab655a7b3adcc20131163012b5256b0fcbbe28564a7877d6e04
company,1629092340,"PineBridge Investments, L.P. Buys ISHARES TRUST, Healthpeak Properties Inc, Kellogg Co, Sells iShares MSCI Mexico ETF, CVS Health Corp, Verizon Communications Inc",69695401,,D,GuruFocus,,https://finnhub.io/api/news?id=53827b3f6641c2ff92adc69393781dcbac58aa3d4b89f7ff7da69c909bf01c05
company,1628928550,XLU: Utilities Dashboard For August,69666474,,D,SeekingAlpha,,https://finnhub.io/api/news?id=1392bd005dadb1dc9ffebe1acb546581d4f0848126adc219492b7ae7b6581148
company,1628872200,"Dominion Energy Inc. stock rises Friday, outperforms market",69664459,https://images.mktw.net/im-220105/social,D,MarketWatch,"Shares of Dominion Energy Inc. inched 0.45% higher to $77.71 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=a16f11e35decabcd3f36b24ae1cd3c85fb4a48c0a7d73bf09779a566078126ac
company,1628840298,Utilities are on a hot streak amid heat waves,69662526,https://image.cnbcfm.com/api/v1/image/106926654-16288538181628853816-18024816648-1080pnbcnews.jpg?v=1628853817,D,CNBC,CNBC's Frank Holland reports on why utility stocks are the best-performing S&P sector over the last month.,https://finnhub.io/api/news?id=41453fbfb0a3e0288931e3f4d7b106ef92e0c61f56b304090537b2c35c4600a1
company,1628785800,Dominion Energy Inc. stock outperforms competitors on strong trading day,69648268,https://images.mktw.net/im-220105/social,D,MarketWatch,"Shares of Dominion Energy Inc. inched 0.56% higher to $77.36 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=bc95886c6d0be0fbc4696bc9992693e0ef223612bc898e99b3e34a0ce41cd0cd
company,1628784544,Dominion Energy (D) Chalks Out Plan to Cut Vehicle Emission,69643094,https://s.yimg.com/uu/api/res/1.2/zVkczPxyI6Z9c6ZQDYc8iQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/22cecf4ad0ca1f0a5387d618d7255695,D,Yahoo,Dominion Energy (D) announces plans to substantially lower emissions from its vehicle fleet by 2030.,https://finnhub.io/api/news?id=754f078f0f3f7a22160b63ef91800dbda387aa65201886a3b44fd25c1b8793e1
company,1628777340,"Dominion Energy Environmental Grant Applications Now Open to Nonprofit, Educational Organizations",69636086,https://s.yimg.com/uu/api/res/1.2/N1BdwexkznOnUPijlz6h1g--~B/aD0xODU7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/eb548d809a079986b32e09f53e3d759f,D,Yahoo,Dominion Energy is encouraging nonprofit and educational organizations to apply for $1.5 million in environmental grants to be distributed this year through the Dominion Energy Charitable Foundation. This competitive grant process is designed to support work to improve the environment and provide educational experiences in communities served by Dominion Energy.,https://finnhub.io/api/news?id=0b3bb310adc235bb8aa276e3b41b241d1766a25a6746d93611dbf7ee99faa694
company,1628762940,"Dominion Energy Environmental Grant Applications Now Open to Nonprofit, Educational Organizations",69653228,,D,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b2d2f2c0906333f1a3e7e9442a877a35e728060786ecec5fb0669c6130a0f03e
company,1628708407,Will Utility ETFs Keep Gaining on Decent Q2 Earnings Results?,69625328,https://s.yimg.com/uu/api/res/1.2/FV.gGfr3YT8h0vJB22uXoQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/71db9e3c1e83b4edc3bba506d8c34d01,D,Yahoo,Let's take a look at some big utility earnings releases and see if these can leave an impact on ETFs exposed to the space.,https://finnhub.io/api/news?id=5c47cb278a547e12bbe2af8de672be7681cbc24fbc39205c4b3a951f4a9db440
company,1628699400,"Dominion Energy Inc. stock rises Wednesday, outperforms market",69648270,https://images.mktw.net/im-220105/social,D,MarketWatch,"Shares of Dominion Energy Inc. inched 0.64% higher to $76.93 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=a2f84d441f0380ed21f08ca3141efce173d1a8d4ed20bd1dd19d6810b7ccadb4
company,1628682300,Dominion Energy Announces Redemption of 2016 Enhanced Junior Subordinated Notes,69614586,https://s.yimg.com/uu/api/res/1.2/N1BdwexkznOnUPijlz6h1g--~B/aD0xODU7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/eb548d809a079986b32e09f53e3d759f,D,Yahoo,"Dominion Energy, Inc. (NYSE: D), announced today that it has issued a notice of redemption for its 2016 Series A 5.25% Enhanced Junior Subordinated Notes due 2076 (NYSE: DRUA) (the Junior Subordinated Notes) regarding the redemption of all of the outstanding $800 million aggregate principal amount of the Junior Subordinated Notes. The redemption date of the Junior Subordinated Notes will be Aug. 31, 2021, and the redemption price of the Junior Subordinated Notes will be 100% of the principal amo",https://finnhub.io/api/news?id=1b390079b2bfb7b6f4aa40614df2ee9b697a4fbe8f881b9903785f0d0dd6a61c
company,1628667900,Dominion Energy Announces Redemption of 2016 Enhanced Junior Subordinated Notes,69614989,,D,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=789183f48091280b3f8efe8c7d57a758775dc55184fe372cc0218b3a84afd574
company,1628613000,Dominion Energy Inc. stock outperforms market on strong trading day,69648272,https://images.mktw.net/im-220105/social,D,MarketWatch,"Shares of Dominion Energy Inc. inched 0.58% higher to $76.44 Tuesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=28b2db0089d42b84ecd2aea45b9c4217ed9d193f19c12dc988a757bda299bbc7
company,1628610000,Dominion Energy Sets Ambitious Carbon-Reduction Vehicle Goals,69604001,https://s.yimg.com/uu/api/res/1.2/N1BdwexkznOnUPijlz6h1g--~B/aD0xODU7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/eb548d809a079986b32e09f53e3d759f,D,Yahoo,"Dominion Energy (NYSE: D) today announced a suite of carbon-reduction goals that will transform the fleet of more than 8,600 vehicles that serves millions of customers across 16 states. The Green Fleet initiative will help Dominion Energy achieve its goal of net zero carbon dioxide and methane emissions, while showing the way for clean-energy progress in the transportation sector, the largest contributor of greenhouse gas emissions in the U.S.",https://finnhub.io/api/news?id=7c84419bf12f49c88c9f45126d6604bc39506ae9b751be37f6d929ca2c1ec5fb
company,1628597340,Dominion Energy to Convert Fleet to Lower Carbon Vehicles,69648274,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,D,MarketWatch,By Stephen Nakrosis Dominion Energy Inc. on Tuesday said it will work to transform its fleet to include more electric and cleaner-fuel vehicles. The company...,https://finnhub.io/api/news?id=ba62d51ec5812b33fa8aa220072d1ff4d3873ef68ff1c0c86a823bb0bbb3e789
company,1628596080,Dominion Energy Shares Key Reasons to 'Call Before You Dig' Before Launching Next Outdoor Project,69614990,,D,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=358fa4429621dee16ec3d2f816177127c5906ba6513a972ba9b160bb62fae192
company,1628595600,Dominion Energy Sets Ambitious Carbon-Reduction Vehicle Goals,69614991,,D,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b947b498eaff81014861523415b1396b1a0443559cccc3d84e1ef4b817a87972
company,1628592180,Dominion to convert 75% of passenger vehicles to electric power by 2030,69614992,,D,Thefly.com,Dominion Energy announced... D,https://finnhub.io/api/news?id=99d03d5b637158b7b9209231eed3dd15f14108db8ba70313704a6cf68d51fe0c
company,1628568120,7 Best Retirement Stocks to Buy to Build Long-Term Wealth,69614069,https://investorplace.com/wp-content/uploads/2019/07/retire-retirement-ahead-sign.jpg,D,InvestorPlace,"In a constantly changing world, your search for retirement stocks should focus on sectors that will be relevant for decades to come.",https://finnhub.io/api/news?id=e83baf985a1f3a0d7508767717adee3b1330f4be13af4ec8416bcc9f1e9535bf
company,1628526600,"Dominion Energy Inc. stock remains steady Monday, still outperforms market",69648275,https://images.mktw.net/im-220105/social,D,MarketWatch,"Shares of Dominion Energy Inc. were unchanged Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=8847905c06f5520c5f886e9e92f1b8d4e6e5d8c0a02ff700331435940310852d
company,1628339455,"Dominion Energy, Inc (D) Q2 2021 Earnings Call Transcript",69564059,,D,Yahoo,"Reconciliation of our non-GAAP measures to the most directly comparable GAAP financial measures, which we can calculate, are contained in the earnings release kit.  Joining today's call are Bob Blue, chair, president, and chief executive officer; Jim Chapman, executive vice president, chief financial officer, and treasurer; and other members of the executive management team.",https://finnhub.io/api/news?id=2d245ad76217af1b6ab75b12f5fe5fbfb389372345ee3d41ff32cf5630960d5e
company,1628267400,Dominion Energy Inc. stock outperforms competitors despite losses on the day,69575248,https://images.mktw.net/im-220105/social,D,MarketWatch,"Shares of Dominion Energy Inc. slid 0.11% to $76.00 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=197e0e4fa120e9016cd3d5d4abffb7e36e1ba65e8375f8efa971e773bcb0a021
company,1628267050,"Dominion Energy, Inc. (D) CEO Bob Blue on Q2 2021 Results - Earnings Call Transcript",69551783,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,D,SeekingAlpha,"Dominion Energy, Inc. (NYSE:D) Q2 2021 Earnings Conference Call August 6, 2021 10:00 AM ET Company Participants Steven Ridge - Vice President, Investor Relations Jim Chapman - Executive...",https://finnhub.io/api/news?id=af7a18a964f3694bc926c99733cf887b1d402324032a069dcf97ebec2932f04a
company,1628266084,Dominion Energy (D) Q2 Earnings and Revenues Lag Estimates,69549985,https://s.yimg.com/uu/api/res/1.2/OLIioIDLElo1W0bllZIWjA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/bf1ea34437d5955a648820cbec76643f,D,Yahoo,Dominion Energy's (D) second-quarter earnings are lower than expected. The company continues with the long-term capital expenditure plan to strengthen its infrastructure.,https://finnhub.io/api/news?id=a8e076545d56de4bb1b76128b5a20c9a0afe45eda48848b6be372a1d9e3c59d5
company,1628263217,"Dominion Energy, Inc. 2021 Q2 - Results - Earnings Call Presentation",69550747,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,D,SeekingAlpha,"The following slide deck was published by Dominion Energy, Inc.",https://finnhub.io/api/news?id=36c3b4947f00da47c742ec1cefc50fdcc07b422d0849f8f6194a8b0554877f5c
company,1628262903,Economic Data Deluge,69548732,https://s.yimg.com/uu/api/res/1.2/hW4eVEqvD1PC9.jVQAoI_g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a3fb7a04f19defa80465e7d44efab77c,D,Yahoo,Economic Data Deluge,https://finnhub.io/api/news?id=ca28d038a7459beb27ced6b8e5732b9f04240e245ac24fe46b67578035d68b80
company,1628259902,Pre-Markets Mixed Amid Strong July Jobs Data and Tepid Q2 Earnings,69548734,https://s.yimg.com/uu/api/res/1.2/Q2f.YMShumqXKBSqG9ps6g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cbd7c6285cac8f8da1bdc1cb0716ca84,D,Yahoo,U.S. stock futures were mixed despite strong job additions in July.,https://finnhub.io/api/news?id=50abcae30e15ec573af4c97c0f5398d2a2a167bd8d5963ef2c723d797def8a8e
company,1628253912,Dominion Energy (D) Q2 Earnings and Revenues Miss Estimates,69546870,https://s.yimg.com/uu/api/res/1.2/apbC75v0joJeGGZArvqIvw--~B/aD02NzU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/105b2acef7bf0873f24b78932b1fdc3c,D,Yahoo,"Dominion Energy (D) delivered earnings and revenue surprises of -1.30% and -7.72%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=44c910178e78de0556012d0507b7bbf7a2b40d8a409d417848bdc0ba66f96881
company,1628249400,Dominion Energy Announces Second-Quarter 2021 Earnings,69541217,https://s.yimg.com/uu/api/res/1.2/QJbpHs_kSzpjoEvUqRr5BA--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/e1e659c6a49be288da3824834ace2129,D,Yahoo,"Dominion Energy (NYSE: D) today announced an unaudited net income determined in accordance with Generally Accepted Accounting Principles (reported earnings) for the three months ended June 30, 2021, of $285 million ($0.33 per share) compared with a net loss of $1.2 billion ($1.52 per share) for the same period in 2020.",https://finnhub.io/api/news?id=5071ee4d023c817897f6d5ffbc84b2a295365cbc33ee11ae6c8b629662f7fee9
company,1628236260,Recap: Dominion Energy Q2 Earnings,69543416,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,D,Benzinga," 
Shares of Dominion Energy (NYSE:D) were unchanged after the company reported Q2 results.
Quarterly Results
Earnings per share decreased 7.32% year over year to $0.76, which...",https://finnhub.io/api/news?id=edc071d0b17cb03704d377f22337ce1a18dc65b27cd1e417092f117e4e40d2b4
company,1628235900,Dominion Energy 2Q Revenue Falls; Company Swings to Profit,69575249,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,D,MarketWatch,By Allison Prang Dominion Energy Inc. swung to a second-quarter profit while its operating revenue slipped. The energy company's net income attributable to...,https://finnhub.io/api/news?id=5fa7375ec840c2dcad32994e1bb88d05a80d49e834086f4a220f6b059059df23
company,1628235480,Dominion Energy: Q2 Earnings Snapshot,69545000,,D,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ba150633ce3a9ea39a0fb58fcfa2715c768fe98c8306526910545a8fe39c0463
company,1628235000,Dominion Energy Announces Second-Quarter 2021 Earnings,69545001,,D,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f3f57f87e0aa9f53b91f2b7ce0d0b6f946f1ab434eca37125f1d6327f312a6e7
company,1628234623,"What Dominion Energy, Inc.'s (NYSE:D) ROE Can Tell Us",69541218,https://s.yimg.com/uu/api/res/1.2/naUy9BSoI62CZsfZfNs5GQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/e44b48510541f08ce6d7c1a7b2f6b239,D,Yahoo,"While some investors are already well versed in financial metrics (hat tip), this article is for those who would like...",https://finnhub.io/api/news?id=c9758443cd390d72dc98acb4720a10c453821d32c2c038a832cbb86b6640b773
company,1628231640,"Dominion backs FY21 operating EPS view $3.70-$4.00, consensus $3.87",69545002,,D,Thefly.com,The company also affirms ... D,https://finnhub.io/api/news?id=f4720d1bf94e869a75ca940f2c51302c489c533849620dc89484460699bffc9a
