category,datetime,headline,id,image,related,source,summary,url
company,1629190800,PULSE® Study Confirms COVID-19 Pandemic Accelerated the Transformation of Debit,69699304,,DFS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9bde8d79941e46aa434b38cd4a9f1df1046366177ee3d83a7dc0c3d0a7143350
company,1629180300,"Apple Remains Dominant Player In Mobile Wallet Space For Debit Transactions, Says Study",69696496,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/cardmapr-nl-xh2jfgt4abc-unsplash.jpg,DFS,Benzinga,"Apple Inc.’s (NASDAQ: AAPL) Apple Pay continued to be dominant player in the mobile wallet space for debit transactions in the United States last year, according to a...",https://finnhub.io/api/news?id=03eb441fac7f388dea678cecd27af44cc7411a49430b008bd050223f0a45b184
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,DFS,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628924799,Discover Financial Services: Don't Make My Mistake,69666174,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/147314538/medium_image_147314538.jpg,DFS,SeekingAlpha,Discover rebounded sharply from pandemic bottom and continues to make record highs. Here's why I believe DFS' business is firing on all cylinders and showing no signs of stopping.,https://finnhub.io/api/news?id=5708ef777f7fdefd99bf2dc39c52413366c5024f0700e91513d35e8182d77f46
company,1628873280,"Discover Financial Services stock rises Friday, outperforms market",69673664,https://images.mktw.net/im-220105/social,DFS,MarketWatch,"Shares of Discover Financial Services inched 0.83% higher to $135.38 Friday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=bdbd8d83f64a41a592cf8aa1879dacd0199f129926e0787722e8624c88628907
company,1628862634,"7 A-Rated, Large-Cap Stocks You Want in Your Portfolio",69675837,,DFS,Yahoo,"This week the major indices continue to hit and retreat from highs. These are the dog days of the market, and like the thermometer, we’re stuck near highs but there’s not a lot of drama about it. Except some quality, hidden large-cap stocks. Most investors are waiting right now. They want to see if inflation is “transitory” or whether it’s a real issue. At this point, there’s some evidence it is, but not enough to hang your hat on it. Also, there are big infrastructure bills heading through Cong",https://finnhub.io/api/news?id=6e0a46a085ba264b020d5742b6dfeae715044378561f4800c6351f2a5ff8e594
company,1628844660,"7 A-Rated, Large-Cap Stocks You Want in Your Portfolio",69652575,https://investorplace.com/wp-content/uploads/2019/07/large-cap-crushing-it.jpg,DFS,InvestorPlace,"The news cycle continues to play on the same large-cap stocks over and over, but there are still some great choices at great prices.",https://finnhub.io/api/news?id=4dfec2064378fdd046e6755f12e37dfeff3ca95ab49b0c4955c63cd7421c9880
company,1628811307,13 Upcoming Dividend Increases Including 1 Dividend King,69646756,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273237907/medium_image_1273237907.jpg,DFS,SeekingAlpha,All stocks have at least five fiscal years of dividend growth history and come from the U.S. Dividend Champions List. They have an average increase of 8.6% and a median increase of 5.8%.,https://finnhub.io/api/news?id=e06544e92d1e632f7dc9cacfe13189b5d8aaea353b80f01067f087a5e6d13c43
company,1628786880,Discover Financial Services stock outperforms market on strong trading day,69673665,https://images.mktw.net/im-220105/social,DFS,MarketWatch,"Shares of Discover Financial Services inched 0.48% higher to $134.26 Thursday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=9f1cd814d913db5206fa1fec4ef2d4163376dd56725eb85666eace96dd63279a
company,1628700480,Discover Financial Services stock underperforms Wednesday when compared to competitors despite daily gains,69628047,https://images.mktw.net/im-220105/social,DFS,MarketWatch,"Shares of Discover Financial Services advanced 1.20% to $133.62 Wednesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=31830c3941f27ee4a6d8940125980b42392ce232bca5e0c70a75ad6a232a9da9
