category,datetime,headline,id,image,related,source,summary,url
company,1629189240,Dollar General downgraded to Mixed from Positive at OTR Global,69695576,,DG,Thefly.com,OTR Global downgraded Dol... DG,https://finnhub.io/api/news?id=3ec47ac3ac3d8618f55cd9a7e03d36920aa3528ee87a64ad55c43c8c1f8dc53f
company,1629132480,"Dollar General Corp. stock rises Monday, outperforms market",69687713,https://images.mktw.net/im-220105/social,DG,MarketWatch,"Shares of Dollar General Corp. inched 0.46% higher to $237.84 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=863478a71291e85a781cf66f53e912ffb0d2fe8cd6edfd30d23c4827cd0f8151
company,1629117540,"Sit Investment Associates Inc Buys Cornerstone Strategic Value Fund Inc, Tekla World Healthcare Fund, Cornerstone Total Return Fund Inc, Sells Franklin Limited Duration Income Trust, Gabelli Dividend & Income Trust, Adams Diversified Equity Fund Inc",69694332,,DG,GuruFocus,,https://finnhub.io/api/news?id=25b34c58c5dc66e026e83353f5bc4934055565c0f615b5fd29b27b93dd0a24e5
company,1629099540,"Willis Investment Counsel Buys Fortinet Inc, Laboratory Corp of America Holdings, Dollar General Corp, Sells Eaton Corp PLC, The Home Depot Inc, Sysco Corp",69694947,,DG,GuruFocus,,https://finnhub.io/api/news?id=c557788a2f9e9b7dbfcd049f9927cd7f79216d2fe6cfb41c0125819cd258c5e4
company,1629095940,"Golub Group Llc Buys Dollar General Corp, Fiserv Inc, Northrop Grumman Corp, Sells , International Business Machines Corp, Lockheed Martin Corp",69695579,,DG,GuruFocus,,https://finnhub.io/api/news?id=35e77f8069cb9941ddda96e4400f304f44c56fe1f1101389826e99cf0960222d
company,1629092340,"Barrow, Hanley, Mewhinney & Strauss Buys Merck Inc, Pioneer Natural Resources Co, Ralph Lauren Corp, Sells Westinghouse Air Brake Technologies Corp, Chevron Corp, Citigroup Inc",69694948,,DG,GuruFocus,,https://finnhub.io/api/news?id=0a1532eef18608492dca94b5732d5e659b388b560d40aab3db8523a9f9fc9379
company,1628873280,Dollar General Corp. stock underperforms Friday when compared to competitors despite daily gains,69687714,https://images.mktw.net/im-220105/social,DG,MarketWatch,"Shares of Dollar General Corp. inched 0.20% higher to $236.76 Friday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=367a34ca2baeb6455fd6a4b6728b50c96516e40be2998745fe719a5d2bd22d8a
company,1628857812,Here's How Much a $1000 Investment in Dollar General Made 10 Years Ago Would Be Worth Today,69654558,https://s.yimg.com/uu/api/res/1.2/QOfludHza1dTKV8R6Coeiw--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/48ad4265c55e3ba7a1fb9148d6e717d9,DG,Yahoo,Holding on to popular or trending stocks for the long-term can make your portfolio a winner.,https://finnhub.io/api/news?id=741bf5520c59bed80c109f0177a4fe8185e7452ff34b04f949bafa236d07c34d
company,1628829840,"Vinci's Gatwick in debt covenant waiver talks amid ""very low"" traffic",69652138,,DG,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=dcc046d61b06128a26bea6fef637530734fa3b415b1e90b18be0a9175bde7995
company,1628786880,"Dollar General Corp. stock falls Thursday, underperforms market",69646004,https://images.mktw.net/im-220105/social,DG,MarketWatch,"Shares of Dollar General Corp. slumped 0.72% to $236.28 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=6a41b6e3aba65d9544dba8c260b8f2c2bad33a1a0e5462eb9740842874204285
