category,datetime,headline,id,image,related,source,summary,url
company,1629209882,Here's Why it is Worth Investing in Carlisle (CSL) Stock Now,69701052,https://s.yimg.com/uu/api/res/1.2/llEIJtlHISQ_iDpj2RC5GA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/debc48c0a0afd8d3a2d2dcb320e026fe,DHR,Yahoo,"Carlisle (CSL) is poised to benefit from strength across end markets, acquired assets and shareholder-friendly policies.",https://finnhub.io/api/news?id=4b01e751e749d9d3db13b9d72361b34e420877a7d9ae1092f8b92b0b51dbe533
company,1629195180,Stocks That Hit 52-Week Highs On Tuesday,69696539,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,DHR,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 55 companies set new 52-week highs.
Points of Interest:

Apple (NASDAQ:AAPL) was the largest company by market cap to set a new 52-week...",https://finnhub.io/api/news?id=89bff3b255cda39ced7d3d82f57abf75db82808a9d92ace05c0fdecc8b10cf14
company,1629113940,"Tiedemann Wealth Management, Llc Buys Nuveen ESG Mid-Cap Growth ETF, iShares MSCI ACWI Low Carbon Target ETF, PowerShares QQQ Trust Ser 1, Sells iShares Gold Trust, Vanguard Real Estate Index Fund ETF, Upwork Inc",69695070,,DHR,GuruFocus,,https://finnhub.io/api/news?id=bce43d1701ec58775333597d70a7429a3cbd3685fd21b5d43047f62a3900a4fd
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,DHR,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1629092340,"Ci Investments Inc. Buys SPDR Gold Shares ETF, Danaher Corp, Facebook Inc, Sells S&P 500 ETF TRUST ETF, iShares 20+ Year Treasury Bond ETF, iShares Russell 1000 Value ETF",69694629,,DHR,GuruFocus,,https://finnhub.io/api/news?id=f202b94598fc2bd5192dfed07293865742f329f49bc654c464905ff94ca0a630
company,1629092340,"Seeyond Buys Public Storage, Danaher Corp, Agnico Eagle Mines, Sells Axalta Coating Systems, Open Text Corp, DTE Energy Co",69694700,,DHR,GuruFocus,,https://finnhub.io/api/news?id=663994659eb3e67163e20af5e0adb7e28a3a9f8a06c3f387998c83190c27e688
company,1629088740,"Axiom International Investors Llc  Buys Moderna Inc, Yum China Holdings Inc, Zai Lab, Sells Sea, Nike Inc, DraftKings Inc",69695452,,DHR,GuruFocus,,https://finnhub.io/api/news?id=5cd778d40cd16dabf83e67721aab75ffc2ad6b04124e58a7830a0b98a0e3dd7a
company,1629077940,"German American Bancorp, Inc. Buys Truist Financial Corp, General Motors Co, Thermo Fisher Scientific Inc, Sells Merck Inc, Starbucks Corp, McDonald's Corp",69694391,,DHR,GuruFocus,,https://finnhub.io/api/news?id=02ea30e811c0f3405a460a6d41ccd1b8428ac6515aa2fd33d58bd7cb7cc3fa95
company,1628878986,Time to Focus on Danaher (DHR) for Strong Earnings Growth Potential,69662730,https://s.yimg.com/uu/api/res/1.2/4QtuiPB6Z40dpfP7nJQeCw--~B/aD00OTY7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f73e5864dcc48a38339373784f53a25,DHR,Yahoo,"If you are looking for a fast-growing stock that is still seeing plenty of opportunities on the horizon, make sure to consider Danaher (DHR).",https://finnhub.io/api/news?id=1e87fd4897cd835ab8e9f738dbeda3ec923427057176c977ac935cdbc6fe0eb2
company,1628873280,Danaher Corp. stock outperforms market on strong trading day,69677482,https://images.mktw.net/im-220105/social,DHR,MarketWatch,"Shares of Danaher Corp. inched 0.47% higher to $315.26 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=6441ac7302bf8c4eb5c8f6e9d015f286e289c3451d9fa573df51818be3216526
