category,datetime,headline,id,image,related,source,summary,url
company,1629186842,Michael Burry Of 'The Big Short' Takes A Short Position In ARKK,69693087,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/498541178/medium_image_498541178.jpg,DISCA,SeekingAlpha,"Michael Burry buys puts on ARKK ETF, possibly as a hedge to Alphabet and Facebook positions. Read more to see my evaluation of his positions.",https://finnhub.io/api/news?id=eef59b540c8528b4c3a9c7e6e3316ee69be61970db4ac12624de16f89c8dab9c
company,1629164700,Discovery obtains Dutch license for Polish news station,69696141,,DISCA,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1c862243b353e7f986189b5c49e6c805eec9bd8e6e1f89ce8769b69b53952aa9
company,1629120180,Discovery obtains Dutch license for Polish news station,69696142,,DISCA,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6e2c093de86f8eef7d8b7e077e3dc5c1de5214310d410b94b2241c49d81cf51d
company,1629113820,Telcos Lost the 4G Battle – and Could Lose the 5G War,69694757,https://investorplace.com/wp-content/uploads/2020/07/5g1600g.jpg,DISCA,InvestorPlace,"As it continues to roll out, let's take a look at some companies that could come out behind due to the 5G revolution.",https://finnhub.io/api/news?id=afbb5af5722c8280dc406269387d7d445683b56bba9f8b83fdc438d68e69559f
company,1629106740,"Hillman Capital Management Buys Discovery Inc, Merck Inc, AT&T Inc",69696144,,DISCA,GuruFocus,,https://finnhub.io/api/news?id=543df45b06cd54822732ce216599665a62ef7956d064437a965b0fb9bbf2011b
company,1629081540,"Estabrook Capital Management Buys Ford Motor Co, Discovery Inc, Qualcomm Inc, Sells General Electric Co, Biogen Inc, GMAC Capital Trust I",69695640,,DISCA,GuruFocus,,https://finnhub.io/api/news?id=0747fcae0ec3db76a9cff52db28da02e59b8e7f813a2329c008412c8824991fa
company,1628974454,George Soros Abandons Shares Bought During Implosion Of Archegos Bill Hwang,69671873,https://s.yimg.com/uu/api/res/1.2/T4fdREuzmonZ5JZAP0qK_Q--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/cfb9ee876de576e1e7bd56ad5916d52d,DISCA,Yahoo,"George Soros's Investment Company, which shares sold off during the collapse of Bill Hwang's Archegos Capital Management, exited the positions. What Happened: According to a regulatory submission, the company has sold $194.3 million of CBS Corporation (NASDAQ: VIAC), $77 million of Baidu Inc. (NASDAQ: BIDU) shares, and $46.4 million of stock in Vipshop Holdings Ltd (NYSE: VIPS), Bloomberg reports. The company also liquidated its positions in Tencent Music Entertainment Group (NYSE: TME) and Disc",https://finnhub.io/api/news?id=e68568ed69c31498fc9de3213219d076d3332d25d062984ba3b71272e68420b8
company,1628873340,"Discovery Inc. Series A stock falls Friday, underperforms market",69673238,https://images.mktw.net/im-220105/social,DISCA,MarketWatch,"Shares of Discovery Inc. Series A slid 1.66% to $28.42 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=4cf84978b29b7629aa8a62a86fca1bd3aed97f810a0269565e0c31e16caabb1f
company,1628873318,"Is it Time to Sell Your Discovery, Inc. (DISCK) Position?",69656853,,DISCA,Yahoo,"Smead Capital Management, an investment management firm, published its “Smead Value Fund” second quarter 2021 investor letter – a copy of which can be downloaded here. A quarterly portfolio net return of 8.97% was recorded by the fund for the second quarter of 2021, compared to an 8.55% return of the S&P 500 Index and a […]",https://finnhub.io/api/news?id=61336ef118fd79f2914cb999d86cbb2217c99b48005f465b0f9b519d63a3938c
company,1628872020,"Walt Disney, Pilgrim's Pride rise; Best Buy, JPMorgan fall",69668465,,DISCA,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3071052a6a5c6faa59affe20ddc0e5e74b789c9db96c60fa8089fe06574d8667
company,1628864866,Forget Netflix (NFLX): 10 Better Streaming Stocks to Buy Now,69654074,https://s.yimg.com/uu/api/res/1.2/lAbiN4o__S.CLHTmAjOibw--~B/aD01MTI7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/1c9da002328d6f4dc4c8ab8cf48a9d5a,DISCA,Yahoo,"In this article, we discuss the 10 streaming stocks to buy now. If you want to skip our detailed analysis of these stocks, go directly to Forget Netflix: 5 Streaming Stocks to Buy Now. The rise of over-the-top (OTT) media services has transformed the entertainment industry in recent years. The television-based model has undergone a […]",https://finnhub.io/api/news?id=5fa660486799fd169c54db96ebca4bbbf53bee753e388e68a137fe8fc3023763
company,1628849040,Discovery CEO vows fight to keep $3B Polish media investment,69652941,,DISCA,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=83e40b296089f81454918b1baa40819abd188da0032997468beb5f063121574f
company,1628794259,Discovery to Charge Poland With Violating U.S. Treaty,69640390,https://s.yimg.com/uu/api/res/1.2/vcr5CEN_Hpozxwig2.ilCA--~B/aD0xMzM0O3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_markets_842/d7d3040067e39599cd6d32ad5042deef,DISCA,Yahoo,"(Bloomberg) -- Discovery Inc. plans to take legal action against the Polish government for potential breach a bilateral investment treaty with the U.S., escalating a standoff over the media giant’s television assets in the east European country.A “notice of dispute” for violating the 1990 pact between the two NATO allies was sent to President Andrzej Duda on Thursday, Discovery said in an emailed statement. A day earlier, Poland’s lower house of parliament passed legislation that -- if implement",https://finnhub.io/api/news?id=44edc80f63f2db3d0f93029a7d52f804022b69ed52d13d7c62fae65746310a5c
company,1628791200,"Discovery, Inc. to Charge the Government of Poland with Violations to the US-Poland Bilateral Investment Treaty",69640391,https://s.yimg.com/uu/api/res/1.2/B4qpo.dMgA4aKLIwlHlwKg--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/25fcc77eea5076f717ec9b919129bfeb,DISCA,Yahoo,"Discovery, Inc. today announced that it has formally notified the Polish government that it will take legal action under the bilateral investment treaty between the United States of America and the Republic of Poland.",https://finnhub.io/api/news?id=5d1657a1ffbafa240ef2ab5777f442ee811c54163310e0365ee81344c5543668
company,1628786940,Discovery Inc. Series A stock underperforms Thursday when compared to competitors,69673239,https://images.mktw.net/im-220105/social,DISCA,MarketWatch,"Shares of Discovery Inc. Series A shed 1.87% to $28.90 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=3ab9f1dbaf86358e5e9a8c229e3561d935bbd7ca8de134ec7f4097231cc7b87b
company,1628776800,"Discovery, Inc. to Charge the Government of Poland with Violations to the US-Poland Bilateral Investment Treaty",69652942,,DISCA,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=dae32e29582a90112023e321731a10594ca5c7756a522804084eaa24a026ef66
company,1628758374,Poland pushes through new media law and angers the U.S. ,69672887,https://image.cnbcfm.com/api/v1/image/106925994-1628772726247-gettyimages-1234608140-AFP_9KX6DG.jpeg?v=1628772750,DISCA,CNBC,"The bill means that U.S. media giant Discovery might be forced to sell its stake in TVN, a Polish broadcaster. ",https://finnhub.io/api/news?id=8d3688f99cd78c40ef321d4882eb6945d4445afbee2396c93308b306132090cf
company,1628757816,UPDATE 1-Polish PM rejects U.S. criticism of media and property-restitution bills,69630666,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,DISCA,Yahoo,"Poland's prime minister on Thursday rejected criticism of bills concerning media ownership and property restitution passed by parliament, after the United States, one of Warsaw's most important allies, denounced the legislation.  In a tumultuous sitting of parliament on Wednesday, Polish lawmakers passed a bill that would strengthen a ban on firms from outside the European Economic Area controlling Polish broadcasters.  The opposition says the bill aims to gag the news channel TVN24, which is owned by U.S.-based media group Discovery Inc and is critical of the right-wing nationalist government.",https://finnhub.io/api/news?id=e108b8308983340b767b981c104f701ded52beb9794e6c4251abb7d653f8924b
company,1628754480,"Media, Holocaust bills test Poland's ties with US, Israel",69652943,,DISCA,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0223d400191967696fd7ad70f9ac9bf1b9a072f9679d72dd7f51338fb0b9a00d
company,1628754480,"Media, Holocaust bills test Poland's ties with US, Israel",69637790,,DISCA,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e056cc8d599199422fbd6f59cbeb725d560ae8a6d1664de580c128da7301f415
company,1628730720,Discovery to charge government of Poland with violations of treaty,69652944,,DISCA,Thefly.com,"Discovery, Inc. today ann... DISCA, DISCK",https://finnhub.io/api/news?id=91eb176d7fe8557b5bdc523734084c996410d423781472e27d067c1461a41d21
