category,datetime,headline,id,image,related,source,summary,url
company,1629186842,Michael Burry Of 'The Big Short' Takes A Short Position In ARKK,69693087,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/498541178/medium_image_498541178.jpg,DISCK,SeekingAlpha,"Michael Burry buys puts on ARKK ETF, possibly as a hedge to Alphabet and Facebook positions. Read more to see my evaluation of his positions.",https://finnhub.io/api/news?id=eef59b540c8528b4c3a9c7e6e3316ee69be61970db4ac12624de16f89c8dab9c
company,1629108420,7 Telecom Stocks to Buy to Dial Out Market Anxiety,69681541,https://investorplace.com/wp-content/uploads/2019/08/telecom1600e.jpg,DISCK,InvestorPlace,"With a low-interest rate environment and uncertainty about what lies next, telecom stocks offer a reasonably reliable opportunity.",https://finnhub.io/api/news?id=019aab144987f27627553aa59600f476e545b660846aff317f269a83b2a234d8
company,1629095940,"Clayton Partners LLC Buys California Resources Corp, Viasat Inc, Fiserv Inc, Sells Concentrix Corp, eBay Inc, Denbury Inc",69694342,,DISCK,GuruFocus,,https://finnhub.io/api/news?id=827a926d02f2df91cce92eea567432579421c225ba8c438eb346d28c02956ff3
company,1629085260,"Elliott buys Dropbox, exits Facebook in Q2",69694766,,DISCK,Thefly.com,"Paul Singer's Elliot... DUK, DBX, HRB, DISCK, CYH, FB, TWTR, ETWO, PINS, SNAP, HWM, DELL, MPC, EVRG",https://finnhub.io/api/news?id=3ef65d8aab184f1546931fc93dbfac3fa3950b9209dde438887906601fc25a1b
company,1628974454,George Soros Abandons Shares Bought During Implosion Of Archegos Bill Hwang,69671873,https://s.yimg.com/uu/api/res/1.2/T4fdREuzmonZ5JZAP0qK_Q--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/cfb9ee876de576e1e7bd56ad5916d52d,DISCK,Yahoo,"George Soros's Investment Company, which shares sold off during the collapse of Bill Hwang's Archegos Capital Management, exited the positions. What Happened: According to a regulatory submission, the company has sold $194.3 million of CBS Corporation (NASDAQ: VIAC), $77 million of Baidu Inc. (NASDAQ: BIDU) shares, and $46.4 million of stock in Vipshop Holdings Ltd (NYSE: VIPS), Bloomberg reports. The company also liquidated its positions in Tencent Music Entertainment Group (NYSE: TME) and Disc",https://finnhub.io/api/news?id=e68568ed69c31498fc9de3213219d076d3332d25d062984ba3b71272e68420b8
company,1628873318,"Is it Time to Sell Your Discovery, Inc. (DISCK) Position?",69656853,,DISCK,Yahoo,"Smead Capital Management, an investment management firm, published its “Smead Value Fund” second quarter 2021 investor letter – a copy of which can be downloaded here. A quarterly portfolio net return of 8.97% was recorded by the fund for the second quarter of 2021, compared to an 8.55% return of the S&P 500 Index and a […]",https://finnhub.io/api/news?id=61336ef118fd79f2914cb999d86cbb2217c99b48005f465b0f9b519d63a3938c
company,1628864866,Forget Netflix (NFLX): 10 Better Streaming Stocks to Buy Now,69654074,https://s.yimg.com/uu/api/res/1.2/lAbiN4o__S.CLHTmAjOibw--~B/aD01MTI7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/1c9da002328d6f4dc4c8ab8cf48a9d5a,DISCK,Yahoo,"In this article, we discuss the 10 streaming stocks to buy now. If you want to skip our detailed analysis of these stocks, go directly to Forget Netflix: 5 Streaming Stocks to Buy Now. The rise of over-the-top (OTT) media services has transformed the entertainment industry in recent years. The television-based model has undergone a […]",https://finnhub.io/api/news?id=5fa660486799fd169c54db96ebca4bbbf53bee753e388e68a137fe8fc3023763
company,1628794259,Discovery to Charge Poland With Violating U.S. Treaty,69640390,https://s.yimg.com/uu/api/res/1.2/vcr5CEN_Hpozxwig2.ilCA--~B/aD0xMzM0O3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_markets_842/d7d3040067e39599cd6d32ad5042deef,DISCK,Yahoo,"(Bloomberg) -- Discovery Inc. plans to take legal action against the Polish government for potential breach a bilateral investment treaty with the U.S., escalating a standoff over the media giant’s television assets in the east European country.A “notice of dispute” for violating the 1990 pact between the two NATO allies was sent to President Andrzej Duda on Thursday, Discovery said in an emailed statement. A day earlier, Poland’s lower house of parliament passed legislation that -- if implement",https://finnhub.io/api/news?id=44edc80f63f2db3d0f93029a7d52f804022b69ed52d13d7c62fae65746310a5c
company,1628791200,"Discovery, Inc. to Charge the Government of Poland with Violations to the US-Poland Bilateral Investment Treaty",69640391,https://s.yimg.com/uu/api/res/1.2/B4qpo.dMgA4aKLIwlHlwKg--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/25fcc77eea5076f717ec9b919129bfeb,DISCK,Yahoo,"Discovery, Inc. today announced that it has formally notified the Polish government that it will take legal action under the bilateral investment treaty between the United States of America and the Republic of Poland.",https://finnhub.io/api/news?id=5d1657a1ffbafa240ef2ab5777f442ee811c54163310e0365ee81344c5543668
company,1628776800,"Discovery, Inc. to Charge the Government of Poland with Violations to the US-Poland Bilateral Investment Treaty",69652942,,DISCK,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=dae32e29582a90112023e321731a10594ca5c7756a522804084eaa24a026ef66
