category,datetime,headline,id,image,related,source,summary,url
company,1629097200,"My Oh My, 3 Strong Buys (Back-To-School Edition)",69678213,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1256524224/medium_image_1256524224.jpg,DLR,SeekingAlpha,"Analysts who can understand a REIT's balance sheet, liquidity, and cash flow can easily screen for the best ideas. See our 3 Strong Buys in the equity REIT sector.",https://finnhub.io/api/news?id=4aaf64601f98589cd3a1397e00b9c5f3399a4072a966ec4b397d103fe290baa6
company,1629088740,"Banco de Sabadell, S.A Buys Prologis Inc, Goldman Sachs Group Inc, Newmont Corp, Sells Microsoft Corp, Amazon.com Inc, Apple Inc",69695088,,DLR,GuruFocus,,https://finnhub.io/api/news?id=3beea120907065a9d93a34f6bf99652ebf033ce5e260034b2318d02a91ef5589
company,1629026100,3 High-Yield Dividend Stocks Perfect to Own When the Market Crashes,69675859,https://s.yimg.com/uu/api/res/1.2/S.phS1A_3FdXmKtd_nFceA--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/25316e619cb8882e9d18415f0e733f5c,DLR,Yahoo,"Experienced investors know that it's almost impossible to time stock market crashes with a high level of consistency.  Keith Noonan: Broadcom (NASDAQ: AVGO) provides wireless connectivity chips used by Apple and other mobile hardware producers, and it's also a rising player in the infrastructure and security software markets.  The stock pays a dividend yielding roughly 2.9%, and the company is trading at roughly 17.5 times this year's expected earnings.",https://finnhub.io/api/news?id=c85831cffeef7e2fc90510cfa23485a7bbb300908e3ae58693d4949d1ef63a93
company,1628924400,"Boston Beer May Be A 'Sin Stock,' But As Momma Said, Everything In Moderation",69666133,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1148287453/medium_image_1148287453.jpg,DLR,SeekingAlpha,"For Boston Beer, the bubble has popped, and in spectacular fashion too, leaving room for wiser investors to take advantage.",https://finnhub.io/api/news?id=53252183d792bd3a65bb43a47fe315646e95b3a63e73ce5dcbfa6ab351e8d6a8
company,1628873340,"Digital Realty Trust Inc. stock rises Friday, outperforms market",69661100,https://images.mktw.net/im-220105/social,DLR,MarketWatch,"Shares of Digital Realty Trust Inc. rose 1.00% to $159.10 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=2b5f4888c2cdf9f4f959f26a382cf38ca19e5beeaab58f076b89f9bc44123128
company,1628786940,"Digital Realty Trust Inc. stock rises Thursday, outperforms market",69644627,https://images.mktw.net/im-220105/social,DLR,MarketWatch,"Shares of Digital Realty Trust Inc. inched 0.68% higher to $157.52 Thursday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=7696a9530687cec9c61803a4f02bd284e9a834dccb16492877e7be035406c64f
company,1628740500,Cowen to hold a hybrid summit,69632728,,DLR,Thefly.com,"7th Annual Communications... AKAM, AMT, CBRE, CCI, CCOI, CNSL, CONE, COR, CRNT, CYXT, DBRG, DLR, EQIX, EQT, FYBR, IRM, LLNW, LUMN, MGPPF, NXDCF, SWCH, UNIT, VZ, ZAYO",https://finnhub.io/api/news?id=4c7ff86fb7893bb7390174c92f3acd947d57e86ceb40a3788a9128ed4a99798c
company,1628723520,Digital Realty Declares Quarterly Cash Dividend For Common And Preferred Stock,69624730,https://s.yimg.com/uu/api/res/1.2/Yfry0PNnK9xpEyzPRH.NNQ--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/8eb77d99b19ff108388e193b3405bcc3,DLR,Yahoo,"Digital Realty (NYSE: DLR), the largest global provider of cloud- and carrier-neutral data center, colocation and interconnection solutions, announced today its board of directors has authorized quarterly cash dividends for common and preferred stock for the third quarter of 2021.",https://finnhub.io/api/news?id=cb3389702e9391ae1388803e8ce025c50e1003c0ab9bca912a31db2b91ec5535
company,1628709120,Digital Realty Declares Quarterly Cash Dividend For Common And Preferred Stock,69635552,,DLR,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=00a4a9b90390dc9c22be359fec7ef4f9bde6413436dbc037c588a3eaed9c9d64
company,1628700540,Digital Realty Trust Inc. stock outperforms competitors on strong trading day,69644628,https://images.mktw.net/im-220105/social,DLR,MarketWatch,"Shares of Digital Realty Trust Inc. advanced 1.35% to $156.46 Wednesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=6710f17313ab9f5e760078cc55db8d3aa26d8a0579865a863f5c6df10c42c99b
