category,datetime,headline,id,image,related,source,summary,url
company,1629185266,XLI: Industrials Dashboard For August,69692689,,DOV,SeekingAlpha,,https://finnhub.io/api/news?id=525c507fc375be237b769e39d04f531f8dfe850f2c84617547754c9bc6fc2a64
company,1629123362,Here's Why it is Worth Investing in Altra Industrial (AIMC) Now,69682999,https://s.yimg.com/uu/api/res/1.2/vB.HJvKdFO4Ax4yTYK1FiA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/45c0d5e8bd5bbfd251a6ea5650d069eb,DOV,Yahoo,"Altra Industrial (AIMC) is poised to benefit from strength across end markets, healthy liquidity position and shareholder-friendly policies.",https://finnhub.io/api/news?id=bcaba1ba552b3b4d5e5f71d6f18465a454dcaf1bb027daea0bdf1ca00e44ab69
company,1629110340,"Segall Bryant & Hamill Buys Coty Inc, Dover Corp, Fidelity National Information Services Inc, Sells CoStar Group Inc, Chipotle Mexican Grill Inc, Magellan Health Inc",69694621,,DOV,GuruFocus,,https://finnhub.io/api/news?id=bbd5b790349591b692036eb296b518b25107c212e924114e46bd6e882ffb64f8
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,DOV,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
company,1628873340,"Dover Corp. stock falls Friday, underperforms market",69665296,https://images.mktw.net/im-220105/social,DOV,MarketWatch,"Shares of Dover Corp. slumped 0.24% to $171.64 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=ee786fd286f4d35ffda695308836fd0b7fcebe6d46ee78c8332c03f0469b3306
company,1628786940,"Dover Corp. stock falls Thursday, underperforms market",69665297,https://images.mktw.net/im-220105/social,DOV,MarketWatch,"Shares of Dover Corp. slipped 0.25% to $172.06 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=82e8105503762c97648c1409ccc02996a803965e2b6f2ed4771601fc7e356a4d
company,1628777462,Nordson's (NDSN) Board Approves 31% Hike in Dividend Rate,69636690,https://s.yimg.com/uu/api/res/1.2/.dW.cd4Vv8iT3TJeiy1QDQ--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/fad3598b3671179e980851ca7dbb1357,DOV,Yahoo,Nordson (NDSN) rewards shareholders with hiked quarterly dividends. The move is in sync with its shareholder-friendly policies.,https://finnhub.io/api/news?id=f1128d7783de6872826ae67fffb7cd5d49db5cc95b9ba6a807088839af41aab0
company,1628712900,Hydro Systems Enhances Food Safety with DMx Warewash Dispenser,69624112,https://s.yimg.com/uu/api/res/1.2/Q64cif05VI1szQnNO73Alg--~B/aD0xMzI7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/31ac07d15731fbc6e49bbbec8f676dc1,DOV,Yahoo,"Hydro Systems, part of PSG and Dover (NYSE: DOV), today announced the launch of the DMx, a smart and durable warewash dispenser that enhances food safety compliance in commercial kitchens and restaurants. Featuring secure data transmission via Hydro Connect, a cloud-based Internet of Things platform, DMx helps prevent unauthorized users from accessing the dispenser and provides valuable operational data to help facilities run more efficiently.",https://finnhub.io/api/news?id=e071ad22fd66c67683e8c08413f354ad05a3288356c132cba60dbf3d35382af0
company,1628700540,Dover Corp. stock underperforms Wednesday when compared to competitors despite daily gains,69665298,https://images.mktw.net/im-220105/social,DOV,MarketWatch,"Shares of Dover Corp. inched 0.43% higher to $172.49 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=7081480431210f17bf9f3e19a935d64a8d8e1b626f4585f5480eff30d40df37b
company,1628698500,Hydro Systems Enhances Food Safety with DMx Warewash Dispenser,69637538,,DOV,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cc1b4174f80d5c0e9e0370d85ae0b8b7891eb341681f720719e7cf4cc1bd4478
