category,datetime,headline,id,image,related,source,summary,url
company,1629172500,Stephens to hold an investor plane trip,69698147,,DRI,Thefly.com,"Restaurant Investor Plane... DPZ, DRI, PZZA",https://finnhub.io/api/news?id=438089f6fcbf0253a7f5fae9d9ead82664b2e98221462e555a18254d4438e0c5
company,1629150609,Darden Restaurants (DRI) Stock Sinks As Market Gains: What You Should Know,69686495,https://s.yimg.com/uu/api/res/1.2/132juehTNIyEUn7pK7.GPA--~B/aD01MDY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3d7c5b2146ac04ffd51752e17ff2a619,DRI,Yahoo,"Darden Restaurants (DRI) closed at $140.22 in the latest trading session, marking a -1.25% move from the prior day.",https://finnhub.io/api/news?id=3f303dc52adebaf6db9b4fda9044b9f3c5eda1e75faa2fb0f65fcecff62968c1
company,1629132600,"Darden Restaurants Inc. stock falls Monday, underperforms market",69685778,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. slipped 1.25% to $140.22 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=0c34144f94762f9924b9cbd6f4bcffd2d0990ff7d686d90fbe2b9fad4e57b73f
company,1629110340,"Trexquant Investment LP Buys Salesforce.com Inc, EOG Resources Inc, Nike Inc, Sells PayPal Holdings Inc, Apple Inc, Tesla Inc",69698898,,DRI,GuruFocus,,https://finnhub.io/api/news?id=3c27286feb1bcc3d55d7baf5243351de3eaf34697242cb1d472cd22dea75108c
company,1629103200,Unusually active option classes on open August 16th,69679800,,DRI,Thefly.com,"Unusual total active opti... PAYA, LIT, DRI, SONO, OTLY, UPST, NUE, WMT, MVIS, PFE",https://finnhub.io/api/news?id=093eb973f4477db129809a2aeff7d5b80784b3794e39994ee5747e1651f6b1d4
company,1629101340,Stephens to hold an investor plane trip,69681506,,DRI,Thefly.com,"Restaurant Investor Plane... DPZ, DRI, PZZA",https://finnhub.io/api/news?id=7e683a0d4cd85b8ed711415fd7a56e8d72866eca96a631e0500c07c8cfa1b5b1
company,1628873400,"Darden Restaurants Inc. stock rises Friday, still underperforms market",69662728,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. inched 0.02% higher to $141.99 Friday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=3b025d192aeb3df2fefc7e7492ca810eac44eeab2c9bd9d37ed184d68099631d
company,1628848800,What former YUM! CEO learned from the ‘epic fail’ of Crystal Pepsi,69650905,https://s.yimg.com/ny/api/res/1.2/zfVsXd.SbHvWxYiXE033XA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTI1/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/12/6115675533777a63f0e262b6/6115675533777a63f0e262b7_o_U_v2.jpg,DRI,Yahoo,"Former YUM! Brands Chairman & CEO, David Novak, joins 'Influencers with Andy Serwer' to discuss the creation of Crystal Pepsi in the early 1990s.",https://finnhub.io/api/news?id=ccf19817e612fa115de765f413b140b55b7c61b31d2e6958a88e9541123d878c
company,1628787000,Darden Restaurants Inc. stock outperforms competitors on strong trading day,69662731,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. inched 0.62% higher to $141.96 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=70ee978f29f8386fbe09f9d9c5094877b07f80c57cf126ecb6c90e65cdac50a4
company,1628780855,Gov't stimulus is 'keeping people from working': Fmr YUM! Brands CEO,69634614,,DRI,Yahoo,"David Novak, host of 'How Leaders Lead' podcast, joins 'Influencers with Andy Serwer' to discuss the health of the U.S. labor market.",https://finnhub.io/api/news?id=4fad869f38796da9cae3d6d2af16f650208e2eab0ce6292bd94c641d1c3ecd13
company,1628762400,Influencers with Andy Serwer: David Novak,69631009,https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/11/6114408e8346ba1f67fab1ac/6114408e8346ba1f67fab1ad_o_U_v2.png,DRI,Yahoo,"In this episode of Influencers, Andy is joined by David Novak, former Chairman & CEO of YUM! Brands, as they discuss the U.S. economic recovery, the power of ‘purposeful recognition’ in leadership, and David's experience running one of the largest fast-food companies in the world.",https://finnhub.io/api/news?id=27421329d4d83158b9d70e135df40bb8790b33b19f814b1ffa32b6c9e96417bd
company,1628700540,Darden Restaurants Inc. stock outperforms market on strong trading day,69662732,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. inched 0.62% higher to $141.09 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=79178cd0c22fd4fdf9ea378f5412252f314767776c5b30ad5396b4040834bf48
company,1628690313,What all great leaders have in common,69614576,https://s.yimg.com/ny/api/res/1.2/vmPsgy3Xesg7b4pwEf6pOQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0yODE2/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/11/6113d78c33777a63f0e25bcb/6113d78c33777a63f0e25bcc_o_U_v2.jpg,DRI,Yahoo,"Former YUM! Brands Chairman & CEO, David Novak, joins 'Influencers with Andy Serwer' to discuss common characteristics among all great leaders",https://finnhub.io/api/news?id=404e8ff6572aba80cdb63aa091b90ad07a9932c2cfe231b9856cf0416f0754df
company,1628632209,Darden Restaurants (DRI) Outpaces Stock Market Gains: What You Should Know,69607047,https://s.yimg.com/uu/api/res/1.2/d6hN0_BhikrNdWTnix6fng--~B/aD03NDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7853de8d69faeccb7d1ad6ebba40b8a2,DRI,Yahoo,"In the latest trading session, Darden Restaurants (DRI) closed at $140.22, marking a +1.44% move from the previous day.",https://finnhub.io/api/news?id=7d001886c6613c1e1e61158dc100b5f166ea30a56ef7490cd1e91c665f766ae6
company,1628614200,"Darden Restaurants Inc. stock rises Tuesday, outperforms market",69662734,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. rallied 1.44% to $140.22 Tuesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=66d5dd25ffaea3940082f42b4ef481ab1137ad719e8231026cb0f4d52f10a426
company,1628527800,Darden Restaurants Inc. stock underperforms Monday when compared to competitors,69662735,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. shed 4.47% to $138.23 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=f313b61b87ab24d432b32c622a965ca323f6179ed299fc10d768fbb12602cc7a
company,1628520000,How Higher Costs Could Hobble Darden Stock’s Rebound,69582380,https://s.yimg.com/uu/api/res/1.2/O7PDlU1_IUJIL49czl_UJw--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/be7f1e23a265ae8782dc48a6ffb2f466,DRI,Yahoo,"Evercore ISI's David Palmer downgraded the stock, citing the pressure that higher wages and rising food costs are putting on the restaurant chain.",https://finnhub.io/api/news?id=9c212cee4fe79e1e22e1d17b6c0b27b04ec74f5329ea7f43d544a0c9cc2ca0ba
company,1628512760,"Stocks making the biggest moves midday: Tesla, Coinbase, Tyson Foods and more",69584380,https://image.cnbcfm.com/api/v1/image/106914845-1626917249888-gettyimages-1231348679-ks_20210129_tsl_003.jpeg?v=1626917106,DRI,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=1c31f2ec90cdf18d952379e6671d4e1e64eaf9d3d884174fedd6bdeb8be46c1a
company,1628507340,3 Restaurant Stocks for the Economic Reopening Trade,69595371,https://investorplace.com/wp-content/uploads/2020/07/restaurant-stocks.jpg,DRI,InvestorPlace,"Restaurant stocks were hit hard by the Covid-19 pandemic. As they start to recover, these three stocks look ready to soar again.",https://finnhub.io/api/news?id=40477ab3770bb63e2794e3635a05032d64455dab2e8b1314fa02ecd328a1b800
company,1628504520,How Higher Costs Could Hobble Darden Stock’s Rebound,69662736,https://images.barrons.com/im-382444/social,DRI,MarketWatch,"Evercore ISI's David Palmer downgraded the stock, citing the pressure that higher wages and rising food costs are putting on the restaurant chain.",https://finnhub.io/api/news?id=eee78ba60a57457609e6cb1d675ad730bbc914166c4319dfc57e352453dc58ad
company,1628499360,Fly Intel: Top five analyst downgrades,69578950,,DRI,Thefly.com,"Catch up on today's ... ATVI, DLTR, WYNN, DRI, DRNA",https://finnhub.io/api/news?id=63971eed3b6c744c0b4260ffc0f4d6282d96541c7a36ddbba303894f58ff1941
company,1628496900,"Monday’s Top Analyst Upgrades and Downgrades: Activision, AMD, Beyond Meat, Darden, Dollar Tree, DraftKings, HP, Tesla, Victoria’s Secret and More",69578951,https://247wallst.com/wp-content/uploads/2020/04/imageForEntry1-Qgh.jpg,DRI,247WallSt,"Monday’s top analyst upgrades and downgrades included Activision Blizzard, Advanced Micro Devices, Beyond Meat, Darden Restaurants, Dollar Tree, DraftKings, HP, Tesla and Victoria's Secret.",https://finnhub.io/api/news?id=a3cab873b3e63694b89b3b8c5f7257517a87c17bc202aa56363af5f1ed67baf1
company,1628496587,"Tesla, Sanderson Farms Rise Premarket; Exxon Mobil Falls",69577736,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,DRI,Yahoo,By Peter Nurse,https://finnhub.io/api/news?id=ab1661966315df4e2fbfbd6362de51ee43c55b5a5cea248a5a6418e440a86e5d
company,1628496300,Cracker Barrel: Valuation Finally Starting To Improve,69577175,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/542700830/medium_image_542700830.jpg,DRI,SeekingAlpha,"Cracker Barrel stock (CBRL) has massively underperformed the restaurant group and S&P 500 by >125% since Q1-2016. With reasonable valuation and decent dividend yield, is CBRL a buy now?",https://finnhub.io/api/news?id=891ccb51960e95fd9f1c765b5c1cbf55208783f45d29d288a750a3ba51993640
company,1628494800,"Tesla, Sanderson Farms Rise Premarket; Exxon Mobil Falls By Investing.com",69578372,https://i-invdn-com.investing.com/news/LYNXMPEDB60X0_L.jpg,DRI,Investing.com,"Tesla, Sanderson Farms Rise Premarket; Exxon Mobil Falls",https://finnhub.io/api/news?id=982b781571da65ab8dfdeff2ed3c60c7c64d886d465d13b4881169102a4603dd
company,1628487960,Darden downgraded to In Line from Outperform at Evercore ISI,69580481,,DRI,Thefly.com,Evercore ISI analyst Davi... DRI,https://finnhub.io/api/news?id=edc76ce455d4ed9dff8ebce2647a32baac9004343587e043d50ed6c3b5f6169c
company,1628486580,Darden downgraded to In Line from Outperform at Evercore ISI,69580482,,DRI,Thefly.com,Evercore ISI analyst Davi... DRI,https://finnhub.io/api/news?id=427154f269a46f0aafd8fd9f05fcbe5955912988059d26bda73a57994d05a55b
company,1628481360,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.30% By Investing.com,69594364,https://i-invdn-com.investing.com/news/LYNXMPEA6D0QO_L.jpg,DRI,Investing.com,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.30%,https://finnhub.io/api/news?id=18847a50a85a54cec5a8444a3fca2d4c9414e9e488009370828f3d6a19bcfba9
company,1628480220,Wall Street in Fives - Must Read Lists for Monday,69594228,https://image.thefly.com/catalog/201904/img_457.jpg,DRI,Thefly.com,"Five top five lists with the news and calls moving stocks, powered by The Fly. DKNG, GNOG, BAMR, BAM, AMAT, SAFM, TSN, USFD, TSLA, DLTR, ATVI, AMD, DRI, AMZN, AAPL, NTES, WMT, PENN, MVST, BNTX, KNDI, AXSM, BLUE, EPZM, ZI, RDNT, SGMS, ELAN, WKHS, TTD",https://finnhub.io/api/news?id=353b0fb498fe405608aa37495bab0ce1cdf432bea859f7ed350de81feccfacc9
company,1628268600,"Darden Restaurants Inc. stock rises Friday, still underperforms market",69556313,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. inched 0.16% higher to $144.70 Friday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=f33ddbcf6bda82da5c023b300e321919fb67bf2917cb8e867a308112c31e3f20
company,1628182200,"Darden Restaurants Inc. stock falls Thursday, underperforms market",69533326,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. slipped 1.32% to $144.47 Thursday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=e450887b8003bdd259cd7a996a4b5696aada058f5102787d05eb45ef4657a93c
company,1628120156,Darden: A Solid Buy-The-Dip Candidate,69507725,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1231953351/medium_image_1231953351.jpg,DRI,SeekingAlpha,Darden released its Q4 2021 results in June. I see it as a top-3 name in the restaurant sector to buy on dips. See here what price would be wise to chase the stock.,https://finnhub.io/api/news?id=b0256ed6b66e17f8b13e3fac6847b524d5cd8fff1e074f35c58466e271bcc482
company,1628095800,Darden Restaurants Inc. stock outperforms competitors despite losses on the day,69503223,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. slid 0.29% to $146.40 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the...",https://finnhub.io/api/news?id=b314df81d0b00a6ec9e8251785e9adec260a488ef3bd4c07f9c6f4716a49b68e
company,1628071620,7 of the Best Restaurant Stocks to Buy Now as They Begin to Recover,69514971,https://investorplace.com/wp-content/uploads/2020/07/restaurant-stocks.jpg,DRI,InvestorPlace,"Restaurant stocks like RUTH stock were punished as the pandemic resulted in lockdowns and emptied offices, but they are poised for a comeback.",https://finnhub.io/api/news?id=07e4031d6c3c6b603e4b190a46d9913eb9d2fe556c332217df81064bf5e8cf3a
company,1628064780,High Yield Dividend Stocks For August 2021,69487741,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/480761398/medium_image_480761398.jpg,DRI,SeekingAlpha,There are 24 High-Yield Dividend Stocks on the August 2021 watchlist. The watchlist gained 1.54% in July and is up over 37% since November 2020. Read more here.,https://finnhub.io/api/news?id=63ad8ee834ddc461b2dc0f6c7cbab405bb0555987b8c489a2b1afa73b9d6c9c1
company,1628009400,Darden Restaurants Inc. stock outperforms competitors despite losses on the day,69503224,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. slumped 0.60% to $146.83 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=035e64af5494d24463cd576d747cd5d8b5db9498aacd3fcd7a390738cd3ef067
company,1627990440,3 Stocks Insiders Are Buying,69469741,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,DRI,Benzinga,"When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go...",https://finnhub.io/api/news?id=de699172b05130ee89ea1553ccf9da698950dce7f7e124ffba53ca44d0325c9a
company,1627987920,NYC Mayor Bill de Blasio to mandate COVID vaccine for certain indoor activities,69470429,,DRI,Thefly.com,"At a press conference Tue... SHAK, PTON, PLNT, YUM, DRI, CMG, QSR, EAT, MCD, WEN, SBUX, LYV",https://finnhub.io/api/news?id=a5cecf163565c5c7e245799fc35db19b801d65f963b4acbfe8bec9470bfcd8fb
company,1627987140,"Hallmark Capital Management Inc Buys Darden Restaurants Inc, Affiliated Managers Group Inc, CoreSite Realty Corp, Sells eBay Inc, T. Rowe Price Group Inc, Quest Diagnostics Inc",69470665,,DRI,GuruFocus,,https://finnhub.io/api/news?id=94e88dcaafd6fdc8b533aadf38686025364c65bb20fedf136e0e38dd98d0ce10
company,1627985760,"Darden Restaurants Inc (DRI) President and COO Ricardo Cardenas Sold $783,188 of Shares",69491440,,DRI,GuruFocus,,https://finnhub.io/api/news?id=0ffe2742b3aeaaaff3b6facd4ecf2f15c8ba867a9e2571c47e0d0b418461c793
company,1627941009,Darden Restaurants (DRI) Gains As Market Dips: What You Should Know,69457487,https://s.yimg.com/uu/api/res/1.2/xopQugjeNyS1VO21qlHkcQ--~B/aD02NzU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3cb5117fc22f5e37890d1860dcd61f9f,DRI,Yahoo,"In the latest trading session, Darden Restaurants (DRI) closed at $147.71, marking a +1.25% move from the previous day.",https://finnhub.io/api/news?id=40ed37f29fb560b0c020216317eef02e79d69e8c66ba591770f38f597c4146a3
company,1627923000,Darden Restaurants Inc. stock outperforms competitors on strong trading day,69458098,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. rose 1.25% to $147.71 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=4fb9eb7fe8df0e2cdfb89d62a1cd501ec36875dc1a1cbe6099b0e33f72b842ff
company,1627895760,Darden Restaurants Inc (DRI) Chairman and CEO Eugene I Jr Lee Sold $4.6 million of Shares,69465042,,DRI,GuruFocus,,https://finnhub.io/api/news?id=97219cbf4ed6fca5292637c78167d6ad6d4ed617ce6fe867c0604d27ca501302
company,1627742700,3 Dividend Stocks to Buy Before Their August Payout Raise,69422011,https://s.yimg.com/uu/api/res/1.2/MYfG0tLnX7Za6.lpcom96Q--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/3b42799266f31fd0eb14d256388508dc,DRI,Yahoo,"Dividend hikes are positive signals for investors, and not just because they promise an imminent income boost.  Companies that raise their payouts are often flush with cash and enjoying improving growth opportunities that can deliver market-thumping returns to shareholders.  Before 2018, Kroger stock was a Wall Street darling.",https://finnhub.io/api/news?id=8507e6ac0c86999de20a277c3fb00b9217bbc78358fa663a711e1f70b7beab42
company,1627663800,"Darden Restaurants Inc. stock falls Friday, underperforms market",69458099,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. slid 2.90% to $145.88 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=5f394ef78078cda53e3b4ce2a4e6db0f5cca72772de0174fb4118183ed44b584
company,1627635600,How US fast food chains can raise wages without raising prices,69407046,https://s.yimg.com/uu/api/res/1.2/AXI14MG0hekXCyvddzIBZA--~B/aD0zNTg7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/quartz.com-nonhosted/48f2cc3ae2e754160a13b8e4117817af,DRI,Yahoo,"Wage increases at fast food chains like McDonald’s and Chipotle have largely solved their labor shortages, according to the companies’ latest earnings calls.  The staffing challenges in the US are “getting better,” said Chris Kempczinski, McDonald’s CEO, on a conference call with analysts and investors July 28.  In May, the chain said it was raising hourly wages for its US company-owned restaurants by 10% over the next several months, where entry-level workers will make $11 to $17 per hour, and shift managers will make $15 to $20 an hour, based on location.",https://finnhub.io/api/news?id=49230e9418917e13c340924ac9805b746ef61c15d9cacf246cfc10038031f6a5
company,1627577400,"Darden Restaurants Inc. stock rises Thursday, outperforms market",69403090,https://images.mktw.net/im-220105/social,DRI,MarketWatch,"Shares of Darden Restaurants Inc. rose 1.37% to $150.23 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=b7802845b1d6f5d8a7e7822e08851455d02d65dda0faa781d6356bd70ffa3194
company,1627542170,Is Darden Restaurants (NYSE:DRI) A Risky Investment?,69381284,https://s.yimg.com/uu/api/res/1.2/Lvd_lXQD0CnLIwypMB0Chg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/5bcbcb810206bcc5d4f98bf0187f8a6c,DRI,Yahoo,"Legendary fund manager Li Lu (who Charlie Munger backed) once said, 'The biggest investment risk is not the volatility...",https://finnhub.io/api/news?id=32825f906b05aafb91e1b0619cfd19bf133445b1fcd9ae5655cbaf5de9593774
