category,datetime,headline,id,image,related,source,summary,url
company,1629135425,Xcel Energy (XEL) Strong on Capex and Clean Energy Plans,69685211,https://s.yimg.com/uu/api/res/1.2/NTnn361PUEIHnnwPS0IyXQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b972538d06b5d0822d7c949e71fc1dd1,DTE,Yahoo,Xcel Energy's (XEL) strategic investments and focus on clean energy will further strengthen its existing operations.,https://finnhub.io/api/news?id=1cc4e712d052075b9e6e7623209dbdc679e3adfe543719efda22540d29b543ba
company,1628872200,DTE Energy Co. stock outperforms market on strong trading day,69672759,https://images.mktw.net/im-220105/social,DTE,MarketWatch,"Shares of DTE Energy Co. inched 0.29% higher to $120.30 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=1051b364ca7ab67c7598ede8b19c865696e26e14b1c3e502ffab9acd1a626e92
company,1628838960,GLOBAL BROKER RATINGS: DZ Bank upgrades RWE to Buy from Hold,69651902,,DTE,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b975deba40e00d0fb619e3e1df847baee74820ee217c75bb55dd69bcb4b5a846
company,1628785800,"DTE Energy Co. stock falls Thursday, underperforms market",69672760,https://images.mktw.net/im-220105/social,DTE,MarketWatch,"Shares of DTE Energy Co. dropped 0.19% to $119.95 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=db470e160e2d9e6eac5029dfabe8bf0bc4cb831b0374e3d4f31ce3e7d9c7acdb
company,1628769120,LONDON MARKET CLOSE: Ex-dividend stocks weigh on FTSE amid DAX record,69635787,,DTE,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6194ae7a317f2a20d0b945b5d7e2b9cdd31e18d09360f25b950aa6710e78c654
company,1628766780,IN THE KNOW: Barclays upbeat on Deutsche Telekom after guidance hike,69634540,,DTE,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=04d0912b0060a631b1ad07da87e8cf58f2bf2d00b82142397a7d254c3b7d5217
company,1628738280,LONDON BRIEFING: UK economy continues post-pandemic rebound,69632926,,DTE,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2dfdf84a9543735efe35f97d193b83eb5a6ea7cd9991951e1da44fc728b8cfd9
company,1628733600,TOP NEWS: Deutsche Telekom lifts full-year guidance again,69633617,,DTE,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0f9a8370d4d89d2deaa0bccbec4d6ca28636584c37ab0e1567d92f467f29a220
company,1628727780,GLOBAL BRIEFING: US lawmakers eye crack down on app stores,69633385,,DTE,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=06de4101ec56ed90345a5a0504f3e81f4dcec78f74826925e7e44096cd67e17c
company,1628699400,"DTE Energy Co. stock rises Wednesday, still underperforms market",69672761,https://images.mktw.net/im-220105/social,DTE,MarketWatch,"Shares of DTE Energy Co. inched 0.15% higher to $120.18 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=254512c531dc034ef984eb19dd7fcc0c7c67da2a0ef70ea5cdfb8b5a7075687f
company,1628687881,"OGE Energy (OGE) Q2 Earnings Top Estimates, Revenues Rise Y/Y",69619622,https://s.yimg.com/uu/api/res/1.2/k801.RUJ07Ee7atwPd.DSQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f54f709ae65e32f6086a21eeef8d44f3,DTE,Yahoo,"OGE Energy's (OGE) Q2 sales amount to 6.9 million megawatt-hours (MWh), slightly up from 6.8 million in the prior-year quarter.",https://finnhub.io/api/news?id=6330813ef70b82c5b1bbd316c886367b6271b9696572b7e7f6c426e3559e386c
company,1628613000,"DTE Energy Co. stock rises Tuesday, still underperforms market",69672762,https://images.mktw.net/im-220105/social,DTE,MarketWatch,"Shares of DTE Energy Co. inched 0.08% higher to $120.00 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=8a69687d9d09a16604d288de3d5b5bdb285d580c471470d1bf5072a97c381146
company,1628526600,"DTE Energy Co. stock rises Monday, outperforms market",69587568,https://images.mktw.net/im-220105/social,DTE,MarketWatch,"Shares of DTE Energy Co. inched 0.27% higher to $119.90 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=4edf7456171efdd641eec59482a97699598fe671c0eca9cd3cd7f55426723fdb
company,1628517240,"DTE Energy Foundation awards $80,000 in grants to Michigan-based nonprofits and offers DTE Energy volunteers to bolster communities",69580144,https://s.yimg.com/uu/api/res/1.2/VHyUT69O1IzO_Zv2NUF2Og--~B/aD0yMDU7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/1ac4c442f79bb3d1103b2096ebeba161,DTE,Yahoo,"DTE and its Foundation expands commitment to partners, communities and employees through Your Cause, Your Choice contestDetroit, Aug. 09, 2021 (GLOBE NEWSWIRE) -- DETROIT, Aug. 9 2021 – The DTE Energy Foundation has awarded eight Michigan-based nonprofits each a $10,000 grant and the option for DTE employee volunteers. The Your Cause, Your Choice contest is one way the company is demonstrating its commitment to community investment and development, committing energy to the community and building",https://finnhub.io/api/news?id=3dc84702dad10775d21a83a56cd849d51a1895b09c54dc2e4b10f7cee85e8c21
company,1628507100,Global company events calendar - next 7 days,69580162,,DTE,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1a7bc0f9e953f78a6753afae5452a2e8ceacdf05feb667423abe987f5bc137a4
company,1628502840,"DTE Energy Foundation awards $80,000 in grants to Michigan-based nonprofits and offers DTE Energy volunteers to bolster communities",69580692,,DTE,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a3dff6329e7d9331bdd354a8605c5816767e8f6c2af0c5c0dd3976c903839790
company,1628267400,DTE Energy Co. stock outperforms competitors on strong trading day,69571982,https://images.mktw.net/im-220105/social,DTE,MarketWatch,"Shares of DTE Energy Co. inched 0.21% higher to $119.58 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=cf58e4ea6f38e71ed2796074e33bde6ca64f1dabe44452639e56b9d3f6adf47b
company,1628239800,DT Midstream 2Q Net Slips in First Report as Independent Company,69571513,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,DTE,MarketWatch,By Michael Dabaie DT Midstream Inc. on Friday reported its first quarterly results following its July spinoff from DTE Energy Co. The Detroit-based...,https://finnhub.io/api/news?id=b8c090015f8f7c303ae85aeb55be25ab605a04442845e9724f657eb033598556
