category,datetime,headline,id,image,related,source,summary,url
company,1629206281,Top Ranked Growth Stocks to Buy for August 17th,69695819,,DVN,Yahoo,"AN, COLM, TGLS, and DVN made it to the Zacks Rank #1 (Strong Buy) growth stocks list on August 17, 2021.",https://finnhub.io/api/news?id=0ae1a5a73b63f14ce195fda11617656ce5041c77155c0c934e108433421207a7
company,1629130440,"Tesla, Expedia fall; Sonos, Duke Energy rise",69695595,,DVN,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1fda01e752b9c8f7d81fd29d51a13552a088233a161da3a6189fdb8433d2f1c8
company,1629099540,"Frontier Wealth Management LLC Buys Devon Energy Corp, iShares MSCI Emerging Markets ex China ETF, ISHARES TRUST, Sells iShares MSCI Emerging Markets ETF, , MGP Ingredients Inc",69694154,,DVN,GuruFocus,,https://finnhub.io/api/news?id=28dd7b47f9f3292e497e3a483d5b47b01f5e703f98cde0e4589ed1cc3084b61e
company,1629097140,Three High-Yield Stocks Paying Extra Dividends,69679255,,DVN,TalkMarkets,,https://finnhub.io/api/news?id=6ad7c21461d5d68dc03ae8e8c40636208cb5d0021b438e2893ef9a4e6750ad23
company,1629088740,"Energy Opporutunities Capital Management, LLC Buys Generac Holdings Inc, Baker Hughes Co, National Energy Services Reunited Corp, Sells Quanta Services Inc, Albemarle Corp, First Solar Inc",69695414,,DVN,GuruFocus,,https://finnhub.io/api/news?id=e07fdd627213d127c28ca110af31fd96097b3430399b174366f440e29b9026c0
company,1628873400,Devon Energy Corp. stock underperforms Friday when compared to competitors,69674134,https://images.mktw.net/im-220105/social,DVN,MarketWatch,"Shares of Devon Energy Corp. shed 1.62% to $28.01 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=9760d9758a87c0f71847e4156348c53fd7144824450829636c16d6cc61f3f25b
company,1628787000,"Devon Energy Corp. stock rises Thursday, outperforms market",69647311,https://images.mktw.net/im-220105/social,DVN,MarketWatch,"Shares of Devon Energy Corp. rose 1.68% to $28.47 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7fe5d8215c2ae82e39b7c1d60272093fdec3d27ba5758c9bdb62f3a56ec75fdd
company,1628708772,Cramer thinks these stocks are bargains with the market at record highs,69645249,https://image.cnbcfm.com/api/v1/image/106835546-1612461061422-gettyimages-1300226521-dsc05933_2021020363214428.jpg?v=1628711331,DVN,CNBC,CNBC's Jim Cramer said Wednesday to look for bargain buying opportunities in a stock market sitting at all-time highs.,https://finnhub.io/api/news?id=0f111bb542c5e734d14c000916ac9bb0d3046cdba44b4919f373489a8766761a
company,1628700600,"Devon Energy Corp. stock rises Wednesday, outperforms market",69640001,https://images.mktw.net/im-220105/social,DVN,MarketWatch,"Shares of Devon Energy Corp. rose 1.27% to $28.00 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=58944bb8c6647fa161c59269f9af76dd6722c4b5c42765aa3c4d5a0cb85c4608
company,1628614200,Devon Energy Corp. stock outperforms competitors on strong trading day,69640003,https://images.mktw.net/im-220105/social,DVN,MarketWatch,"Shares of Devon Energy Corp. advanced 3.79% to $27.65 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=e08bbb95ee4e02b96c0ee4b8ac7f2d26266b4bd48255d3b8c2af5eb79587cb4c
company,1628527800,"Devon Energy Corp. stock falls Monday, underperforms market",69587632,https://images.mktw.net/im-220105/social,DVN,MarketWatch,"Shares of Devon Energy Corp. shed 1.37% to $26.64 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7f9d4fe6175d26122cce97c55e95f0f9a935dbccf6d29536f9765a188b09d76c
company,1628526600,Devon Energy: Eldorado In The West Texas And New Mexican Deserts,69585108,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/829781188/medium_image_829781188.jpg,DVN,SeekingAlpha,Devon Energy has declared a leading-edge dividend among its peers. Read why I think investors seeking growth and income should buy DVN stock at current prices.,https://finnhub.io/api/news?id=4b4d96213139906a5771eb9c65eb4602821c8fab1cb62b5dfc68db73631035d6
company,1628512760,"Stocks making the biggest moves midday: Tesla, Coinbase, Tyson Foods and more",69584380,https://image.cnbcfm.com/api/v1/image/106914845-1626917249888-gettyimages-1231348679-ks_20210129_tsl_003.jpeg?v=1626917106,DVN,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=1c31f2ec90cdf18d952379e6671d4e1e64eaf9d3d884174fedd6bdeb8be46c1a
company,1628499720,"Tesla, Berkshire, Occidental, Bitcoin: What to Watch When the Stock Market Opens Today",69585363,https://images.wsj.net/im-362738/social,DVN,DowJones,Energy companies were slipping as crude prices fell.,https://finnhub.io/api/news?id=99b601b5cef3f0a6361c1ebb958b680143971ec2c4d86e4851ff52dd41780c6e
