category,datetime,headline,id,image,related,source,summary,url
company,1629206760,IT Services Provider DXC Technology Stock Slips on J.P. Morgan Downgrade,69703108,,DXC,Yahoo,Shares of information technology services provider DXC Technology slip Tuesday after a downgrade to underweight by J.P. Morgan.,https://finnhub.io/api/news?id=9f03d67204691403ae84f40e2662d7232ff033098259b96e69070f54f06ded39
company,1629196620,A Look Into DXC Technology's Price Over Earnings,69701565,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,DXC,Benzinga," 
 
In the current market session, DXC Technology Inc. (NYSE:DXC) is trading at $38.76, after a 7.16% drop. However, over the past month, the stock spiked by 0.34%, and...",https://finnhub.io/api/news?id=2ba611205ec3b1d2e8264c9f50615770c07e8acc11b26036e83ac80c7195b8b9
company,1629192180,"Video: S&P 500 Movers: DXC, KR",69700778,,DXC,Market News Video,"In early trading on Tuesday, shares of Kroger (KR) topped the list of the day's best performing components of the S&P 500 index, trading up 3.0% - Year to date, Kroger registers a 40.8% gain - DXC,KR.",https://finnhub.io/api/news?id=653b2218c739a4102bca44b90cb86b072a3f40e98183ee18ed96d2558872006f
company,1629186960,"Tuesday’s Top Analyst Upgrades and Downgrades: Allstate, ADP, Baker Hughes, Hyatt, Lemonade, Robinhood, Suncor Energy and More",69694708,https://247wallst.com/wp-content/uploads/2019/02/imageforentry1-enb.jpg,DXC,247WallSt,"Tuesday's top analyst upgrades and downgrades included Allstate, ADP, Baker Hughes, Coupa Software, Hyatt Hotels, Lemonade, Robinhood Markets and Suncor Energy.",https://finnhub.io/api/news?id=2e31cd6fcd5e339c07e7ac3abd3bdf1130882c79a807600ee7b1489c9823381a
company,1629185700,DXC downgraded to Underweight on restructuring story at JPMorgan,69700780,,DXC,Thefly.com,JPMorgan analyst Tien-tsi... DXC,https://finnhub.io/api/news?id=77c8352e77a1ea01c97aa94ab9aa45f8001d9a9949ae381ff323b340d53630a7
company,1629173940,DXC Technology downgraded to Underweight from Neutral at JPMorgan,69700781,,DXC,Thefly.com,JPMorgan analyst Tien-tsi... DXC,https://finnhub.io/api/news?id=6fdc117a81d4480010540103935ad9fb6b9be42278ca953c8a2c692d5b84c158
company,1629085140,"Franklin Resources Inc Buys Franklin Liberty U.S. Core Bond ETF, Franklin Liberty Investment Grade Corporate ETF, AbbVie Inc, Sells JPMorgan Chase, Bank of America Corp, Rio Tinto PLC",69695207,,DXC,GuruFocus,,https://finnhub.io/api/news?id=7471403d14c81e01846e64e20b174f2b47d88554a1b146275eecff9f77aef746
company,1628873400,"DXC Technology Co. stock falls Friday, underperforms market",69667446,https://images.mktw.net/im-220105/social,DXC,MarketWatch,"Shares of DXC Technology Co. slid 0.84% to $41.23 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e56459bc7b990238b593e4c49995f27ff541b63350d5cc1129782aa27f437989
company,1628787000,DXC Technology Co. stock outperforms market on strong trading day,69646002,https://images.mktw.net/im-220105/social,DXC,MarketWatch,"Shares of DXC Technology Co. inched 0.82% higher to $41.58 Thursday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=f82de1ca5faccfa345f1e3179acd62e43e65fd1c176112fd79d419a3bd12abe9
company,1628700600,DXC Technology Co. stock outperforms market on strong trading day,69628962,https://images.mktw.net/im-220105/social,DXC,MarketWatch,"Shares of DXC Technology Co. advanced 1.90% to $41.24 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=e83207c2c39cc0e2b72f89ac187068090bfda51c23eba3ce311382b4372cb502
