category,datetime,headline,id,image,related,source,summary,url
company,1629108120,Consolidated Edison to hold a webinar,69702206,,ED,Thefly.com,"Environmental, Social &am... ED",https://finnhub.io/api/news?id=8f6b74d08b6821543f3b9a2657fcd8235c035561545c85d9cc2681b97406f6ab
company,1629090420,3 Utility Stocks to Buy For Safe Income,69679450,https://investorplace.com/wp-content/uploads/2020/08/utility-pole-aqn-1600.jpg,ED,InvestorPlace,One of the best market places for investors to find high dividend yields and stable payouts (even during recessions) are utility stocks.,https://finnhub.io/api/news?id=b9891a374f07cf55db9b0da7e3d19a044f11a6e98edc19dd1d119b97282e61f5
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,ED,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628875162,Dangerous Heat Peaks in New York as Utilities Urge Conservation,69657489,https://s.yimg.com/uu/api/res/1.2/Ze_k4RRJItHZBrXeCVrs1g--~B/aD0xMzMzO3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_markets_842/e83df72a64ac7fc9fbfe75af516968b8,ED,Yahoo,"(Bloomberg) -- A heat wave smothering the U.S. East Coast is expected to peak on Friday, setting new records in New York before a welcome cooling front rolls in.Temperatures at John F. Kennedy International Airport may reach 93 degrees Fahrenheit (34 Celsius) Friday, a record for the day and well above Thursday’s high of 88 degrees. Central Park may climb to 97 degrees.A heat advisory stretches from Virginia to the Maine-Canada border, with excessive heat warnings in place for New York as well a",https://finnhub.io/api/news?id=7ff902102aa2467fee505b0962665e852b2d1a3c29915fcbdc711f8c05740f35
company,1628873460,Consolidated Edison Inc. stock outperforms competitors on strong trading day,69677476,https://images.mktw.net/im-220105/social,ED,MarketWatch,"Shares of Consolidated Edison Inc. inched 0.63% higher to $77.74 Friday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=70627195982ddcafce290b39b3da40485d24690508d83745a2cddfd2444bd53b
company,1628845320,"82 Firms Going Ex-Dividend Next Week, Including Target, Walgreens Boots Alliance and GlaxoSmithKline",69654653,,ED,TalkMarkets,,https://finnhub.io/api/news?id=764fc56d31ba21ed6873fd91ac0cab376db1e55c60d95c332c59da41fab912f4
company,1628845200,"Ex-Dividend Reminder: Consolidated Edison, Black Hills and Ormat Technologies",69654270,,ED,Dividend Channel,"dividend channel,ED,BKH,ORA,",https://finnhub.io/api/news?id=0751d941291192d6e36da6b42e642aebd379b7cbb77404375d4c5e61aeaab0c1
company,1628782789,"Heat Bearing Down on New York to Break Records, Strain Grid",69635752,https://s.yimg.com/uu/api/res/1.2/GJ.lflURTqNg040LRWXBAA--~B/aD0xMzMxO3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_markets_842/a098448160c5e1027fffa6335221c769,ED,Yahoo,"(Bloomberg) -- Record daily temperatures are expected across the U.S. East Coast on Thursday, straining power grids and causing a “life-threatening situation” for the region.Newark, New Jersey, is forecast to soar to 99 degrees (37 Celsius), topping the Aug. 12 record of 98 degrees Fahrenheit set in 1944, while John F. Kennedy International Airport will reach 93 degrees, surpassing 92-degree mark reached in 1970, according to Jim Rouiller, lead meteorologist at the Energy Weather Group. The regi",https://finnhub.io/api/news?id=4c496ab26b594169406d4eb9653a83e1a5fb75af58cf151287041e3cb01eec2e
company,1628787060,"Consolidated Edison Inc. stock rises Thursday, still underperforms market",69677477,https://images.mktw.net/im-220105/social,ED,MarketWatch,"Shares of Consolidated Edison Inc. inched 0.17% higher to $77.25 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=3d49c59aa6bf5911480e875b13221c4add811df55da57e774e5088e28dce3463
company,1628700660,Consolidated Edison Inc. stock outperforms market on strong trading day,69624849,https://images.mktw.net/im-220105/social,ED,MarketWatch,"Shares of Consolidated Edison Inc. inched 0.94% higher to $77.12 Wednesday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=b2b14948cff6f360a26e93e59e515579dadeea30d86195962e8702f67c74fbd8
