category,datetime,headline,id,image,related,source,summary,url
company,1629175680,Equifax price target raised to $330 from $285 at Barclays,69701157,,EFX,Thefly.com,Barclays analyst Manav Pa... EFX,https://finnhub.io/api/news?id=20bedf3044f728aa07dbeec8c14a38a2b67e0129331896df461e44cec56106c9
company,1629142606,Equifax Inks Partnership With Snowflake To Make Differentiated Data Available,69687394,https://s.yimg.com/uu/api/res/1.2/CCRoJkQtNqe_8G3vt2ihrw--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/fba32c0c55f87f24b2743244d33d5090,EFX,Yahoo,"Equifax Inc. (NYSE: EFX) has partnered with Snowflake to make select differentiated data assets rapidly and securely available through Snowflake Data Marketplace. Snowflake Data Marketplace offers a frictionless data sharing experience with no data transfer or integration requirements, enabling data scientists, business intelligence, and analytics professionals access to live and ready-to-query data from Equifax for smarter decision making. Equifax's participation in Snowflake Data Marketplace i",https://finnhub.io/api/news?id=0756b4a2f806657e96c84f8261de79837bc79835d926518ab2ac3c3c5fd04cea
company,1629132660,"Equifax Inc. stock rises Monday, still underperforms market",69685787,https://images.mktw.net/im-220105/social,EFX,MarketWatch,"Shares of Equifax Inc. inched 0.23% higher to $260.71 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=c8b3836e0a6b77c8d07ca72e4a6a3abd62e1387dc32f4655e8ece748e5b08227
company,1629128160,Equifax Inks Partnership With Snowflake To Make Differentiated Data Available,69701567,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/industrial_pic_309.jpg,EFX,Benzinga,Equifax Inc. (NYSE: EFX) has partnered with Snowflake to make select differentiated data assets rapidly and securely available through Snowflake Data...,https://finnhub.io/api/news?id=50cea660093b66276f3513e25150c3d2af1719706ed0e98a8ba7aa9db3e22687
company,1629114300,Equifax Partners with Snowflake to Make Differentiated Data Available Through Snowflake Data Marketplace,69684256,https://s.yimg.com/uu/api/res/1.2/3J1mh1mQJUkZdpOkmCMZAg--~B/aD03NTt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/bb4651d6cacbdff7475ec36c4b336df8,EFX,Yahoo,"Equifax (NYSE: EFX) has partnered with Snowflake to make select differentiated data assets rapidly and securely available through Snowflake Data Marketplace. Snowflake Data Marketplace offers a frictionless data sharing experience with no data transfer or integration requirements, enabling data scientists, business intelligence and analytics professionals access to live and ready-to-query data from Equifax for smarter decision making. Customers can now leverage Snowflake's Data Cloud to rapidly",https://finnhub.io/api/news?id=a5ccbec72f3cd3aa7bb9f7dcaf8f63648e442739d84e7e00ac7813f319610f89
company,1629114300,Equifax Brings Differentiated Data to AWS Data Exchange,69684255,https://s.yimg.com/uu/api/res/1.2/3J1mh1mQJUkZdpOkmCMZAg--~B/aD03NTt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/bb4651d6cacbdff7475ec36c4b336df8,EFX,Yahoo,"Equifax (NYSE: EFX) is offering select differentiated data assets through AWS Data Exchange, an Amazon Web Services (AWS) service that makes it easy to find, subscribe to and use third-party data in the cloud. This relationship builds on the Equifax Cloud™ strategy and makes anonymized Equifax Analytic Dataset™ consumer and loan-level credit data, U.S. Consumer Credit Trends macro-level information, B2bConnect™ commercial marketing data, IXI™ economic data, and unique property and housing data q",https://finnhub.io/api/news?id=82946b8603891fe940f6e19fffab0899db9c669541522f09fdbd5e27589c332d
company,1629099900,Equifax Brings Differentiated Data to AWS Data Exchange,69680075,,EFX,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d1a1ad383d43b1df017b3bebcf96a835646d0ce42ebed44c497a93cd3037ecba
company,1629099900,Equifax Partners with Snowflake to Make Differentiated Data Available Through Snowflake Data Marketplace,69680074,,EFX,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c337a6131c134ec7a7e4ef545c8b5f4c7ff182afb7c1233ac92fdb6bf3d90c2f
company,1629096480,Equifax offers select differentiated data assets through AWS Data Exchange,69679814,,EFX,Thefly.com,"Equifax (EFX) is offering... EFX, AMZN",https://finnhub.io/api/news?id=285580e87e4e0d27fca29e01b2cca6605b351698dea876ae32773046bb681f07
company,1629096420,Equifax partners with Snowflake,69680077,,EFX,Thefly.com,"Equifax (EFX) has partner... EFX, SNOW",https://finnhub.io/api/news?id=ef4cec47c96087fe78116ac27d3511db85b86e8cdf57a5ae0bdddd883d9906fe
