category,datetime,headline,id,image,related,source,summary,url
company,1629209767,M·A·C Cosmetics Tops Fashion Journal List of Makeup Brands With the Most Inclusive Foundation Shades,69703530,,EL,Yahoo,By Tess Fisher,https://finnhub.io/api/news?id=2ea8a5048e7f4256f687ce50217630a9de3fb6616c744278bd3b019750f7e107
company,1629143407,5 Hot Retail Earnings Charts,69686704,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,EL,Yahoo,This is a big week for the retailers. These are the earnings charts you must see.,https://finnhub.io/api/news?id=e75cffef5768611da1bbabab6b03587b9b6d038d9e8f111776ff898b533e11be
company,1629132660,"Estee Lauder Cos. Cl A stock rises Monday, outperforms market",69685255,https://images.mktw.net/im-220105/social,EL,MarketWatch,"Shares of Estee Lauder Cos. Cl A inched 0.42% higher to $327.98 Monday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=9994bb71473ceaaca95af28d234af21c7280d2ae0f00da5e83664c4c8d52a4c8
company,1629101820,UK watchdog launches probe into EssilorLuxottica's buy of Lenstec,69679134,,EL,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ba3a84ff3d362ba972781304d86503a06ff7ae18e6dd9299ba7adbea4ccf6b91
company,1629096600,5 Hot Retail Earnings Charts,69694280,,EL,TalkMarkets,,https://finnhub.io/api/news?id=2d3b450a73d0f75e9af4ec8f0ccbcbdb71edec10cf20a3fa61f3dcaa3d583b19
company,1629089520,"Third Point adds SoFi, exits Equitrans in Q2",69695177,,EL,Thefly.com,"Third Point disclosed in ... S, SOFI, EDR, ZBH, PTON, ETRN, IAA, AMZN, DELL, CANO, EL, CHTR, PCG, JD, IQV, DIS",https://finnhub.io/api/news?id=1f8d0f785a6738ea1e21a6f398982ac07fb3854b3b8723492d6abdde006f3763
company,1629010304,Wall Street Breakfast: The Week Ahead (Podcast),69675105,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,EL,SeekingAlpha,Investors will get some hard reads on the U.S. consumer next week.,https://finnhub.io/api/news?id=5ba515c79b6d84a68892be2c3e23ee10bc8829bad19ea83f44c9e7d4eca3edb7
company,1629009351,Wall Street Breakfast: The Week Ahead,69675061,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,EL,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=c89e6c9b31c73b20d9a080bdb29020f4cb6872b1f2b384dfee77eea283567aec
company,1628928000,Nixon reshaped the world economy 50 years ago. Is crypto on the brink of doing the same now?,69667346,https://images.mktw.net/im-385351/social,EL,MarketWatch,Is the global economy steering toward a Bretton Woods for the digital-currency age?,https://finnhub.io/api/news?id=6444b4ebe617f8b6c07e1f88f08119cf892b588ab7136de4dcb2e93940aa225b
company,1628873460,Estee Lauder Cos. Cl A stock underperforms Friday when compared to competitors,69664450,https://images.mktw.net/im-220105/social,EL,MarketWatch,"Shares of Estee Lauder Cos. Cl A dropped 0.06% to $326.60 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=9542b374b8e655ace2f47be03b526166100b28c2c32f258974141cf9b84afca4
company,1628871904,What's in Store for The Estee Lauder Companies (EL) Q4 Earnings?,69657623,,EL,Yahoo,"The Estee Lauder Companies' (EL) fourth-quarter fiscal 2021 performance is likely to reflect strength in online business. However, pandemic-induced soft store traffic is a concern.",https://finnhub.io/api/news?id=9440032d5007345d77519ca75dbe96d5df7994f1beb287a5673692d978971e4f
company,1628866418,The rally in recovery-focused stocks could depend on consumers and the Fed in the week ahead,69661672,https://image.cnbcfm.com/api/v1/image/106921809-16280870672021-08-04t140412z_1776016708_rc2eyo9ydb4u_rtrmadp_0_usa-stocks.jpeg?v=1628087145,EL,CNBC,Investors have been dipping into cyclical and value stocks. The question is will that continue as markets face Fed minutes and fresh data on the consumer.,https://finnhub.io/api/news?id=73a878a2368619f697386c18777ab3c4afe43b3ee3dc2c3de46710fe6fc5de39
company,1628854320,10 Chinese Stocks to Buy on the Dip,69667703,https://investorplace.com/wp-content/uploads/2021/01/china-stocks-deslisting-1600.jpg,EL,InvestorPlace,ARK Invest portfolio manager Cathie Wood dumped Chinese stocks in July. Here are 10 to pick up on the dip should she decide to buy back in.,https://finnhub.io/api/news?id=3a98a1d3bc5a6234e4951876d956dc57568421371a259796d5858afc90e5c347
