category,datetime,headline,id,image,related,source,summary,url
company,1629138600,Euro Manganese files Q3 financial statements and MD&A and provides financial and operational highlights,69695744,,EMN,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e623df858bbd8d9f9f74ddcf10d318c4b88fa02b071dafb359bd984bad5e6aa7
company,1629128703,Why Eastman Chemical (EMN) is a Great Dividend Stock Right Now,69683812,https://s.yimg.com/uu/api/res/1.2/wbCMwMtKIoXj_iQA0ego4g--~B/aD01MDY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1154d43aaeb65735a640003549116295,EMN,Yahoo,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Eastman Chemical (EMN) have what it takes? Let's find out.",https://finnhub.io/api/news?id=c5f335314aa470a6036a374464787fd26048316b46d6d7373dd18889b8e8169f
company,1628877300,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Reminds Shareholders of an Investigation Concerning Possible Breaches of Fiduciary Duty by Certain Officers and Directors of Eastman Chemical Company (EMN)",69658266,,EMN,Yahoo,"New York, New York--(Newsfile Corp. - August 13, 2021) - Levi & Korsinsky announces it has commenced an investigation of Eastman Chemical Company (NYSE: EMN) concerning possible breaches of fiduciary duty. To obtain additional information, go to:https://www.zlk.com/compensation2/eastman-chemical-company-information-request-form\or contact Joseph E. Levi, Esq. either via email at jlevi@levikorsinsky.com or by telephone at (212) 363-7500. There is no cost or obligation to you.Levi & Korsinsky is a",https://finnhub.io/api/news?id=4a3dfdd82e4866cb4db760c5a092855377da6e846a86c50155ba0959298b5c26
company,1628754416,Estimating The Intrinsic Value Of Eastman Chemical Company (NYSE:EMN),69637036,https://s.yimg.com/uu/api/res/1.2/3.zqB6oo32i33ihmLdIT5Q--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/ed7b28f41a9633edb07cf3d85648ff36,EMN,Yahoo,How far off is Eastman Chemical Company ( NYSE:EMN ) from its intrinsic value? Using the most recent financial data...,https://finnhub.io/api/news?id=0ad509411fa79ce01edab9d468c5805ae42349389dc9116ca1bf22914119fff3
company,1628708212,Shareholder advocacy group goes after 'environmental racism',69622978,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,EMN,Yahoo,"A shareholder advocacy group that has successfully pushed for changes at U.S. conglomerates such as General Electric Co and American Express Co said on Wednesday it would rate companies based on their involvement in ""environmental racism,"" and pressure them for change.  The nonprofit, As You Sow, collected and analyzed data from S&P 500 companies showing what it says is the environmental impact of operations on communities of color.  It said it scrutinized their products, environmental violations and fines and corporate actions.",https://finnhub.io/api/news?id=5a2114aa385b04129494701a109d4bd80b0e0ca56623387fa4047a5a74107afb
company,1628684532,Eastman (EMN) Inks Deal to Boost P&G's Plastic Packaging,69614545,https://s.yimg.com/uu/api/res/1.2/rkRlfJUbFheDXif9qCKV2A--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/236d157ebb08cbf8ff3dbacf7ce7623b,EMN,Yahoo,Eastman (EMN) forms partnership with P&G to enhance the latter's plastic packaging and jointly contribute to a circular economy.,https://finnhub.io/api/news?id=f65ee8de31f0e5e48c174cdf12a57b0ff6f21a76f5386612f8a3887bf35f2bb6
company,1628680440,Waiting for Eastman Chemical to Restart Its Uptrend,69620336,,EMN,Yahoo,"For his final ""Executive Decision"" segment of Tuesday's Mad Money program, Jim Cramer checked in with Mark Costa, chairman and CEO of Eastman Chemical  , the chemical maker.  Costa said that Eastman has been transforming itself into an environmental technology leader.  The company now has plastic recycling agreements with 20 top consumer brands including Estee Lauder  and Procter & Gamble  .",https://finnhub.io/api/news?id=d9cf4d4394f7b8a2bd8421e83e0e880909426814f784acb40488ab524787dc24
company,1628622234,Eastman CEO touts P&G partnership as company tries to change the 'whole game' around recycling,69645525,https://image.cnbcfm.com/api/v1/image/104202091-IMG_9578.jpg?v=1628627874,EMN,CNBC,"Eastman CEO Mark Costa told CNBC's Jim Cramer on Tuesday the plastics company is trying to change ""the whole game"" around recycling.",https://finnhub.io/api/news?id=4c685df96d8d7fedb2d4f2fc83b2f59fdb6302a291051a817b10db8af80791e5
company,1628268660,"Eastman Chemical Co. stock rises Friday, outperforms market",69556288,https://images.mktw.net/im-220105/social,EMN,MarketWatch,"Shares of Eastman Chemical Co. rose 2.02% to $112.82 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=26097df9c3059af4f615539854edcb460d5e159658b0aa7e9eef49ea985d68fa
company,1628224740,"Markel Gayner Asset Management Corp Buys Regeneron Pharmaceuticals Inc, Texas Pacific Land Corp, Marvell Technology Inc, Sells Electronic Arts Inc",69562686,,EMN,GuruFocus,,https://finnhub.io/api/news?id=2cf83ee84cd33595d2c2d18d8f3bdaf750f378f7f93899ad8af72a02efcb9b2d
