category,datetime,headline,id,image,related,source,summary,url
company,1629132660,"Emerson Electric Co. stock falls Monday, underperforms market",69687846,https://images.mktw.net/im-220105/social,EMR,MarketWatch,"Shares of Emerson Electric Co. slid 0.10% to $103.64 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=a30159c9034783ebb950f415b48197e4bb3230a0f5c9392c87468a6de0f2b7df
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,EMR,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
company,1628873460,Emerson Electric Co. stock outperforms competitors despite losses on the day,69687847,https://images.mktw.net/im-220105/social,EMR,MarketWatch,"Shares of Emerson Electric Co. slipped 0.36% to $103.74 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=2f3c118383c53388ca7effbd1ae2ea959a3cbc40b3176eaa288915dd392567ba
company,1628787060,Emerson Electric Co. stock outperforms market on strong trading day,69644639,https://images.mktw.net/im-220105/social,EMR,MarketWatch,"Shares of Emerson Electric Co. inched 0.32% higher to $104.11 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=732557bae33953291999edc8d9284af5a2645c7cb519cbfb8d05f23c0cbea254
company,1628764740,"Tweedy Browne CO LLC Buys Alibaba Group Holding, Sells Bank of New York Mellon Corp, Emerson Electric Co, Morgan Stanley",69638475,,EMR,GuruFocus,,https://finnhub.io/api/news?id=75462386bf4177ef513e8e18448b3901481f28f5764db4f231a4e65bcc87feca
company,1628753760,"Empresaria expects full year profit ""significantly ahead"" of forecasts",69635779,,EMR,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f3fa31ba69398f1b4d4c2ba07a7050d5eaeeea0bacdb4dfc7348163af7ffabe1
company,1628749860,AIM WINNERS & LOSERS: Abingdon Health sinks as results disappoint,69635780,,EMR,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=8378bf6f5da75b6f6c195bdb3af6d8986fea8f19fcb0f671aaf8e6c79552d9e1
company,1628700660,Emerson Electric Co. stock outperforms market on strong trading day,69639281,https://images.mktw.net/im-220105/social,EMR,MarketWatch,"Shares of Emerson Electric Co. advanced 1.17% to $104.28 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=4eefcca67b1f82520744b5a61a618ab88f87f49dd39d82cb3466305fa8151444
company,1628614260,"Emerson Electric Co. stock rises Tuesday, outperforms market",69639282,https://images.mktw.net/im-220105/social,EMR,MarketWatch,"Shares of Emerson Electric Co. advanced 1.89% to $103.07 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=301f6d76ee791750de15bd5f8a5d9acd68d4c32fdb034975765f3b9d6fc2fe60
company,1628601450,Here are the best moves to take advantage of the Senate infrastructure plan,69607956,https://image.cnbcfm.com/api/v1/image/106924768-16286133411628613338-17967673861-1080pnbcnews.jpg?v=1628613341,EMR,CNBC,"Stephanie Link, Jim Lebenthal and Josh Brown join the Halftime Report following the $1.1 trillion infrastructure plan's passage in the Senate. Based on fundamentals, they recommend some stocks that could see a rise amid infrastructure construction.",https://finnhub.io/api/news?id=bd6816c22836d62747159e4a9039050993bceb2605bef20816aae20b2a856abb
company,1628587980,"Ex-Dividend Reminder: Emerson Electric, Stanley Black & Decker and Gorman-Rupp",69614194,,EMR,Dividend Channel,,https://finnhub.io/api/news?id=dd3b7bba772c1acaa1b289010b345a8afa59fe612b341a3cab9379531af9b45e
company,1628527860,"Emerson Electric Co. stock falls Monday, underperforms market",69590679,https://images.mktw.net/im-220105/social,EMR,MarketWatch,"Shares of Emerson Electric Co. dropped 0.28% to $101.16 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=243bba80d756abb0481c76a7402d174e0d829ed902457013284b81547c977a41
company,1628514000,"Emerson Helps Alaska’s Largest Wind Farm Provide Reliable, Affordable Clean Energy",69577858,https://s.yimg.com/uu/api/res/1.2/B2QHqTMh_PhSJreiSSljrA--~B/aD0yMTY7dz00MzI7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/bb10cf013a217423b53d177bc417f2a4,EMR,Yahoo,"PITTSBURGH, August 09, 2021--Emerson (NYSE: EMR) today announced the completion of a digital transformation project to increase the reliability of clean energy generation at Golden Valley Electric Association’s (GVEA) Eva Creek wind farm. The project improves the management of Alaska’s largest wind farm.",https://finnhub.io/api/news?id=96d6b489c4d6f975df2463a6e879f2ec9b22360407caf1ddd0e2e994d683aec4
company,1628503646,Emerson Electric (NYSE:EMR) Has Affirmed Its Dividend Of US$0.51,69587961,https://s.yimg.com/uu/api/res/1.2/OB1nfJ1XGlebSq696rWQeQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/16016486ecb815bcffeea7a1908fff4e,EMR,Yahoo,The board of Emerson Electric Co. ( NYSE:EMR ) has announced that it will pay a dividend of US$0.51 per share on the...,https://finnhub.io/api/news?id=52412bd3f27e54bd94741809fc94fb50c5a5e4c55f948f0c3e90b4dfe88d6f03
company,1628500500,"Upcoming Ex-Dividend Dates: July 6-July 19, 2021",69577883,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318526353/medium_image_1318526353.jpg,EMR,SeekingAlpha,We provide a summary of upcoming ex-dividend dates in a quick reference table. The table includes relevant data and key statistics as well as the next payout and pay date.,https://finnhub.io/api/news?id=b90b732eef4c63556e8bf5d1659a68241261a4592aaf6cbacbbc4011a06857e9
