category,datetime,headline,id,image,related,source,summary,url
company,1629208381,Here's Why You Should Retain Equinix (EQIX) Stock for Now,69703038,https://s.yimg.com/uu/api/res/1.2/9n5J.UptRJqJb47tOThHZg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/8ad39932508a62efeea9352d9940cae1,EQIX,Yahoo,"Expansion efforts will enable Equinix (EQIX) to capture increasing data-center demand. Yet, a competitive landscape and growing debt burden is worrisome for the company.",https://finnhub.io/api/news?id=e3f4324b8d949aaf070cf8c4662408b36e80051602f3e8e9bd5ecf044c7034f2
company,1629092340,"APG Asset Management US Inc. Buys Equinix Inc, Realty Income Corp, W.P. Carey Inc, Sells Kimco Realty Corp, JBG SMITH Properties, QTS Realty Trust Inc",69694526,,EQIX,GuruFocus,,https://finnhub.io/api/news?id=b85c80b74b77434bca181cc06a0fb244ee1ed53d51093a41e8f8588b54d158d3
company,1629088740,"Nli International Inc Buys Accenture PLC, PepsiCo Inc, Intel Corp, Sells American Electric Power Co Inc, Cerner Corp, Goldman Sachs Group Inc",69696655,,EQIX,GuruFocus,,https://finnhub.io/api/news?id=06cf245090f56000a2a41a2d57a93ef558c7442c26b03f3f2de0895d34d9987a
company,1628994724,Dividend Challenger Highlights: Week Of August 15,69673739,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,EQIX,SeekingAlpha,A weekly summary of dividend activity for Dividend Challengers. Companies which changed their dividends. Companies with upcoming ex-dividend dates. Companies with upcoming pay dates.,https://finnhub.io/api/news?id=76874e06ea6b8cd156c39ddbe109ecc0b58a096a6e4d022943c443714bf939b8
company,1628913360,Five Favorites In Specialized REITs,69676006,,EQIX,TalkMarkets,,https://finnhub.io/api/news?id=36157e0813fb8aaa7dbfa4f0b529a14b6099ea2d7ef6a5743d514103b3192a94
company,1628873460,Equinix Inc. stock outperforms market on strong trading day,69661849,https://images.mktw.net/im-220105/social,EQIX,MarketWatch,"Shares of Equinix Inc. inched 0.29% higher to $814.09 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=1a2c13b023d6c19f9fae9cbea43b2b03b8f7e92d66fa735228e30893688096ed
company,1628787060,Equinix Inc. stock underperforms Thursday when compared to competitors despite daily gains,69661850,https://images.mktw.net/im-220105/social,EQIX,MarketWatch,"Shares of Equinix Inc. inched 0.60% higher to $811.72 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=99e31b7544ac6a12d44da37c0828496e2e4dc595625d5747cc70711d3443f460
company,1628755620,Verizon expands global automation capabilities with Equinix,69634983,,EQIX,Thefly.com,"Verizon Business (VZ) is ... VZ, EQIX",https://finnhub.io/api/news?id=5e294b95a742099a347559c69aebc1d46ce9de047c91a1f04547edaf8c922734
company,1628740500,Cowen to hold a hybrid summit,69632728,,EQIX,Thefly.com,"7th Annual Communications... AKAM, AMT, CBRE, CCI, CCOI, CNSL, CONE, COR, CRNT, CYXT, DBRG, DLR, EQIX, EQT, FYBR, IRM, LLNW, LUMN, MGPPF, NXDCF, SWCH, UNIT, VZ, ZAYO",https://finnhub.io/api/news?id=4c7ff86fb7893bb7390174c92f3acd947d57e86ceb40a3788a9128ed4a99798c
company,1628700660,Equinix Inc. stock outperforms competitors on strong trading day,69628040,https://images.mktw.net/im-220105/social,EQIX,MarketWatch,"Shares of Equinix Inc. advanced 1.12% to $806.88 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=56fa98d815efad2585b2b3606c81cb28cd62d1b737fb4a10899bf501aa998c47
